lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
0,-1,Army,Air Force,1,-4.34,,-1,-4.98,-2.17,-6.12,-6.31,-7.368,-7.1,-6.4,-6.6,-6.3,-5.36,-4.47,-13,-8.441607,-3.2,-1.5,-1.9,-1.8,-4.55,0.01,-7.15,-6,-1.235,-4.38,,,-2.86,0,-2.62,-0.01,-4.339812411,,-4.68,-9.1127,-20.17556432,,,,-13.425,-0.9,-6.188890353,-5.038869232,-6.65,-2,-2.47,-1.946,-0.15,-5.61,,,-4.631718199,3.2423132988,-4.55,0.4370019408,0.3879039704,-1.5
4,5,Mississippi St.,Arkansas,2,6.17,,4.5,6.68,6.45,2.119,0.66,-5.842,3.2,3.3,3.2,1.7,-0.23,4.39,10.5,3.449814,4.6,4.5,5.56,6.73,4.67,5.87,4.12,1,2.4992,4.14,,,4.57,0,-3.84,0.45,3.637354048,,4.1,0.8941,-0.517020895,,,,2.5,3,4.347854316,-3.182591343,-2.0685,-4,2.65,4.43,4.95,4.54,,,3.2204313427,2.9501020842,3.637354048,0.4689787771,0.578748349,5
10,11,Kentucky,Auburn,13,11.91,,11,14.27,10.17,12.314,10.39,14.576,11.5,12.7,13.2,13.3,13.06,9.61,10,16.17422,11.7,11.7,14.62,13.29,15.41,16.88,12.88,10,7.8818,15.95,,,11.83,0,19.8,14.11,15.829908957,,11.22,9.1997,15.56386926,,,,13.3,13.7,15.851002384,4.0296538516,17.85,9,17.65,15.692,10.5,12.37,,,13.215093111,2.6401969744,13.06,0.5386557532,0.7933327521,11
6.5,3,Central Florida,Baylor,6,5.38,,3.5,-3.23,16.75,10.505,-0.68,9.091,5.3,4.8,4.4,1.2,3.17,0.59,7.5,-3.460934,6.6,6.3,4.5,3.43,7.15,2.35,-4.8,-1,0.3957,0.15,,,2.48,0,-6.86,-4.63,4.150693891,,-1.33,-0.563,6.1401289688,,,,-1.425,2.2,2.3399221067,3.2476816464,4.55,-5,3.66,2.849,0.68,8.6,,,2.797240564,4.6279303739,2.849,0.4965042594,0.5669254734,3
17.5,17,Fresno St.,Boise St.,13.5,18.14,,17,25.36,24.72,15.185,15.31,20.164,25.6,24.1,25.3,21,14.81,18.58,14.5,25.01685,24.5,20.5,21.07,21.08,19.65,25.54,22.61,20,18.843,23.38,,,19.6,0,15.11,17.33,24.45460038,,17.77,20.5736,51.470691119,,,,22.1,18.4,24.320535879,5.1009537492,23.45,9,21.63,27.105,22.57,11.79,,,20.632374007,3.9141898141,21,0.5627248835,0.8956645314,17.5
-28,-29.5,Notre Dame,Boston College,-24,-33.55,,-28.5,-43.18,-22.74,-17.462,-26.53,-30.029,-20.2,-27.3,-27.5,-33.9,-13.22,-29.72,-11,-40.80421,-30.5,-29.4,-24.53,-22.98,-27.88,-27.3,-39.67,-46,-29.3242,-36.05,,,-25.93,0,-30.16,-26.09,-34.53044202,,-32.42,-35.1177,-65.41868597,,,,-50.675,-30.2,-41.84423324,-19.01960364,-36.75,-24,-34.55,-35.235,-32.82,-29.97,,,-30.54004578,8.1903002411,-30.029,0.4827928299,0.0441565468,-29.5
1,2,Buffalo,Bowling Green,4.5,3,,2,3.39,-5.27,3.761,6.7,10.82,-0.3,0.8,1.5,6.4,6.44,5.19,-2.5,7.026234,-3.4,2.3,7.08,5.85,6.12,10.14,9.12,1,4.5207,5.75,,,3.96,0,0.63,3.69,7.7390812421,,9.02,7.2548,-0.963024584,,,,5.575,3.1,9.9409128,0.15722904,5.6,-3,9.01,4.688,4.91,3.09,,,4.5678391806,3.6608245948,4.91,0.5445146485,0.6100069695,2.5
-3.5,-5.5,Virginia,California,-7,-4.99,,-4.5,-11.43,-2.39,-6.689,-5.94,-13.678,2.5,-3.5,-3.1,-7.9,-7.59,-2.29,6,-19.09841,-5,-8.6,-5.94,-5.95,-6.2,-7.45,-16.2,-20,-4.6791,-12.08,,,-4.65,0,-11.27,-12.05,-12.16240579,,-13.03,-6.8235,-8.559233639,,,,-13.05,-9.1,-15.79708281,-4.635626942,-14,-12,-14.5,-9.544,-6.13,-11.99,,,-8.545935861,5.4204585751,-7.59,0.4480190764,0.3058454782,-5.5
3.5,3,Duke,Clemson,2,4.5,,2.5,0.17,9.17,3.473,3.82,-3.069,15.9,9.8,10.3,6.2,-1.63,8.83,9,-1.676477,2.8,5.9,7.89,8.61,5.78,10.83,-0.06,2,2.2402,2.26,,,7.34,0,2.07,-1.48,-3.524743534,,0.7,-1.4041,-26.42197201,,,,6.425,7.4,-1.769743675,-5.851582075,-2.8,-8,2.2,-3.089,5.29,-4.16,,,3.5444906613,4.8614097093,2.8,0.5093673664,0.584229176,3
-3.5,-6.5,Marshall,Coastal Carolina,3.5,-6.04,,-6.5,-9.73,-2.36,3.246,-7.07,-4.397,-10.7,-8.2,-10.4,-9.5,-1,-6.38,-6.5,-12.14738,-5.4,-2.4,-2.18,-4.93,0.67,-3.39,-12.45,-12,-5.791,-13.05,,,-4.28,0,-5.29,-4.9,1.792218927,,-5.49,-13.1126,-2.410845035,,,,-8,-6.4,-8.848713369,1.39576666,-2.45,-6,2.23,-0.83,-5.41,3.38,,,-5.287396781,4.7020621979,-5.41,0.5208835144,0.3751662997,-6.5
-4.5,-4.5,Arizona,Colorado,2.5,-3.7,,-4.5,-2.66,2.37,2.248,-0.33,1.308,5.7,4.3,5.5,0.3,-1.01,-0.28,14,-3.028996,-3.6,-2.7,2.96,2.35,4.29,1.87,-2.71,-3,-1.9202,1.39,,,0.09,0,-12.46,-2,2.581652307,,-0.49,6.6355,16.973849868,,,,-8.25,-1.9,-1.674979329,0.5147380872,-1.05,-8,3.01,1.524,0.35,2.51,,,0.3852045379,4.3020529204,0.3,0.583829259,0.5093083497,-3.5
11.5,11.5,UAB,Connecticut,11.5,13.78,,11.5,8.74,21.2,10.5,13.76,9.018,15.7,15.1,16.2,9.6,9.25,7.29,16,9.661079,15,12.4,14.77,14.42,13.15,18.87,11.8,12,10.1361,13.68,,,13.92,0,18.33,5.99,8.268160334,,12.86,16.3549,27.817356183,,,,5.65,15.7,12.420120485,-2.584944759,10.85,9,12.14,1.652,5.27,1.64,,,11.912060508,4.3432590976,12.4,0.5071209813,0.7645853791,11.5
-7.5,-7,Georgia,Florida,-12.5,-7.84,,-7,-9.6,-4.94,-9.263,-9.96,-12.779,-6.7,-8.3,-7.9,-17,-7.6,-14.24,-7.5,-14.44971,-9,-10.4,-6.48,-4.13,-8.53,-8.53,-10.94,-13,-9.3132,-8.1,,,-12.74,1,-12.52,-9.61,-8.256598463,,-10.25,-16.4196,0.301055335,,,,-20.58,-9,-12.70515364,-2.815449396,-12.25,-11,-15.23,-11.011,-14.05,-0.68,,,-10.36659646,3.7635977604,-9.61,0.4417675033,0.2633517327,-7.5
8.5,10,Wake Forest,Florida St.,3.5,13.81,,10,1.13,10.89,-3.811,11.86,8.137,20.6,10.8,9.7,7.9,3.03,9.55,2,7.570957,8.7,8.2,9.77,11.71,9.47,9.12,15.86,5,11.2484,11.01,,,5.27,0,17.87,9.91,5.821273888,,13.6,7.0016,19.386694842,,,,15.125,16,15.010286531,-0.681682872,3.15,1,-7.62,-0.702,6.19,5.41,,,8.4305517287,5.7663094781,9.12,0.4732552611,0.690554553,10
14.5,13,West Va.,Houston,18.5,9.63,,13,16.18,15.66,14.706,12.62,20.815,13.8,13.9,13.7,12.4,16.6,8.22,3.5,16.76088,17,15.2,14.88,12.93,16.99,16.6,15.34,15,9.9697,17.31,,,11.96,0,17.34,15.63,16.293995043,,16.3,9.5727,15.094524787,,,,23.45,11.7,15.169345618,5.5694878564,27.65,16,18.65,17.853,10.7,19.91,,,15.138221043,4.2198371622,15.34,0.5369371777,0.8207469079,13.5
12,13,Rutgers,Illinois,13.5,14.65,,12.5,21.53,7.96,13.316,10.02,18.394,11,10.8,10.1,11.6,12.25,8.96,15.5,15.18109,11.9,10.2,13.21,12.67,14.04,14.46,15.28,14,9.1599,16.24,,,9.85,0,8.85,10.14,16.196188975,,15.54,9.3229,16.188211194,,,,14.325,12.5,18.492878834,6.150002896,17.5,6,13.71,10.217,12.32,17.59,,,13.140383534,3.15027835,13.21,0.5024467481,0.7906994985,13
5,8,Arizona St.,Iowa St.,6.5,6.53,,8,5.3,4.97,-0.286,5.18,2.485,-0.5,0.1,-1.4,2.5,3.71,6.83,-0.5,3.940212,3.6,-0.1,3.92,4.54,3.62,3.53,7.53,1,4.2115,3.46,,,2.8,0,5.33,5.47,1.706087216,,6.81,6.4517,18.694704334,,,,2.6,4.2,5.111747969,-0.221984606,4.2,2,-3.15,2.051,6.26,2.8,,,3.4182371073,2.555027586,3.71,0.4204190236,0.5838587425,7
25,24,Oklahoma St.,Kansas,22,28.38,,24.5,23.71,17.65,15.628,23.19,24.108,24.5,24.5,25.9,26.2,16.99,17.29,12,27.33414,24,25.2,22.22,22.48,21.4,26.02,27.96,28,22.9059,26.32,,,20.34,0,29.73,19.12,27.879495854,,21.28,25.2957,25.615758679,,,,31.425,25.3,31.922834313,39.13355882,26.6,19,23.79,27.45,18.4,24.26,,,23.81228385,4.3259394803,24.26,0.496755409,0.9253405097,24
-7,-7,Texas Tech,Kansas St.,-10,-7.53,,-7,-7.05,-4.93,-5.83,-6.6,-13.531,-0.6,-1.4,-0.5,-6.5,-7.35,-0.7,2,-10.8019,-9.4,-3.6,-2.03,-1.23,-4.36,-1.22,-10.05,-10,-3.6085,-8.88,,,-3.05,0,-10.48,-6.04,-10.95099516,,-4.71,-2.2685,-15.77195339,,,,-13.9,-10.7,-11.19010094,-4.522370207,-8.75,-19,0.16,1.055,-0.99,-1.84,,,-5.62451272,4.3400589909,-5.83,0.5237581636,0.3667350345,-7
8.5,10,UTEP,Kennesaw St.,14,8.81,,10,20.11,4.93,10.654,8.36,23.734,6.7,6.4,7.6,12.9,17.26,0.01,1.5,18.5552,7.4,9.1,11.09,9.96,15.39,8.66,17.67,16,7.1078,15.64,,,4.61,0,9.17,17.16,23.467145668,,13.35,10.3649,-18.95020658,,,,11.05,10.2,21.17185495,24.673132256,25.55,11,16.38,14.476,16.82,22.23,,,12.706176939,6.1992074451,11.09,0.5458320049,0.7712669253,10
3.5,3,Delaware,Liberty,5,5.31,,3,2.24,7.02,9.749,2.63,1.447,3.7,5.4,4.5,4.4,-1.07,8.21,6.5,-0.8208561,4.3,5.4,6.52,6.71,4.76,8.73,0.96,-1,2.0717,0.35,,,5.91,0,-0.37,1.99,1.846140879,,1.45,0.7569,-21.81531588,,,,-0.075,4.6,2.215216086,-10.00064469,8.881784E-16,-5,5.77,18.697,5.63,-3.29,,,3.7986436119,3.9057544165,4.3,0.5138466085,0.5915359238,3
17,17,Sam Houston St.,Louisiana Tech,19,19.15,,16.5,25.6,9.63,6.644,14.73,24.557,10.5,12,12,19.7,16.52,11.23,-1.5,27.78077,23,13.6,21.1,19.42,23.01,23.82,30.46,29,14.643,26.62,,,16.02,0,28.85,22.12,23.922753903,,28.48,14.7109,27.636574589,,,,27.55,19.9,28.625552634,31.885382588,22.9285,21,19.61,11.187,17.25,18.46,,,19.277678886,7.176557906,19.61,0.5381523676,0.8649707014,17
-14.5,-17,Old Dominion,Louisiana-Monroe,-9,-17.69,,-17,-20.13,-11.08,-4.079,-16.53,-15.536,-10.1,-11.2,-11.7,-18.5,-9.3,-14.52,-6.5,-19.78749,-23,-13.3,-10.62,-13.28,-9.07,-12.2,-25.08,-19,-13.9581,-19.9,,,-12.81,0,-9.49,-12.84,-6.006464366,,-21.98,-18.4377,-26.13667993,,,,-26.35,-17,-20.35534838,-2.95618278,-15.75,-15,-11.32,-11.309,-12.55,-6.48,,,-14.30100263,5.3828378828,-13.28,0.5461054657,0.1976225149,-17
-23,-21,Indiana,Maryland,-18.5,-23.49,,-21.5,-28.4,-26.21,-16.339,-23.25,-25.601,-19.8,-19.3,-22.5,-22.4,-10.97,-15.8,-17.5,-24.88901,-25,-23,-16.05,-14.51,-17.79,-19.48,-28.98,-33,-17.146,-24.49,,,-14.62,0,-28.45,-18.6,-18.82203518,,-17.74,-21.4191,-22.81709919,,,,-24.35,-23.7,-25.55064087,-24.59504973,-17.8745,-20,-18.01,-22.95,-15.69,-18.37,,,-21.03952015,4.7409608815,-19.8,0.4993193042,0.1028750933,-21
20.5,21.5,Purdue,Michigan,23,20.7,,22,27,31.16,26.592,22.6,22.852,29,28.8,29.9,21.6,16.16,26.66,19.5,20.40525,24,22.1,24.51,23.1,27.26,26.31,22.54,19,21.5925,23.08,,,21.7,0,27.5,16.97,20.338553801,,16.92,22.5996,46.44590449,,,,28.825,24.7,23.931993307,8.1030311072,31.5,16,25.59,23.78,22.94,17.01,,,23.685305054,3.9338979822,23.08,0.5378309045,0.9254677513,21.5
-5,-3.5,Jacksonville St.,Middle Tenn.,-11,-5.99,,-3.5,-0.18,-2.39,-9.381,-9.82,-1.916,-4.7,-5.4,-6.2,-6.3,-6.91,-10.14,-11,-6.972126,-3.6,-4.5,-5.13,-4.47,-8.09,-4.31,-4.75,-4,-6.8042,-5.99,,,-7.61,0,-8.73,-9.24,-0.560746343,,-5.12,-5.8701,-10.04748729,,,,-1,-7.7,-1.264915571,-11.40816892,-7.35,-13,-8.11,-11.575,-1.51,-3.87,,,-5.883438152,3.0261753158,-5.99,0.458503428,0.3584221225,-3.5
5.5,3.5,Michigan St.,Minnesota,10.5,3.41,,3.5,1.54,9.59,9.801,6.97,1.71,7.6,7.3,8.4,9.3,8.56,7.59,12.5,4.420878,7.1,5,7.42,5.82,10.87,5.75,1.11,-2,2.8311,4.8,,,6.73,0,13.34,13.27,10.876741627,,0.95,4.482,-10.06036954,,,,3.925,5.7,0.9764157024,5.119997306,13.741,6,6.99,12.665,5.58,9.76,,,6.843054752,3.8936226749,6.99,0.5577741206,0.6616988867,4
13,12.5,South Carolina,Mississippi,20.5,12,,12.5,14.09,10.32,15.184,13.95,17.862,8.4,10,10.3,12.1,14.28,13.62,9.5,16.97401,21,11.8,12.73,9.7,16.31,13.41,15.2,9,9.9273,16.13,,,11.1,0,20.7,12.5,13.866640758,,13.29,12.4362,13.582542934,,,,24.45,12.5,16.779809937,5.9435787012,19.25,15,16.84,12.304,13.8,10.63,,,13.967537454,3.7164139348,13.41,0.5254662192,0.8033097839,12.5
3.5,3.5,Florida Intl.,Missouri St.,7,8.04,,3.5,9.2,6.62,6.086,4.49,11.798,8.9,7.8,10.1,5.6,7.27,7.75,1.5,9.029146,3.1,4.8,7.63,7.65,6.59,9.4,6.68,7,4.2048,8.98,,,6.35,0,3.35,1.54,6.035742258,,4.48,6.426,1.381386324,,,,8.45,4.2,9.768391391,-0.817051776,8.302,1,10.82,3.025,8.29,2.8,,,6.693719991,2.5245383898,7,0.555671444,0.6608665302,4
-6,-5.5,Georgia Tech,NC St.,-11.5,-3.17,,-5.5,-6.55,-6.28,-9.69,-7.51,-12.164,-11,-9.1,-10.2,-6.6,-7.77,-5.52,2,-9.350479,-5.4,-9.8,-5.29,-3.42,-6.43,-7.94,-7.03,-11,-5.6274,-7.64,,,-9.14,0,-8.83,-11.48,-6.862040661,,-4.91,-7.3473,-0.977307041,,,,-11.95,-7.2,-4.080510426,-12.33955389,-11.2,-14,-14.82,-17.226,-3.42,-8.22,,,-7.965839233,3.4884182519,-7.64,0.4571967871,0.3126822068,-5.5
-5.5,-5.5,USC,Nebraska,4.5,-8.06,,-6.5,-14.21,-4.3,0.237,-3.55,-1.854,-4.7,-4.3,-4.8,-5.6,-3.3,-6.98,-4.5,-12.65131,-8,-5.8,-2.86,-2.13,-1.62,-6.38,-9.89,-9,-5.8946,-9.75,,,-6.97,0,-3.61,-2.91,-10.18965343,,-8.17,-3.0649,13.638461301,,,,-9.225,-4.8,-8.229819641,-1.737047138,-1.75,-2,-5.1,-4.496,-5.46,-0.39,,,-5.378417515,3.6125939681,-4.8,0.5021127728,0.371031558,-5.5
7,6.5,Navy,North Texas,8.5,11.23,,7,15.96,3.66,-0.779,8.77,14.481,1.2,3.4,2.9,5,6.29,4.54,-3,15.40712,5,10.3,10.87,12.44,6.21,15.02,21.66,16,8.4733,16.4,,,5.88,0,8.73,10.83,14.133373341,,15.44,8.9134,24.196942087,,,,24.4,9.5,21.891771013,-7.549447935,6.643,2,8.86,12.558,10.13,18.46,,,10.16158883,6.1728082411,9.5,0.5619176524,0.7239300453,7
20.5,19,Penn St.,Ohio St.,24.5,17.84,,20.5,24.38,11.58,21.142,18.15,27.603,14.3,15.1,14.9,18.1,17.21,15.7,6,18.53049,23.5,15.3,17.05,11.74,19.84,23.45,20.67,22,14.712,19.43,,,17.6,0,37.78,37.55,28.682368593,,15.78,20.129,13.742922425,,,,23.8,18.5,24.756619963,19.938448244,22.197,15,27.86,25.104,18.22,25.13,,,20.405550732,6.3290479371,19.43,0.523807917,0.8829691093,19
-3.5,-3.5,Washington St.,Oregon St.,-9.5,-5.74,,-3.5,-9.96,1.86,-2.962,-6.52,-23.908,-7.1,-4.8,-7.8,-12.8,-10.5,-4.46,-8,-16.8552,-5.3,-7.3,-6.12,-4.04,-8.07,-8.12,-11.71,-13,-3.5521,-9.66,,,-6.24,0,-3.06,-18.44,-17.1868977,,-9.42,-9.2564,-19.60592297,,,,-13.75,-4.2,-15.32647685,-24.01214527,-16.8,-10,-11.55,-14.677,-8.21,-15.76,,,-9.481899347,5.2405559428,-8.21,0.3985616506,0.2859767445,-4.5
-14.5,-13.5,Memphis,Rice,-13,-18.48,,-14,-24.74,-15.44,-17.741,-14.92,-14.317,-14.6,-15.9,-16.1,-17.5,-10.4,-18.98,-10.5,-24.10181,-17.5,-16.3,-16.93,-17.95,-16.24,-20.21,-25.07,-28,-18.7689,-19.77,,,-17.07,0,-14.78,-22.31,-18.11615573,,-18.3,-20.8366,-26.8556469,,,,-24.35,-18.9,-24.39814345,-5.350863215,-23.45,-17,-17.66,-20.693,-16.05,-18.95,,,-18.44416947,3.9485149399,-17.95,0.4149444898,0.1306491027,-14.5
-10,-10,Miami (Fla.),SMU,-3.5,-11.78,,-12,-9.01,-4.98,-7.589,-8.02,-15.862,-7.2,-5.4,-4.9,-10.8,-7.4,-3.9,3,-20.17432,-17,-7.4,-5.64,-4.51,-6.83,-7.43,-18.53,-17,-5.3348,-10.62,,,-3.68,0,-11.34,-15.06,-10.07937224,,-12.42,-7.6724,-22.29717156,,,,-15.675,-10.4,-16.67764055,-4.191611836,-9.023,-9,-5.48,-6.854,-6.47,-11.99,,,-9.246962379,4.9589662489,-7.6724,0.5129425798,0.2897870155,-10
