lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-1.5,-1.5,Georgia,Alabama,-3,-1.72,0.23,-2.5,1.44,0.97,-4.159,3.1,-0.671,0.1,-0.2,0.1,-1.3,1.21,0.84,-3.5,-1.566652,-1.9,4.1,-1.3,-0.07,-3.16,-1.15,2.31,1,0.2532,0.67,,,0.21,1,2.003584479,3.15,-0.26,-2.055932328,,0.38,0.1274,16.54710512,,,,-2.3,2.6,-0.837046643,-1.3685,1,-5.83,-0.302,0.48,5,,,-0.138472496,2.2198514674,0.1,0.5238300269,0.4965669594,-1.5
1.5,4.5,UNLV,Boise St.,2,8.53,3.78,4.5,3.24,11.29,-0.726,4.56,4.16,4.3,4.3,4.1,3.4,2,5.9,3.5,3.695644,3.5,2.6,4.23,4.97,3.5,4.31,5.8,6,4.1995,,,,4.31,1,2.664991277,1.13,-1.06,-1.8274898,,4.17,-0.7631,9.2649291907,,,,6.3,4.9,-0.014082087,-2.45,-1,-0.3,-6.189,2.42,5,,,3.2165268071,3.0875699761,3.78,0.4776335481,0.5785317784,4.5
1.5,-2.5,Kennesaw St.,Jacksonville St.,-1.5,-3.15,-4.51,-2.5,-1.12,2.58,0.431,3.32,-5.839,2.5,2.8,2.8,-5,-3.13,8.31,14.5,-1.695133,-0.8,-2.6,2.02,1.91,0.86,3.26,-2.8,-3,-0.4793,-3.07,,,3.02,1,-7.699703531,0.99,-4.95,-3.919194515,,-5.05,-1.7968,1.9841100262,,,,-4.05,-2.5,-0.889000758,-8.4,-2,4.45,-2.612,-3.4,-4.5,,,-0.845503276,4.3519942647,-1.7459665,0.5285670388,0.4795919112,-2.5
20.5,23.5,Troy St.,James Madison,19.5,21.81,19.96,23.5,31.91,22.78,15.049,19.38,21.465,22.2,22.6,23.1,21.6,14.61,19.37,18.5,27.92689,23.5,24.2,20.68,21.4,19.71,22.91,24.33,24,18.3755,24.31,,,19.18,1,22.046232382,20.54,14.76,14.869694823,,16.34,16.3165,25.821984514,,,,31.2,19,1.9578931992,21.35,15,19.71,22.884,17.75,25,,,21.15307043,3.9050151222,21.375,0.4593718306,0.9013233125,23.5
5.5,4,Indiana,Ohio St.,3.5,-0.26,-2.47,4,-1.22,0.69,4.897,-1.95,-7.269,1.8,2.8,1.8,-0.1,5.31,4.91,-1,-3.63,3.3,0.4,0.71,0.06,2.25,0.28,-3.05,-6,-0.0892,-2.44,,,4.49,1,-4.540688921,-1.12,4.9,4.2885124,,-1.94,1.2846,-8.928502387,,,,6.62,0.01,-9.753647972,0.1715,-2,5.26,-1.961,2.75,-1.5,,,0.548293087,3.2533223222,0.22575,0.4401043942,0.5134449355,3.5
11.5,12.5,BYU,Texas Tech,2,13.24,7.11,13,11.02,8.8,1.008,4.53,1.354,10,11.8,11.1,7.4,7.48,4.77,0.01,11.94444,14,13.3,9.64,8.96,6.82,15.38,8.5,13,4.2294,9.2,,,10.72,1,11.109487565,6.08,10.36,9.872056745,,5.4,7.8885,10.243835653,,,,26.5,9.6,-0.214175254,1.05,7,11.15,13.464,7.99,14,,,9.0442471078,4.8677862288,9.4,0.4407648665,0.7063439895,12
-3,-2.5,North Texas,Tulane,-0.5,-2.39,-5.67,-2.5,-7.61,0.74,2.647,-1.63,-4.062,3.3,2.7,2.3,-5.8,-0.84,2,5,-11.85001,-1.8,-1.9,-0.86,-2.22,2.12,-2.81,-8.91,-8,-1.9052,-9.05,,,0.17,1,-10.82144853,-8.67,-5.76,-4.414002439,,-6.63,-1.7624,6.212879533,,,,-6.275,-6.5,-0.336929041,-5.6,-9,-3.05,-5.618,-4.74,-7.5,,,-3.354276524,4.1705549211,-2.93,0.4852190955,0.4193291362,-2.5
2.5,4,Duke,Virginia,9,3.85,5.03,4.5,6.42,-4.98,4.803,3,7.827,-15.3,-0.4,0.1,5,8.76,1.97,-6,5.855763,2.3,0.7,3.32,2.91,4.97,2.28,6.04,5,1.5419,5.28,,,1.62,1,5.472974127,15.86,2.54,3.476575689,,5.03,2.1443,0.6873673268,,,,12.65,3,0.8424668728,6.65,5,2.01,1.481,3.42,8.5,,,3.5783128204,4.9648847847,3.4482878445,0.4927519162,0.5848677903,4
3,1.5,Miami (Ohio),Western Mich.,3,2.35,1.86,2.5,-0.27,-3.99,2.753,0.25,4.087,-1.3,-0.3,-1.4,-2.9,5.11,-1.93,-7.5,0.9652195,1.1,3.4,2.28,1.34,2.25,3.44,1.79,1,0.3236,1.83,,,-0.18,1,1.9533466443,7.65,0.29,1.557030121,,1.77,-1.3793,9.0236685781,,,,2.275,-0.4,0.5646656408,4.2,2,4.09,1.432,-0.73,5,,,1.1766724066,2.6967494628,1.4945150605,0.4943505531,0.5290158555,1.5
