lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
6,5.5,Wyoming,Air Force,2,,0.23,,0.69,11.93,,,,3.1,2.1,2.5,,,3.72,1,0.7811737,2.9,,3.26,3.74,-0.37,6.78,-0.28,2,,3.85,,,3.21,0,-0.37,4.31,1.87714427,,1.15,4.3722,,,,,,4.9,,,,-2,-1.45,1.786,3.78,-7.1,,,2.2895351024,3.1371442498,2.1,0.4442229369,0.5560466288,4.5
8.5,8,Tennessee,Alabama,14,,11.5,,12.99,9.14,,,,10.8,11,11.7,,,7.97,-2,6.884253,8.7,,11.6,10.74,10.04,15.62,12.59,16,,8.2,,,9.72,0,15.9,4.78,9.526871495,,7.79,11.5196,,,,,,12.7,,,,2,12.23,11.927,13.01,4.06,,,10.366818086,3.7729863758,11,0.5410104113,0.7366254214,8.5
10.5,11,Coastal Carolina,Appalachian St.,8,,4.52,,8.79,2.44,,,,7.9,8,8.5,,,6.81,2.5,10.92223,6.8,,6.93,6.94,5.58,8.99,6.01,5,,8.8,,,5.97,0,13.81,3.81,-1.248541903,,3.77,6.9456,,,,,,6.6,,,,7,6.29,3.915,7.67,-4.62,,,6.0808375206,3.496755056,6.8,0.4151022293,0.6453070146,9.5
-10,-11.5,Texas Tech,Arizona St.,-11,,-19.08,,-23.22,-1.56,,,,3.8,0.4,3.3,,,-4.31,4,-22.73382,-10.5,,-6.36,-4.27,-5.82,-12.01,-20.84,-26,,-6.84,,,-8.67,0,-13.8,-17.04,-18.83702304,,-10.23,-3.4024,,,,,,-14.8,,,,-22,-9.81,-13.582,-10.47,-8.96,,,-10.09121528,8.1749041306,-10.23,0.5233068327,0.2865857813,-11.5
-7.5,-7.5,Texas A&M,Arkansas,-16.5,,-10.53,,-11.89,-6.5,,,,-10.7,-10.7,-11.7,,,-4.96,-3.5,-9.953785,-5.4,,-7.71,-5.55,-13.04,-6.13,-12.35,-17,,-6.46,,,-6.37,0,-10.07,-9.37,-9.120776893,,-9.77,-8.5618,,,,,,-9.2,,,,-11,-11.51,-10.61,-8.63,-10.51,,,-9.458495238,3.1665359257,-9.77,0.4659100615,0.2802495177,-7.5
2.5,-1,Missouri,Auburn,-3,,0.65,,-1.81,-5.67,,,,-0.6,0.6,-0.3,,,-1.07,-4.5,-2.036215,-0.7,,2.75,3.33,2.28,2.34,-3.53,-7,,-0.38,,,-0.13,0,-2.03,-3.56,1.380315533,,0.59,1.3085,,,,,,1.3,,,,-11,-1.9,-0.954,-1.16,3.13,,,-0.712806878,2.577471872,-0.6,0.5050211416,0.4823916959,-1
-3,-3.5,Utah,BYU,8.5,,-3.54,,-6.83,2.96,,,,-3.5,-5.1,-4.7,,,-0.77,15.5,-6.366787,-2.2,,-0.19,-0.74,3.66,-5.59,-5.48,-10,,-2,,,-1.3,0,-2.67,-1.27,-0.686962133,,-0.42,3.0767,,,,,,-3.8,,,,-3,-0.67,-4.556,-3.19,4.68,,,-1.282518936,5.0234760403,-2,0.5380383069,0.4694111974,-3.5
1.5,1,Akron,Ball St.,6,,10.56,,-0.3,-1.14,,,,0.2,1,0.6,,,4.21,3,4.536562,1.9,,5.3,3.58,5.95,6.62,3.21,6,,0.86,,,3.3,0,-2.04,1.47,8.6769014678,,5.22,9.039,,,,,,3,,,,-1,6.11,4.326,10.79,10.57,,,4.2258090851,3.5110880516,4.21,0.55591025,0.6021598139,1.5
10.5,10.5,UNLV,Boise St.,1,,11.37,,15,20.84,,,,9.6,10.1,10,,,7.64,3.5,11.42866,7.8,,9.97,11.85,6.13,12.76,13.76,13,,10.87,,,9.4,0,3.46,10.56,10.429083449,,11.25,-0.2964,,,,,,11.8,,,,-1,5.08,6.207,12.9,2.51,,,9.3075290844,4.5269455993,10.1,0.4794318979,0.7128680554,10.5
2.5,1.5,Connecticut,Boston College,-6.5,,-8.6,,-7.91,1.93,,,,14.2,7.5,9,,,6.26,-0.5,-15.16363,1.2,,0.61,1.77,0.06,-0.86,-7.31,-8,,-4.11,,,1.66,0,-9.63,-8.17,-3.176320364,,-5.4,1.1203,,,,,,-0.2,,,,-15,-4.42,1.241,-1.24,-12.06,,,-1.955125875,6.521318996,-0.86,0.4417789341,0.4548019236,1.5
