lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
20.5,21,Wisconsin,Alabama,12.5,13.02,,21,,,12.99,11.445,17.45,7.472,16.3,17.5,17,14,6.71,19.2,14.5,,16,18,18.35,17.39,16.76,26.06,20.72,17,15.5934,15.35,,,10,0,19.56,8.87,-0.001719936,,10.96,18.3945,,,,,18.95,24.9,,,14.7,4,15.87,15.229,18.05,6.45,15.090060557,5.1032648158,15.935,0.3996268394,0.8164008706,20
0,-1,Kansas St.,Arizona,1,6.22,,-1,,,-1.72,-3.183,5.76,1.927,-3.3,-4.3,-4.4,-9.6,-5.98,-3.42,-13,,-2.1,-2.2,1.98,-0.81,-3.35,11.29,-0.49,3,2.4476,-2.12,,,-9,0,-6.28,-6.27,6.131861614,,9.72,-5.5806,,,,,4,6.6,,,1.4,30,5.27,-1.753,-4.03,-0.18,-0.731114955,5.4291095012,-1.7365,0.5046012646,0.4826818417,-1
14,17.5,Texas St.,Arizona St.,3,16.14,,16.5,,,26.17,14.515,11.01,19.147,32.3,27,30.3,11.2,11.67,14.6,9,,14.5,14.9,6.2,7.91,8.49,2.29,11.15,7,8.2624,10.61,,,24,0,0.15,4.22,7.597197759,,5.75,9.125,,,,,14.5,12.6,,,13.3,-1,7.31,15.995,11.14,13.86,12.691988827,7.5667304848,11.175,0.4202851623,0.7640531562,16.5
-20,-21.5,Iowa St.,Arkansas St.,-18.5,-24.3,,-21,,,-27.06,-21.685,-25.05,-22.878,-33.3,-29.1,-31.9,-26.4,-10.61,-27.3,-6.5,,-18.5,-22.7,-12.7,-12.94,-10.37,-20.75,-27.47,-32,-16.1811,-26.66,,,-21,0,-17.62,-22.57,-15.82592226,,-20.33,-27.2031,,,,,-26.3,-24,,,-28.7,-18,-20.17,-21.008,-20.85,-32.16,-22.29419784,6.5729364398,-22.635,0.4865800801,0.0979713598,-21.5
24.5,24.5,South Alabama,Auburn,12,25.14,,24.5,,,16.89,25.809,22.18,21.539,26.8,25.5,25.7,17.3,10.56,21.78,4.5,,23.5,19.9,18.59,18.06,18.86,23.68,20.38,19,21.1185,18.55,,,28,0,4.57,11.19,16.299756228,,18.42,13.1312,,,,,29.6,26.7,,,24.5,11,24.42,22.682,13.86,23.61,19.842207117,6.1039688173,20.74925,0.4213730489,0.8775151703,24
-5,-5.5,Liberty,Bowling Green,-1,-2.35,,-6,,,-9.67,-3.759,5.07,11.921,-1.9,-3.6,-2.8,0.4,7.35,0.56,1.5,,-6.9,-3.4,2.1,1.56,0.77,3.97,1.56,-1,1.2397,5.03,,,-12,0,-3.55,-0.26,6.116296917,,3.97,0.4724,,,,,-0.05,-3,,,1.75,-1,1.49,10.116,-1.93,-2.91,0.1907332477,4.8206005365,0.4362,0.5969726315,0.5045698342,-4
-1.5,-3,Minnesota,California,-4,-1.94,,-2.5,,,-9.48,-6.307,-4.1,-1.24,-10.7,-7.7,-7.2,-4.7,-5.77,-5.27,2.5,,-2.9,0.2,-3.29,-3.06,-2.94,-6.26,-5.88,-9,-0.6055,-8.07,,,-9,0,-7.53,-7.46,-4.774873985,,-0.04,0.3012,,,,,-4.5,-9.2,,,-7.7,-13,-3.59,-9.324,-2.05,-12.27,-5.134727055,3.4894535338,-5.022436993,0.4629267838,0.3764848342,-3
-6.5,-9,East Carolina,Coastal Carolina,3,-8.04,,-7.5,,,-3.29,0.555,-7.05,-9.817,-5.9,-6.4,-7.1,-2.5,-9.93,-7.73,-5,,-5.8,-5.4,-5.1,-4.81,-0.45,-14.81,-11.67,-18,-9.296,-15.59,,,-5,0,-3.6,-7.96,-5.845374755,,-13.46,-5.6804,,,,,-30.25,-12.9,,,-9.8,-26,-10.47,-9.2,-1,-9.15,-7.901215965,5.917884723,-7.075,0.5187011639,0.3210515836,-9
-11,-8,Connecticut,Delaware,-13,-16.16,,-10.5,,,-7.68,-12.475,-9.4,-16.662,-7,-8.2,-7.9,-8.7,-7.49,-13.03,-5,,-12.8,-7.6,-6.91,-6.79,-4.62,-13.59,-15.5,-21,-7.0879,-18.86,,,,0,1.81,-19.45,-2.869760376,,-9.79,-2.1745,,,,,-8,-12.1,,,-12.6,-11,-11.98,,-0.3,-16.17,-10.03174001,5.4150408101,-9.05,0.4652704121,0.2755924962,-8
2.5,2.5,Florida Atlantic,Florida Intl.,0.5,-0.06,,2.5,,,1.62,4.769,1.87,0.674,1.5,0.8,2.2,1.4,9.72,-2.57,6.5,,0.6,2.3,5.44,4.92,4.06,8.47,-0.4,11,-0.7306,4.95,,,-5,0,-2.83,-0.03,6.2982300812,,5.59,6.057,,,,,37.55,6.9,,,2.8,-5,3.44,10.38,0.35,2.16,3.9777119467,6.839588836,2.25,0.5248783643,0.5907036306,2.5
