lineopen,line,road,home,linehow,linedokter,linebihl,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
6.5,6,Louisville,Mississippi,9,,,,,,,,,,,,,8.09,,,10.5,,,,,,,,,,,,,0,,11.64,,14.38446177,8.36,,,,,,,,,,,,,,10.329076962,2.4021263552,9.75,0.5753001975,0.7391949384,7.5
28.5,28.5,Louisiana-Monroe,Mississippi St.,16,,,,,,,,,,,,,28.85,,,24,,,,,,,,,,,,,0,,12.96,,19.902626106,21.75,,,,,,,,,,,,,,20.577104351,5.6737603947,20.826313053,0.3673014114,0.8880727448,27.5
23.5,23.5,Ohio,Nebraska,2,,,,,,,,,,,,,15.79,,,11,,,,,,,,,,,,,0,,2.22,,8.436828789,10.5,,,,,,,,,,,,,,8.3244714648,5.3833377936,9.4684143945,0.2574406032,0.6896489966,22
-4,-3,Western Kentucky,Nevada,-11.5,,,,,,,,,,,,,-4.01,,,-3.8,,,,,,,,,,,,,0,,-6.99,,-2.281735604,-2.58,,,,,,,,,,,,,,-5.193622601,3.511427717,-3.905,0.4619125839,0.3751499247,-3
12.5,12.5,Central Mich.,New Mexico,6.5,,,,,,,,,,,,,9.25,,,12.7,,,,,,,,,,,,,0,,5.03,,11.857886185,8.59,,,,,,,,,,,,,,8.9879810308,2.9697860769,8.92,0.4389640054,0.7103518157,12
10,8.5,Jacksonville St.,North Dakota St.,-20,,,,,,,,,,,,,14.88,,,25,,,,,,,5,,,,,,0,,-0.02,,8.357745141,14.09,,,,,,,,,,,,,,6.7582493059,14.259951309,8.357745141,0.4740745901,0.6240055345,8.5
20,20.5,Wisconsin,Notre Dame,16,,,,,,,,,,,,,20.54,,,24.5,,,,,,,,,,,,,0,,37.05,,23.102159969,19.27,,,,,,,,,,,,,,23.410359995,7.3159697198,21.821079985,0.5486167211,0.9090556562,20.5
49.5,50.5,Ball St.,Ohio St.,37,,,,,,,,,,,,,46.27,,,44,,,,,,,,,,,,,0,,54.6,,43.169035836,41.11,,,,,,,,,,,,,,44.358172639,5.9124576211,43.584517918,0.3966078982,0.9954662374,49.5
40.5,40.5,UTEP,Oklahoma,29,,,,,,,,,,,,,37.31,,,35.5,,,,,,,,,,,,,0,,32.1,,34.122553636,32.6,,,,,,,,,,,,,,33.438758939,2.8948633897,33.361276818,0.378679924,0.9805080123,39
24.5,24.5,Boise St.,Oregon,23,,,,,,,,,,,,,24.55,,,30.5,,,,,,,,,,,,,0,,19.3,,27.224471642,18.09,,,,,,,,,,,,,,23.77741194,4.7046901004,23.775,0.4875521702,0.9237683282,24.5
23.5,23.5,Marshall,Penn St.,21.5,,,,,,,,,,,,,30.1,,,24,,,,,,,,,,,,,0,,19.58,,26.452232921,22.44,,,,,,,,,,,,,,24.01203882,3.7800152566,23.22,0.508886719,0.9286731094,23.5
16.5,15.5,Miami (Ohio),Pittsburgh,7.5,,,,,,,,,,,,,18.21,,,23,,,,,,,,,,,,,0,,11.82,,15.62485836,13.6,,,,,,,,,,,,,,14.95914306,5.3480264067,14.61242918,0.4907378246,0.8132283048,15.5
30.5,30.5,Massachusetts,Rutgers,28,,,,,,,,,,,,,35.77,,,32,,,,,,,,,,,,,0,,23.01,,40.834904561,27.8,,,,,,,,,,,,,,31.235817427,6.3753382431,30,0.5124624077,0.9655987939,30.5
33.5,34.5,Kent,South Carolina,21.5,,,,,,,,,,,,,35.15,,,26,,,,,,,,,,,,,0,,33.19,,20.218176598,28.56,,,,,,,,,,,,,,27.436362766,6.0543018404,27.28,0.3817013629,0.9462250038,34
12.5,12.5,Florida Intl.,South Florida,17,,,,,,,,,,,,,22.05,,,25,,,,,,,,,,,,,0,,17.84,,16.447450054,18.65,,,,,,,,,,,,,,19.497908342,3.3406177549,18.245,0.6199567917,0.884421967,14
3,3.5,Hawaii,Stanford,0.01,,,,,,,,,,,,,8.03,,,-1.5,,,,,,,7,,,,,,0,,-5.94,,1.648488572,6.94,,,,,,,,,,,,,,2.3112126531,5.2361513709,1.648488572,0.4796267984,0.5547901395,3.5
-21.5,-22.5,Miami (Fla.),Stanford,-20.5,,,,,,,,,,,,,-20.43,,,-26.5,,,,,,,,,,,,,0,,-32.72,,-22.12383322,-15.44,,,,,,,,,,,,,,-22.95230554,5.9580352408,-21.31191661,0.4923028156,0.0886727508,-22.5
6.5,7,North Carolina,TCU,12,,,,,,,,,,,,,12.43,,,14.5,,,,,,,21,,,,,,0,,14.68,,17.641547699,13.15,,,,,,,,,,,,,,15.057363957,3.2232111287,14.5,0.6375272342,0.8227859833,8.5
30.5,30.5,Texas St.,Texas,24.5,,,,,,,,,,,,,27.68,,,25,,,,,,,,,,,,,0,,19.72,,19.71717575,22.29,,,,,,,,,,,,,,23.151195958,3.1640061236,23.395,0.3740935836,0.9228965522,29
38.5,38.5,Missouri St.,Texas A&M,27.5,,,,,,,,,,,,,33.34,,,34,,,,,,,,,,,,,0,,24.94,,27.658647734,27.38,,,,,,,,,,,,,,29.136441289,3.6573522813,27.579323867,0.3417331987,0.9626144806,37
16.5,17.5,Sam Houston St.,Troy St.,15,,,,,,,,,,,,,16.28,,,24.5,,,,,,,,,,,,,0,,16.1,,18.660678592,14.04,,,,,,,,,,,,,,17.430113099,3.7944135178,16.19,0.4987871006,0.8563186051,17.5
-11.5,-12.5,Oklahoma St.,Tulsa,0.5,,,,,,,,,,,,,-7.64,,,4,,,,,,,,,,,,,0,,10.59,,2.929636983,-5.02,,,,,,,,,,,,,,0.8932728305,6.5690677383,1.7148184915,0.7147833382,0.5206637936,-11
3,3,Memphis,UNLV,1,,,,,,,,,,,,,-0.38,,,-1.8,,,,,,,-1,,,,,,0,,1.53,,3.976594934,0.58,,,,,,,,,,,,,,0.5580849906,1.901525496,0.58,0.4572630386,0.5138687289,2.5
23.5,23.5,Fresno St.,USC,15,,,,,,,,,,,,,22.79,,,25,,,,,,,,,,,,,0,,16.09,,18.263052649,19.72,,,,,,,,,,,,,,19.477175442,3.8607645094,18.991526325,0.4305708389,0.8825346295,23
35.5,35.5,San Jose St.,USC,25,,,,,,,,,,,,,30.64,,,30.5,,,,,,,43,,,,,,0,,24.83,,29.66210152,26.51,,,,,,,,,,,,,,30.020300217,6.2407249938,29.66210152,0.4078683645,0.9602816928,34.5
3,5.5,NC St.,Virginia,-1,,,,,,,,,,,,,0.45,,,2,,,,,,,4,,,,,,0,,9.26,,4.387580864,3.34,,,,,,,,,,,,,,3.2053686949,3.3024194804,3.34,0.4601106794,0.5780624317,5
22.5,22.5,Akron,Wake Forest,19.5,,,,,,,,,,,,,26.25,,,24,,,,,,,,,,,,,0,,13.58,,23.052592362,19.6,,,,,,,,,,,,,,20.997098727,4.4730746674,21.326296181,0.4740725143,0.8976834378,22.5
21.5,21.5,Washington St.,Washington,11,,,,,,,,,,,,,16.25,,,15.5,,,,,,,,,,,,,0,,15.67,,9.669922697,11.92,,,,,,,,,,,,,,13.334987116,2.8115446515,13.71,0.3603941286,0.7950268109,20
17.5,17.5,Coastal Carolina,West Va.,6,,,,,,,,,,,,,17.98,,,9.6,,,,,,,,,,,,,0,,6.43,,13.238841401,14.4,,,,,,,,,,,,,,11.2748069,4.747306559,11.419420701,0.394059953,0.751115568,16.5
