lineopen,line,road,home,linehow,linedokter,linebihl,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
25.5,26.5,East Carolina,Alabama,19.5,,,,,,,,,,,,,22.49,,,24,,,,,,,,,,,,,0,,14.64,,12.647730078,18.37,,,,,,,,,,,,,,18.607955013,4.3878408707,18.935,0.3662652811,0.8698501135,25
7,7,Baylor,Auburn,1.5,,,,,,,,,,,,,5.05,,,4.8,,,,,,,,,,,,,0,,10.21,,9.260835028,9.66,,,,,,,,,,,,,,6.746805838,3.492819243,7.155417514,0.4955966866,0.6603864112,7
1.5,1,UCLA,California,3,,,,,,,,,,,,,0.05,,,-3.1,,,,,,,,,,,,,0,,18.75,,2.29170045,1.42,,,,,,,,,,,,,,3.7352834083,7.6645839823,1.855850225,0.5454974142,0.5836408208,1
9.5,7.5,Boston College,Cincinnati,10.5,,,,,,,,,,,,,9.21,,,14.5,,,,,,,,,,,,,0,,10.66,,9.047429844,6.98,,,,,,,,,,,,,,10.149571641,2.5081172161,9.855,0.5462367128,0.7353576086,8.5
4,4,Wyoming,Colorado St.,2,,,,,,,,,,,,,-1.15,,,-3.3,,,,,,,,,,,,,0,,-1.17,,-0.372246108,1.33,,,,,,,,,,,,,,-0.443707685,1.9135102878,-0.761123054,0.4225754759,0.488973773,2.5
8.5,9.5,Tulane,Duke,0.01,,,,,,,,,,,,,5.37,,,1.7,,,,,,,,,,,,,0,,-2.25,,3.651769621,4.77,,,,,,,,,,,,,,2.2069616035,2.9547806771,2.6758848105,0.37486916,0.5541513379,8
8,7.5,Sacramento St.,Eastern Mich.,16.5,,,,,,,,,,,,,3.68,,,-0.2,,,,,,,,,,,,,0,,3.3,,1.661633893,3.06,,,,,,,,,,,,,,4.6669389822,5.9693401715,3.18,0.4519079133,0.6080443937,6.5
3.5,4,San Jose St.,Eastern Mich.,0.5,,,,,,,,,,,,,-3.22,,,-2.4,,,,,,,,,,,,,0,,2.99,,4.292681454,-2.33,,,,,,,,,,,,,,-0.027886424,3.1359160751,-0.915,0.4301521098,0.499315084,3.5
25.5,26.5,Florida Atlantic,Florida,17.5,,,,,,,,,,,,,25.31,,,24,,,,,,,,,,,,,0,,18.3,,16.411649241,22.76,,,,,,,,,,,,,,20.713608207,3.7623009218,20.53,0.400604226,0.8970499039,25.5
29,30.5,New Mexico St.,Florida St.,17,,,,,,,,,,,,,30.78,,,29.5,,,,,,,23,,,,,,0,,15.08,,20.146734267,25.53,,,,,,,,,,,,,,23.005247752,6.0006476397,23,0.3746452446,0.9116357151,30
-2.5,-2.5,SMU,Florida St.,-7,,,,,,,,,,,,,-1.31,,,-2.4,,,,,,,,,,,,,0,,-10.32,,-6.396761483,3.32,,,,,,,,,,,,,,-4.017793581,4.8592893706,-4.398380742,0.4739037595,0.4047235847,-2.5
7,7.5,Colorado,Georgia Tech,13.5,,,,,,,,,,,,,9,,,13,,,,,,,,,,,,,0,,11.17,,10.155926372,8.31,,,,,,,,,,,,,,10.855987729,2.1025233927,10.662963186,0.5585894034,0.750261865,8.5
-1.5,-1.5,UNLV,Hawaii,-4.5,,,,,,,,,,,,,-4.4,,,-3.1,,,,,,,,,,,,,0,,-4.13,,3.520060429,-2.18,,,,,,,,,,,,,,-2.464989928,3.0647372918,-3.615,0.4831775097,0.4396390311,-2
18.5,18.5,Oregon St.,Houston,13,,,,,,,,,,,,,13.61,,,24.5,,,,,,,,,,,,,0,,14.42,,24.538807554,9.35,,,,,,,,,,,,,,16.569801259,6.3975650616,14.015,0.4673481566,0.8326894015,18
27.5,27.5,UAB,Illinois,22.5,,,,,,,,,,,,,28.65,,,25.5,,,,,,,,,,,,,0,,23,,22.165417947,22.74,,,,,,,,,,,,,,24.092569658,2.5307855089,22.87,0.440631801,0.9322808487,26.5
40.5,40.5,North Texas,Indiana,21.5,,,,,,,,,,,,,28.22,,,28,,,,,,,,,,,,,0,,35.09,,27.861806941,20.33,,,,,,,,,,,,,,26.83363449,5.3526077066,27.930903471,0.2787130956,0.9447645476,39
29.5,30.5,Northern Ill.,Iowa,21,,,,,,,,,,,,,33.45,,,32,,,,,,,,,,,,,0,,25.15,,36.107394173,24.99,,,,,,,,,,,,,,28.782899029,5.8980904527,28.575,0.4707843831,0.9548421371,30.5
6,6,Liberty,James Madison,17.5,,,,,,,,,,,,,20.77,,,25,,,,,,,,,,,,,0,,22.8,,23.821930004,16.88,,,,,,,,,,,,,,21.128655001,3.3580135882,21.785,0.7454035622,0.9027268867,7.5
11,11.5,Clemson,LSU,5.5,,,,,,,,,,,,,3.53,,,3,,,,,,,,,,,,,0,,2.85,,2.884449177,4.65,,,,,,,,,,,,,,3.7357415295,1.0992141196,3.265,0.3661510085,0.5924476275,10
10.5,10.5,Arkansas St.,Memphis,14.5,,,,,,,,,,,,,17.71,,,21.5,,,,,,,,,,,,,0,,20.08,,9.781155814,14.37,,,,,,,,,,,,,,16.323525969,4.3075145663,16.105,0.5996148637,0.8386076283,11.5
26.5,26.5,Western Mich.,Michigan,18,,,,,,,,,,,,,29.74,,,24,,,,,,,,,,,,,0,,11.36,,11.702764992,19.67,,,,,,,,,,,,,,19.078794165,7.118686503,18.835,0.3774054655,0.8628096492,25.5
10.5,10.5,Toledo,Michigan St.,-1,,,,,,,,,,,,,7.85,,,-1.5,,,,,,,,,,,,,0,,-11.12,,-1.602682856,2.32,,,,,,,,,,,,,,-0.842113809,6.2003702846,-1.25,0.3147047569,0.4803626191,9
