lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
7.5,7,Houston,Arizona St.,4,11.19,7.36,7,6.79,15.41,8.691,5.56,12.09,14.6,13.4,15.2,10.6,2.03,7.64,16.5,6.094858,7.3,8.7,9.01,8.54,8.63,10.7,4.02,6,5.9464,10.08,,,7.41,0,2.19,9.51,9.905352783,,2.79,9.7959,36.592996443,,,,9.65,7.4,10.142902521,1.7041431796,5.95,-3,11.87,12.533,8.81,4.35,,,8.7097353326,3.5772267462,8.6955,0.529690396,0.7030629293,7
1,2.5,Auburn,Arkansas,1,0.05,-0.07,1,3.16,2.87,-2.519,-0.91,-7.058,-2.2,-3,-2.8,-3.5,-1.15,0.53,3.5,-2.571415,0.1,0.8,1.55,1.05,-0.96,5.39,0.61,-8,0.0808,2.15,,,1.15,0,-4.55,1.18,3.268301688,,0.47,-3.2582,-5.758409282,,,,-3.55,-2,0.114630394,-4.00636498,-3.85,-1,5.47,0.219,0.73,-2.65,,,-0.478847073,2.9459694859,0.0904,0.4481661569,0.4882149545,2
2,1,Georgia Southern,Arkansas St.,1.5,3.29,3.45,1.5,0.29,-2.78,-1.701,0.49,8.692,-1.2,-0.3,-0.7,0.01,1.81,0.2,-1,1.043968,1.4,0.3,3.36,2.21,1.5,6.71,0.55,1,1.9628,2.41,,,0.99,0,0.28,0.9,5.820287589,,0.01,0.7133,17.1620999,,,,9.9,4.440892E-16,5.52404017,-1.175431964,0.01,-1,5.01,2.046,2.24,-1.53,,,1.659784894,2.7107944836,0.995,0.5115262484,0.5408874,1
10.5,10,Akron,Buffalo,14,15.93,13.66,9.5,9.91,22.26,12.853,10.77,7.084,15.5,15.4,15.9,13.6,8.64,10.88,16,13.11917,23,12,12.12,12.77,12.73,11.96,8.88,11,8.7974,9.13,,,11.33,0,13.87,14.55,4.8019199762,,8.47,14.9609,8.6367311379,,,,18.125,15.1,17.814654243,-1.290909424,12.25,11,7.11,8.95,15.3,9.95,,,12.761901105,3.8248989773,12.75,0.5478078131,0.7819049024,10
16,16.5,Massachusetts,Central Mich.,24,17.31,16.93,16,22.57,22.03,21.633,16.19,32.137,18.4,18.9,18.2,16.3,16.45,18.26,7,22.18371,22.5,21.6,21.91,19.93,25.52,23.36,19.21,20,14.1285,22.37,,,14.55,0,22.3,24.76,28.930873364,,14.4,15.2497,19.870533318,,,,7.925,19.2,18.874206902,23.928468758,16.0195,17,21.21,29.704,17.07,19.19,,,19.710137257,4.9854115991,19.205,0.5549940256,0.8810641581,17
-27,-26,North Texas,Charlotte,-27,-24.44,-34.99,-26,-32.79,-26.06,-19.342,-20.49,-28.616,-17.4,-18.6,-19.3,-25.7,-13.17,-19.4,-9,-39.58778,-25.5,-24.3,-22.06,-23.67,-23.02,-23.83,-38.77,-34,-23.4011,-30.66,,,-18.22,0,-29.76,-28.26,-31.24303048,,-27.27,-26.764,-41.84757126,,,,-42.85,-28.4,-40.60602761,-30.0600265,-32.074,-33,-21.99,-23.177,-22.96,-25.61,,,-26.10702345,7.2376716006,-25.555,0.49820596,0.0679146227,-26
5,3.5,Baylor,Cincinnati,15.5,3.05,8.32,4,10.05,-1,5.926,8.55,7.327,-1.9,-0.4,-1.3,6.2,9.33,3.81,-4,11.31371,4.3,3.3,7.81,6.2,8.33,9.66,13.53,1,4.58,5.42,,,3.39,0,16.12,12.75,8.667217391,,11.02,3.953,-0.11989699,,,,4.75,7.2,9.171832157,1.6616999736,13.65,12,7.55,5.86,6.95,5.47,,,6.5352189887,4.6691223059,6.575,0.5521621327,0.6530308174,4
10,9.5,Middle Tenn.,Delaware,14.5,9.38,8.87,9.5,11.99,13.2,6.54,11.15,13.254,10.2,9.2,10.1,8.2,13.53,5.63,12,14.218,10.1,10.9,14.1,12.85,17.44,13.47,12.88,6,7.7711,14.71,,,9.14,0,15.92,13.07,9.5858253886,,13.98,14.4143,26.519688644,,,,13.6,13,10.011078036,13.577340068,13.8775,12,10.4,4.687,6.74,13.31,,,11.347970086,3.0249457898,11.995,0.5321973016,0.7578945481,9.5
-10,-12,Ohio,Eastern Mich.,-11,-11.37,-12.91,-12,-11.06,-11.46,-7.884,-12.41,-11.19,-14.2,-13.5,-16.2,-13.4,-10.36,-13.35,-15.5,-12.43661,-15.5,-11.4,-8.85,-9.35,-10.24,-9.17,-17.35,-16,-8.8017,-15.4,,,-10.91,0,-12.12,-16.7,-9.027136298,,-14.46,-16.0432,-2.256299424,,,,-12.325,-12.9,-13.97543669,-3.599999136,-14,-13,-12.06,-14.229,-9.79,-12.45,,,-12.53205207,2.4493046199,-12.423305,0.4906927043,0.218518553,-12
-1,-3,Kennesaw St.,Florida Intl.,1,-3.46,-16.3,-3,-9.07,-0.72,-1.675,0.88,-10.632,-1.8,-1.2,-2.4,-4.5,-7.89,5.2,7,-12.39982,-1.7,-0.8,2.35,0.77,1.35,5.02,-10.35,-13,-2.4282,-2.13,,,2.51,0,-0.1,-6.33,-8.614009196,,-3.5,1.5339,-16.92242979,,,,-5.875,-1.4,-17.75122956,-2.762478877,-10.5,-6,1.05,-13.712,-9.51,-8.25,,,-3.983333969,6.0637355911,-2.265,0.483289119,0.4076477821,-3
-2.5,-3,San Diego St.,Fresno St.,5,-1.36,-8.39,-3,-14.99,-2,5.791,-1.6,-12.677,-2.2,-1.7,-2,-6.4,-3.98,0.32,8,-10.47837,-2.4,-3.1,-0.5,-1.82,1.83,-2.54,-12.12,-11,-2.6539,-7.56,,,0.92,0,-9.96,-11.95,-8.449516584,,-9.17,-0.0649,22.77764505,,,,-6.075,-1.8,-10.78238064,-3.573156126,-5.95,-9,-3.58,-13.6,-5.16,-2.37,,,-4.463001681,5.4288551771,-2.87695,0.474980356,0.3954751758,-3
-6.5,-6.5,South Alabama,Georgia St.,0.5,-7.49,-7.91,-6.5,-6.95,-8.07,2.526,-7.32,-6.95,-6.5,-7.9,-7,-7,-1.7,-7.27,-7,-5.712788,-7.1,-7.8,-6.33,-7.46,-3.67,-10.02,-8.42,-16,-5.055,-8.94,,,-6.88,0,-9.22,-5.05,-7.443325741,,-3.88,-10.7631,-17.40553122,,,,-16.175,-8.3,-11.78765467,-8.962786448,1.05,-8,-7.13,-6.076,-4.99,2.11,,,-6.67692171,3.864491309,-7.05,0.4969310766,0.3419493405,-6.5
17.5,17,Syracuse,Georgia Tech,21,14.95,17.98,17,20.42,7.16,12.051,12.8,19.655,17.8,13.8,14.7,12.5,16.25,11.71,1.5,16.82946,16,16.6,14.47,12.07,17.62,15.86,16.93,17,13.5308,15.34,,,11.38,0,24.73,14.07,16.309816246,,14.52,14.8174,19.872445007,,,,21.65,14.1,18.493970172,17.990688508,25.2,16,20.93,22.284,15.15,20.59,,,16.01878616,4.4273043654,15.93,0.4830591647,0.8335865657,17
24,26,UCLA,Indiana,26.5,29.94,32.39,25,30.45,29.63,20.817,28.78,30.705,24.3,24.1,26.6,26.1,18.18,20.58,20,35.33778,25,21,23.15,20.46,26.83,25.38,37.44,32,26.374,30.13,,,18.4,0,48.04,23.44,28.335745077,,29.56,24.9462,30.335103994,,,,30.4,29.3,38.458606895,27.859648328,27.2545,28,21.63,22.602,20.57,26.75,,,27.046520799,5.9702313951,26.55,0.5178021768,0.9439927214,26
8,9.5,Minnesota,Iowa,5.5,13.76,13.47,9.5,17.07,10.61,4.911,7.47,12.949,9.7,9.8,10.2,11.9,8.24,9.79,6.5,19.00249,9.7,13,10.4,10.08,9.25,13.15,12.56,13,8.7871,13.03,,,9.61,0,15.15,-3.27,11.889269634,,10.26,13.7357,32.802745584,,,,18.65,11.4,19.781735774,-1.07920389,9.45,3,10.81,8.905,13.63,1.55,,,10.884532385,4.3329694531,10.505,0.5239155872,0.7450630185,9.5
2,2.5,BYU,Iowa St.,-6.5,3.49,-4.88,2.5,-3.44,7.56,-5.333,-2.86,-11.795,3,3.3,2.9,-1.9,-5.52,2.56,-1.5,-2.849484,1.5,-3.4,1.1,2.78,0.04,-0.34,-5.09,-10,-1.0346,-2.59,,,-1.51,0,-9.64,-5.96,-4.789870403,,-1.61,2.9406,6.591834547,,,,5.575,-2.2,-2.821777312,-12.92358397,-4.55,-7,-5.72,-5.909,1.51,-7.41,,,-2.072428293,4.3599383349,-2.395,0.4215021229,0.4500927631,2
3,3.5,Kansas St.,Kansas,10,3.31,5.77,3,4.63,-6.45,4.913,3.21,3.94,1,-0.2,0.2,1.7,5.02,-0.85,-5.5,4.152863,2.4,-0.3,2.67,1.96,3.71,1.89,3.58,6,1.6555,3.23,,,0.81,0,2.14,-0.82,4.654540366,,2.56,1.9862,8.5951283964,,,,1.85,5.4,7.481976043,1.0333294844,8.75,6,-2.4,-2.122,-0.22,7.15,,,2.4715519852,3.4008933128,2.48,0.4821090626,0.560274154,3.5
-9.5,-8.5,Bowling Green,Kent,-7,-10.94,-6.54,-7,-7.42,-11.82,-8.77,-13.47,-11.64,-13.8,-13.5,-17.2,-10.9,-5.41,-15.55,-8,-7.714935,-9.9,-8.5,-9.92,-10.82,-10.13,-11.2,-10.44,-14,-9.5671,-10.87,,,-12.25,0,-10.04,-3.24,-6.076609954,,-6.63,-18.3278,11.118329718,,,,-11.725,-9.9,-7.333647302,-12.65874887,-6.3,-9,-13.03,-5.462,-5.99,-6.29,,,-9.940427306,3.3594818596,-9.98,0.4749436607,0.2708294911,-8.5
-8.5,-8,Tennessee,Kentucky,-10.5,-6.88,-7.87,-9,-8.16,-7.63,-7.69,-8.98,-13.036,-6.2,-6.6,-6.8,-8.1,-7.36,-9.84,-15,-5.712452,-12.2,-7.5,-5.8,-5.04,-8.49,-5.08,-9.7,-11,-7.2585,-10.31,,,-8.31,0,-9.62,-8.75,-7.677554105,,-7.6,-8.4098,-16.03077697,,,,-5.575,-8.7,-6.383759688,-5.065399087,-13.3,-18,-9.71,-9.01,-5.48,-10.21,,,-8.436826645,2.2935106812,-8.13,0.4923528418,0.3001476953,-8
-1.5,-2.5,Texas A&M,LSU,-4.5,-1.19,-3.73,-2.5,1.81,7.01,-1.455,-0.1,-15.743,3.8,3.9,3.6,-3.2,-4.39,1.51,0.01,-5.493744,-3.3,-1.7,1.8,2.78,-0.56,2.25,-1.68,1,-0.5072,-0.41,,,1.29,0,-0.97,-0.64,-4.669380651,,0.4,3.1881,-7.292779296,,,,-7,0.3,-2.69056771,-12.23751321,-2.8,-4,-3.98,0.948,-0.12,-0.97,,,-0.905319809,3.7931823004,-0.5336,0.5276540567,0.4779651876,-2.5
3,3,Western Kentucky,Louisiana Tech,1.5,8.89,15.76,3,8.95,4.97,-5.601,3.35,14.285,3.2,3.5,3.7,10,10.9,0.96,-0.5,15.22736,4,6,7.75,7.9,7.9,7.96,14.8,16,6.4204,13.99,,,5.91,0,5.85,8.19,11.225875557,,15.28,7.0965,9.529495664,,,,11.475,7,20.129153256,2.3089808644,12.6,3,6.16,18.664,6.94,10.79,,,8.4780572203,5.4251598383,7.9,0.592892684,0.6927230103,4
