lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-7.5,Georgia Southern,Appalachian St.,-5.5,,-0.95,-4.5,-0.82,-7.67,-3.057,-2.46,,,,,3.8,,0.83,-5,,-3.7,,-3.15,-2.31,-4.27,-3.19,-1.12,,,-0.87,,,-1.3,1,3.125,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.7236,-5.211252823,,,,-1.9,-1.575476776,-3.92,-2,,-2.574,1.08,2.5,,,-1.669530976,2.7548888358,-1.9,0.6007516428,0.4588922457,-6
-3.5,8.5,Connecticut,Army,-5.5,-1.64,0.73,8.5,-2.99,-0.96,-7.738,-1.33,,5.9,5.4,5.5,0.7,-1.62,5.53,1.5,,4.4,-3.4,-2.92,-2.38,-2.62,-4.15,-0.65,-1,,-1.16,,,-2.8,1,7.75,1.5208826886,-4.66,-2.71,-0.28848343,,0.152,8.4407,7.1137730749,,,,-2.5,0.8162507124,-2.884,-6,,-0.388,1.66,4.5,,,-0.072358354,3.8369369666,-0.98,0.3546452369,0.4982390556,7
2.5,4.5,Georgia Tech,BYU,11.5,1.53,11.3,4.5,10.44,4.22,8,8.52,,-2.2,5,5.8,10.8,8.9,8.89,8,,3.8,9.2,4.44,3.38,5.14,5.41,10.89,17,,10.24,,,7,1,-4.625,13.072951019,12.03,11.32,15.041773596,,0.075,7.0992,20.416088959,,,,8.1,2.3256003912,8.4,5,,6.537,8.78,16.5,,,7.764747906,4.7054970873,8.25,0.5560638419,0.6798441253,5
6.5,-7,Navy,Cincinnati,-6.5,,5.36,-7,2.28,-0.46,,8.64,,,,,,,7.95,-10,,-0.9,,3.63,5.28,0.96,4.87,9.18,11,,6.58,,,6.33,1,5.85,6.790130294,0.48,3.86,0.664203981,,0.064,5.4948,7.0601375149,,,,8.6,-1.282268342,-1.316,,,1.111,2.33,10.5,,,3.522433367,4.8712068065,4.365,0.6750023648,0.5836986468,-5.5
-1,3.5,Penn St.,Clemson,-3,-4.55,-6.64,3.5,-7.54,-1.92,1.25,-7.44,,-6.2,-7.6,-7.6,-8.4,-4,-8.47,-0.5,,2.6,-1.6,-4.42,-4.87,-5.11,-3.51,-10.26,-11,,-8.89,,,-3.09,1,-3.925,-9.499940118,0.75,2.66,-3.945146338,,-0.106,-4.6444,-8.754561018,,,,-5.7,-0.292661197,-1.75,-1,,0.013,-4.4,-6.5,,,-4.439096846,3.5769524704,-4.485,0.3647089687,0.3928983309,2
1.5,3,Arizona St.,Duke,0.5,,-1.96,2.5,-1.68,-1.21,,-2.34,,,,,,,-3.85,-5,,1.1,,1.09,0.81,-1.46,4.24,-0.97,-2,,-0.14,,,0.62,1,-3.25,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.1375,-15.65480383,,,,-1.8,-0.82277815,-2.1,,,3.301,-0.9,1,,,-0.626525679,2.6823463479,-1.335,0.4368930338,0.4845382816,2
-6,-9.5,Pittsburgh,East Carolina,-1,-10.06,-5.02,-7,-6.14,-10.44,-6.88,-9.33,,-19.9,-18.3,-19.2,-8,-3.89,-6.09,3.5,,-7.7,-6.2,-9.21,-9.16,-9.7,-9.76,-6.77,-6,,-5.98,,,-5.31,1,-2.025,-5.254636584,6.67,-0.46,-4.086359493,,-0.082,-6.4584,-5.012355654,,,,-8,-0.263468724,-3.801,1,,-4.789,-3.79,-1.5,,,-6.392122113,5.3983591081,-6.115,0.5530434212,0.3520184579,-9
3.5,6,Miami (Ohio),Fresno St.,3.5,5.18,2.44,5,1.79,-1.34,5.281,0.73,,5.8,6.4,6,-0.5,1.7,3.19,-6,,2.7,2.7,1.16,1,0.85,1.81,0.94,4,,0.73,,,2.45,1,3.775,3.5314562822,1.56,4.08,1.61120792,,-0.037,2.849,0.3900461949,,,,2.9,0.5964061388,5.3515,3,,0.619,2.85,6.5,,,2.4472545612,2.4578217287,2.575,0.4380984611,0.560312023,5
6.5,6.5,Mississippi,Georgia,3.5,,1.97,,,2.38,,,,,,,10.5,,,-2,,6.7,,2.71,2.39,4.04,2.28,1.23,2,,1.95,,,,1,-2.6,3.240966691,8.81,3.33,5.325966661,,0.051,3.3021,-0.972542448,,,,3,-0.260667584,0.8575,,,3.991,4.39,6.5,,,3.1939413341,2.9027437271,3,0.4424962705,0.5781496798,5.5
-2.5,1,California,Hawaii,5,-1.67,2.81,-1.5,-1.97,1.79,-4.248,-4.92,,-7.4,-6.5,-7.8,1.2,1.86,-5.54,-5.5,,-1.7,-1.2,-0.03,-1.21,0.84,-0.04,2.16,-1,,-0.3,,,-1.75,1,-0.575,1.6298480684,3.01,-2,2.599491893,,-0.092,-6.4797,11.513828735,,,,-2.8,-0.82017336,-0.35,,,-0.46,0.36,5,,,-1.035426668,3.3103330263,-0.5175,0.4646057935,0.4746400823,1
