lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
20.5,20.5,Wisconsin,Alabama,12.5,,,,,,12.99,11.445,,,,,,,,19.2,14,,15.5,,18.35,17.39,16.76,26.06,20.72,17,,15.35,,,,0,19.56,8.87,-0.001719936,,10.96,12.9052,,,,,,24.9,,,,4,,15.229,18.05,6.45,15.190340003,5.7933340557,15.425,0.410247647,0.8148147761,19.5
0,1,Kansas St.,Arizona,1,,,,,,-1.72,-3.183,,,,,,,,-3.42,-13,,-7.3,,1.98,-0.81,-3.35,11.29,-0.49,3,,-2.12,,,,0,-6.28,-6.27,6.131861614,,9.72,-8.0779,,,,,,6.6,,,,30,,-1.753,-4.03,-0.18,-1.011910836,5.8616383838,-1.7365,0.4657664177,0.4762409684,1
14,14.5,Texas St.,Arizona St.,3,,,,,,26.17,14.515,,,,,,,,14.6,9,,14.5,,6.2,7.91,8.49,2.29,11.15,7,,10.61,,,,0,0.15,4.22,7.597197759,,5.75,12.618,,,,,,12.6,,,,-1,,15.995,11.14,13.86,9.9711453527,5.70919357,9.805,0.4232008595,0.7220673299,14
-20,-21,Iowa St.,Arkansas St.,-18.5,,,,,,-27.06,-21.685,,,,,,,,-27.3,-6.5,,-18.5,,-12.7,-12.94,-10.37,-20.75,-27.47,-32,,-26.66,,,,0,-17.62,-22.57,-15.82592226,,-20.33,-24.7284,,,,,,-24,,,,-18,,-21.008,-20.85,-32.16,-20.97851465,6.654789111,-20.929,0.5003627639,0.112246077,-21
24.5,24.5,South Alabama,Auburn,12,,,,,,16.89,25.809,,,,,,,,21.78,4.5,,23.5,,18.59,18.06,18.86,23.68,20.38,19,,18.55,,,,0,4.57,11.19,16.299756228,,18.42,13.027,,,,,,26.7,,,,11,,22.682,13.86,23.61,17.816261647,6.036952273,18.57,0.3878678898,0.8520822044,23.5
-5,-6.5,Liberty,Bowling Green,-1,,,,,,-9.67,-3.759,,,,,,,,0.56,1.5,,-6.9,,2.1,1.56,0.77,3.97,1.56,-1,,5.03,,,,0,-3.55,-0.26,6.116296917,,3.97,1.106,,,,,,-3,,,,-1,,10.116,-1.93,-2.91,0.1990589508,4.3668803441,0.665,0.6141490651,0.5048055662,-5
-1.5,-2,Minnesota,California,-4,,,,,,-9.48,-6.307,,,,,,,,-5.27,2.5,,-6.9,,-3.29,-3.06,-2.94,-6.26,-5.88,-9,,-8.07,,,,0,-7.53,-7.46,-4.774873985,,-0.04,0.6835,,,,,,-9.2,,,,-13,,-9.324,-2.05,-12.27,-5.451016999,3.6791168689,-6.07,0.4402827879,0.3694680561,-2.5
-6.5,-7.5,East Carolina,Coastal Carolina,3,,,,,,-3.29,0.555,,,,,,,,-7.73,-5,,-2.7,,-5.1,-4.81,-0.45,-14.81,-11.67,-18,,-15.59,,,,0,-3.6,-7.96,-5.845374755,,-13.46,-5.4217,,,,,,-12.9,,,,-26,,-9.2,-1,-9.15,-7.006003398,5.6106863278,-5.633537377,0.5084374713,0.339198727,-7.5
-11,-10,Connecticut,Delaware,-13,,,,,,-7.68,-12.475,,,,,,,,-13.03,-4.5,,-12.8,,-6.91,-6.79,-4.62,-13.59,-15.5,-21,,-18.86,,,,0,1.81,-19.45,-2.869760376,,-9.79,-2.0822,,,,,,-12.1,,,,-11,,,-0.3,-16.17,-10.08128383,6.4730130182,-12.1,0.4986246442,0.2789169838,-10
2.5,3,Florida Atlantic,Florida Intl.,0.5,,,,,,1.62,4.769,,,,,,,,-2.57,6.5,,-2.8,,5.44,4.92,4.06,8.47,-0.4,,,4.95,,,,0,-2.83,-0.03,6.2982300812,,5.59,6.5529,,,,,,6.9,,,,-5,,10.38,0.35,2.16,3.3728633372,3.8217006204,4.769,0.5064695625,0.5815256905,3
4.5,3.5,Jacksonville St.,Georgia Southern,-0.5,,,,,,15.65,4.093,,,,,,,,-3.46,-3.5,,7.9,,3.66,3.92,7.15,-1.24,-4.99,,,-11.37,,,,0,-8.51,-6.94,-2.948018802,,-9.89,0.6994,,,,,,-2.5,,,,-24,,-9.338,-3.43,-2.91,-1.354934229,6.6590543104,-2.91,0.4186053519,0.4687373974,3
-5.5,-4,Clemson,Georgia Tech,-1.5,,,,,,-9.3,-5.015,,,,,,,,-2.04,-8.5,,-10.4,,-0.29,-2.25,-3.46,4.14,-3.06,6,,1.92,,,,0,-8.03,-8.66,7.199190692,,2.87,-4.4604,,,,,,-1.8,,,,18,,1.252,-2.23,-4.47,-2.367464059,4.9167369657,-2.24,0.5280513005,0.4435611061,-4
5,4.5,Colorado,Houston,6,,,,,,-2.36,2.901,,,,,,,,-1.04,-10.5,,3.3,,3.79,2.37,2.47,7.47,-0.45,-4,,-0.7,,,,0,6.7,10.33,1.785702287,,2.4,-8.1392,,,,,,3.8,,,,14,,-5.459,3.38,-6.42,0.8012955585,5.2568882282,2.385,0.436863391,0.5190412122,4
28,28,Western Mich.,Illinois,25,,,,,,38.23,30.567,,,,,,,,28.45,16,,25,,22.83,21.47,22.68,31.41,28.13,35,,29.13,,,,0,21.66,34.79,27.480660764,,21.51,22.8627,,,,,,32.9,,,,33,,35.705,21.94,37.26,27.727516398,6.1424949857,27.805330382,0.495372171,0.9477459219,28
33,34,Massachusetts,Iowa,28.5,,,,,,43.93,34.776,,,,,,,,39.71,22.5,,28.5,,34.21,33.45,32.94,47.02,40.9,41,,40.61,,,,0,28.14,42.15,40.587138058,,33.83,43.7391,,,,,,42.2,,,,23,,45.844,36.53,43.11,37.462556275,6.5756917343,40.148569029,0.5583083512,0.9851068772,34
-23.5,-21.5,Buffalo,Kent,-14,,,,,,-32.87,-9.747,,,,,,,,-17.63,-12,,-22,,-18.72,-19.51,-17.79,-26.26,-21.85,-37,,-25.49,,,,0,-14.58,-12.73,-23.57953461,,-14.82,-17.765,,,,,,-22.5,,,,-11,,-29.477,-12.26,-15,-19.88993339,7.0928038936,-18.255,0.5270186377,0.1271038437,-21.5
24.5,25,Eastern Mich.,Kentucky,21.5,,,,,,21.45,21.199,,,,,,,,32.07,9,,22,,24.18,24.11,22.73,32.76,34.84,30,,29.14,,,,0,14.15,19.86,23.383440168,,31.01,22.3411,,,,,,32,,,,20,,29.118,24.97,31.02,25.128706371,6.3690666231,24.145,0.5021803776,0.9284207443,25
9.5,9.5,Florida,LSU,16,,,,,,10.1,9.995,,,,,,,,4.98,3,,3.4,,7.18,5.54,7,10.08,7.2,6,,3.99,,,,0,14.84,5.77,7.99829203,,7.58,10.6005,,,,,,5.4,,,,-3,,5.764,8.4,15.81,8.0285360014,3.7291407761,7.19,0.474468025,0.688112224,9
10.5,10,New Mexico St.,Louisiana Tech,0.5,,,,,,12.68,5.869,,,,,,,,9.51,8,,7.2,,12.58,13.08,10.39,17.77,12.61,25,,19.06,,,,0,-0.62,6.05,11.531434511,,10.77,10.1697,,,,,,12,,,,-7,,19.785,8.25,6.84,10.864778841,5.9555370074,10.58,0.5147144911,0.7384542855,10
14.5,16.5,South Florida,Miami (Fla.),14.5,,,,,,9.53,8.166,,,,,,,,14.27,15.5,,16,,17.74,18.83,21.32,15.81,13.37,12,,11.09,,,,0,17.01,7.6,9.415507487,,2.84,20.6067,,,,,,10,,,,-2,,10.192,17.51,15.03,13.560463977,4.611025887,14.385,0.4494479708,0.7931323923,16.5
27,28,Central Mich.,Michigan,24,,,,,,20.3,22.554,,,,,,,,36.15,19.5,,25.5,,22.59,23.78,25.43,24.02,30.48,19,,30.13,,,,0,32.05,25.49,20.478547703,,21.19,31.6906,,,,,,27.5,,,,11,,33.319,29.54,37.26,26.45237035,5.408632801,25.46,0.4735298207,0.9419930548,28
7.5,9,Arkansas,Mississippi,20,,,,,,9.09,12.018,,,,,,,,12.87,14,,8,,8.61,8.72,9.73,8.24,15.93,9,,13.14,,,,0,13.07,3.46,11.538600278,,13.26,18.9282,,,,,,10.1,,,,-8,,10.314,11.57,12.69,11.558127285,3.6981709252,11.554300139,0.5443354824,0.7600463106,9
25.5,27.5,Louisiana-Lafayette,Missouri,18.5,,,,,,20.05,22.871,,,,,,,,25.25,2,,13.1,,20.01,19.6,18.85,27.17,26.06,30,,22.48,,,,0,18.76,20.66,20.223330881,,25.12,18.8301,,,,,,26.5,,,,29,,27.664,21.09,28.68,21.521292313,6.0223449517,20.875,0.3994114773,0.896739343,27
-26.5,-28,SMU,Missouri St.,-28,,,,,,-29.62,-21.698,,,,,,,,-23.8,-22,,-25,,-19.2,-21.03,-21.15,-22.51,-27.92,-26,,-23.09,,,,0,-19.41,-30.4,-19.54749419,,-12.95,-38.0356,,,,,,-26.8,,,,-19,,,-21.74,-26.7,-24.12386163,5.2018770825,-23.09,0.5661729622,0.0750814196,-27.5
9,9,Middle Tenn.,Nevada,11,,,,,,-2.82,11.166,,,,,,,,11.51,9,,2.6,,9.52,9.07,7.77,14.23,15.72,18,,13.47,,,,0,2.07,1.98,18.720816399,,14.74,13.7268,,,,,,8.8,,,,12,,21.534,7.17,6.84,10.264437109,5.9682345449,10.26,0.5215062946,0.7267935437,9
4,5,Washington St.,North Texas,-1.5,,,,,,13.33,4.62,,,,,,,,-4.19,-1.5,,11.5,,2.71,3.1,1.73,3.23,-1.74,6,,4.35,,,,0,-2.44,-3.61,1.887467967,,0.39,-5.6799,,,,,,6.5,,,,1,,-5.011,-4.67,-1.35,1.2571167258,5.1309285624,1.06,0.4360390642,0.5299257984,4.5
-28.5,-27.5,Oregon,Northwestern,-23.5,,,,,,-26.34,-13.669,,,,,,,,-27.06,-22,,-23.5,,-25.78,-23.44,-25.28,-42.14,-33.33,-43,,-31.4,,,,0,-28.92,-29.71,-21.51862499,,-30.12,-26.3615,,,,,,-29.7,,,,-39,,-30.968,-22.55,-30.21,-27.74986932,6.4785824853,-26.71075,0.4957724535,0.0533717542,-27.5
