lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
9.5,11,Massachusetts,Akron,18,9.35,8.37,,15.16,13.59,11.979,10.24,26.113,12.3,12.1,11.6,9.9,19.38,11.57,7.5,12.86202,10.2,12.5,14.75,13.28,17.51,15.26,13.75,12,7.7758,17.17,,,10.43,0,20.47,16.69,20.871224415,,10.28,6.4871,13.917319906,,,,1.9,10.9,9.35710717,12.42171732,,11,18.69,19.19,9.68,4,,,12.901416707,4.8807222679,12.1,0.532672469,0.7805417476,11
11,10,LSU,Alabama,13,,11.46,,12.88,5.71,9.672,13.16,11.159,8.3,9,9.1,14,8.41,14.25,7,12.90535,10.4,11.4,10.96,9.28,11.05,13.85,12.42,12,9.7882,8.93,,,13.8,0,20.14,12.13,11.964103302,,9.09,15.1569,37.957077255,,,,19.48,12.7,16.494548386,2.1455986724,,8,17.35,14.375,13.84,8.5,,,11.976450044,3.1736333702,11.982051651,0.5344002177,0.7694385592,10
6.5,6.5,Georgia Southern,Appalachian St.,7,,4.71,,5.45,-6.12,3.431,2.41,3.621,0.4,0.9,1.5,3.8,5.42,4.83,0.01,4.745968,4.2,5.9,2.82,1.96,2.32,4.19,2.88,3,2.0734,3.86,,,2.95,0,9.21,0.89,5.030307414,,3.46,4.9811,-0.212345186,,,,10.85,2.1,6.907331394,0.703476196,,3,3.96,4.372,6.91,5,,,3.7347922844,2.7964329267,3.83,0.4518254301,0.5912709394,5.5
6.5,4.5,Kansas,Arizona,7,,7.56,,13.97,11.76,3.922,5.6,9.879,3.1,3.7,3.2,1.3,6.55,4.02,2,11.37584,4.9,7.7,7.32,6.9,5.13,10.8,11.25,11,3.4522,11.24,,,4.44,0,14.83,9.66,10.255121859,,9.89,3.464,16.341382697,,,,16.425,5.1,9.667027013,1.8640586188,,6,11.64,9.519,8.08,9,,,7.8052418124,3.7469143076,7.63,0.5571853384,0.6832285037,5
-5.5,-4.5,Southern Miss.,Arkansas St.,0.5,,-4.79,,-5.81,9.67,-1.311,-0.49,-2.576,2.4,1.5,2.7,-1.3,-2.64,1.35,7,-5.08666,-5.2,-1.9,1.05,0.51,0.46,1.95,-5.37,-5,-3.028,-3.7,,,-0.87,0,-9.03,-1.83,1.085460459,,-4.69,1.4702,6.470714079,,,,-4.1,-2.9,-4.520181475,0.0597611448,,-8,1.12,3.991,0.47,-2,,,-1.07671529,3.6995844324,-1.3055,0.559232468,0.4737648242,-4
6.5,6.5,Temple,Army,4.5,,7.1,,7.38,16.57,7.938,9.41,7.94,11.1,10.8,12.1,10.3,5.46,13.57,19,9.939018,4,9.5,10.55,10.17,11.17,11.29,5.85,8,4.0665,8.48,,,10.17,0,4.93,5.96,11.743437472,,5.24,13.9972,1.0409704949,,,,17.725,6.3,9.818484817,2.2082183524,,-3,8.4,9.96,11.87,7.5,,,9.468358955,3.5841001594,9.6592424085,0.5514488336,0.7189150829,7
2,1.5,Kent,Ball St.,4,,0.69,,3.94,4.93,4.566,6.92,2.875,7.1,6.5,8.2,5,2.22,10.37,6,-0.7089806,2.4,5.9,8.29,7.98,9.86,7.59,2.27,3,4.1393,4.17,,,5.92,0,7.81,-4.87,7.2239738435,,1.89,5.8911,20.4976682,,,,9.3,3.7,2.85851973,2.262647636,,1,8.65,6.225,5.79,3,,,5.0418398151,3.0859568796,5.395,0.5615091025,0.6219417156,2.5
-12,-10.5,SMU,Boston College,-15.5,,-17.29,,-18.21,-10.46,-13.822,-11.24,-18.443,-6.7,-12.6,-13.2,-14.9,-12.02,-10.75,-13,-18.78555,-15,-14.1,-12.14,-9.94,-15.7,-12.79,-13.91,-18,-10.9751,-13.35,,,-12.88,0,-18.18,-13.04,-19.16646992,,-11.51,-17.3633,-11.14544845,,,,-16.975,-11.9,-17.51040534,-14.20030981,,-15,-23.78,-18.925,-13.66,-11,,,-14.43989014,3.4002957306,-13.741,0.4317742136,0.187782823,-11.5
1.5,0,Houston,Central Florida,-4.5,,-2.5,,2.56,-4.32,-4.56,1.85,-5.47,4.3,3.9,4.5,3.5,-5.6,4.11,7,1.714561,0.6,2.1,1.12,2.05,-1.55,2.63,-0.35,4,2.474,-1.62,,,2.42,0,-2.19,3.12,-1.529518503,,-0.21,4.3839,2.0113586457,,,,2.95,2.7,-0.155107188,-2.665706478,,-5,-2.89,-0.48,2.36,2,,,0.8004693503,3.1557233071,1.925,0.5139481877,0.5196476764,0
1.5,2.5,Florida St.,Clemson,-1.5,,-9.53,,-4.16,15.66,4.561,-4.04,-7.915,8.4,8.6,10.1,-3.6,-4.32,4.84,16,-8.132593,-1.7,1.1,3.33,3.2,2.88,4.05,-12.56,-7,-0.8981,-6.02,,,6.01,0,-11.54,-4.03,-3.597220887,,,-0.8938,0.3573783036,,,,-4.725,-2.1,-10.74311302,-2.284051426,,-9,7.84,0.096,0.69,-6,,,-0.476968295,7.0788851512,-1.5,0.450126921,0.4890898771,2.5
7.5,7.5,Georgia St.,Coastal Carolina,20,,13.59,,11.74,12.06,9.623,11.44,23.597,6.2,7.8,7,10.7,19.39,10.21,9.5,13.08397,7.2,10.5,16.26,13.02,19.44,18.36,12.29,10,5.6927,13.05,,,11.32,0,16.03,13.77,22.732586839,,10.22,4.109,25.129788017,,,,4.6,10.4,13.905395934,25.096373837,,11,23.62,21.692,12.09,8,,,12.743043494,5.2528317796,11.9,0.5891242358,0.7761892808,8.5
-6,-5,UNLV,Colorado St.,-9.5,,-2.84,,-2.26,-2.87,-9.643,-6.91,-9.204,-10.3,-9.3,-10.5,-6.9,-7.24,-7.25,-5.5,-2.234875,-4.3,-4.6,-3.36,-1.24,-5.6,-4.68,-0.87,-6,-2.9477,-3.86,,,-8.56,0,-7.79,-6.46,-4.914508075,,-1.58,-10.2321,-5.119634376,,,,-4,-3.1,-0.157992532,-2.160411534,,-10,-7.74,-6.782,-2.52,0.5,,,-5.348583569,3.0841896609,-5.207254038,0.4939223349,0.3708937757,-5
