lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
2,3,Arkansas St.,Appalachian St.,3,,0.89,,1.95,-3.42,3.621,1.78,,-1.8,-2.3,-1.4,0.01,1.93,4.72,0.01,3.354406,3.3,,-0.32,-0.28,1.57,-2.98,0.35,4,-0.4914,1.23,,,-1.34,0,1.866624218,4.96,-3.03,-0.140059189,,1.63,3.8505,0.245332387,,,,-1.575,0.8,-0.724482246,,-3,-0.04,-2.311,3.97,-0.76,,,0.7384741952,2.338153511,0.575,0.4604796791,0.5182832015,3
-1,-2,Arizona,Arizona St.,4,,-0.41,,0.08,7.21,5.723,1,,7,5.6,7,-2.8,1.19,2.15,15.5,0.2933693,2.5,,3.8,3.08,6.47,1.62,-3.13,-5,0.3732,-2.31,,,1.11,0,-0.388622923,-3.83,-2.58,1.770465946,,-1.35,1.3406,1.741524278,,,,0.725,0.4,0.8021870804,,-3,0.1,-2.831,1.17,1.22,,,1.6054447868,3.9592994976,1.14,0.562242962,0.5389397257,-1
-2,-3,Missouri,Arkansas,-5.5,,-4.63,,-3.06,-6.08,-7.215,-5.74,,-5.1,-4.7,-5.2,-6.7,-6.61,-3.06,-3.5,-3.753174,-3.3,,-3.77,-2.03,-6.56,-2.79,-5.38,-12,-3.1782,-4.25,,,-3.18,0,-2.723201627,-15.82,-6.15,-3.264011756,,-3.72,-3.3294,-3.78630202,,,,-10.55,-3.1,-3.903126319,,-11,-8.46,-5.451,-3.26,-4.39,,,-5.208444094,2.8298685726,-4.51,0.4614981171,0.3738120539,-3
-5.5,-5.5,Alabama,Auburn,-10.5,,-8,,-3.58,-7.27,-11.187,-9.78,,-10.3,-10.1,-10.6,-9.1,-6.47,-11.04,-5,-7.027548,-8.1,,-4.75,-3.91,-8.56,-2.26,-7.88,-9,-6.4568,-4.86,,,-6.35,0,-8.065638346,-15.53,-6.27,-4.961096595,,-5.1,-11.0066,-14.24417846,,,,-9.525,-9.4,-3.214675602,,-11,-4.5,-9.291,-10.08,-3.4,,,-7.755852304,2.8450864836,-8.032819173,0.4606775013,0.315943793,-5.5
18,17.5,Central Florida,BYU,25.5,,22.62,,22.74,25.29,19.893,19.77,,16.1,16.4,16.8,22.2,16.4,17.72,13,24.63477,23.5,,20.78,18,21.45,25.38,24.07,11,21.1287,24.3,,,19.3,0,25.583952851,28.62,19.52,25.056216982,,19.96,20.055,33.666049916,,,,8.925,19.3,5.0208324264,,13,27.09,25.513,19.54,24.98,,,20.892212218,4.4776612172,20.95435,0.5583505517,0.8965311519,18
3,2.5,Houston,Baylor,-3.5,,0.03,,1.52,7.22,1.225,0.5,,5.2,4.5,4.6,2.6,-2.7,3.41,11.5,0.9281006,-2,,2.39,2.67,1.14,3.22,-0.22,-1,1.7546,-0.85,,,2.54,0,2.345799323,-8.26,3.05,2.534998804,,-0.09,3.7021,3.2071991539,,,,2.65,3.8,-0.76082474,,-7,3.72,6.277,2.67,-4.39,,,1.7968777424,3.4786268938,2.462499402,0.4877724795,0.5438558888,2.5
-5.5,-7,Ohio,Buffalo,-4,,-9.33,,-6.51,-1.94,-3.795,-7.67,,-8.2,-8.6,-9.6,-9.6,-7.28,-9.29,-3,-5.919853,-3.5,,-7.11,-6.69,-6.87,-9.22,-10.17,-12,-6.6713,-8.94,,,-8.29,0,-10.2257206,-4.76,-6.46,-8.705887578,,-7.93,-8.844,-18.26783769,,,,-9.425,-6.4,-1.541957942,,-6,-13.34,-11.105,-6.81,-8.35,,,-7.681993366,2.5081715584,-8.065,0.4880737918,0.3169835144,-7
-11.5,-13.5,SMU,California,-8.5,,-14.64,,-19.91,-18.04,-5.314,-11.28,,-5.2,-16.9,-17.3,-15.1,-8.81,-11.97,-11,-22.31681,-17.5,,-15.01,-15.15,-13.43,-19.21,-17.13,-20,-12.7097,-17.21,,,-15.84,0,-16.75910152,-15.9,-16.94,-14.24018884,,-11.69,-12.7416,-15.8893347,,,,-15.475,-15.6,-1.265476908,,-10,-20.36,-21.608,-15.06,-0.1,,,-14.60956668,4.7389306054,-15.3125,0.4808957612,0.1897915539,-13.5
-9.5,-10.5,Toledo,Central Mich.,0.01,,-8.8,,-13.97,-9.77,-0.596,-10.38,,-9.4,-9.6,-9.8,-12.8,-3.05,-9.89,-10,-12.04435,-7.5,,-7.38,-10.54,-5.31,-7.74,-15.27,-12,-9.3695,-12.56,,,-10.27,0,-12.50117251,-11.69,-8.85,-2.935445398,,-9.73,-11.2583,2.9547933222,,,,-18.95,-12.3,-0.090395459,,-9,-2.28,-6.736,-9.08,-1.42,,,-9.049187997,4.1596512869,-9.75,0.5250936314,0.2913681349,-10.5
-21.5,-21.5,James Madison,Coastal Carolina,-16,,-18.68,,-28.2,-20.02,-15.075,-17.24,,-17.1,-18.8,-19.3,-23.3,-8.96,-16.22,-9,-26.84005,-24,,-16.3,-17.89,-14.1,-19.41,-24.1,-27,-17.7201,-23.59,,,-17.18,0,-22.89585855,-23.88,-20.07,-9.862096725,,-16.05,-20.4055,-20.22344188,,,,-35.675,-20.1,-1.997895414,,-19,-16.98,-17.473,-16.53,-20.23,,,-19.33823904,5.3525172292,-18.74,0.5369687757,0.1250201225,-21.5
-3,-2.5,Air Force,Colorado St.,0.5,,0.56,,-1.54,-7.33,3.568,-0.96,,-1.8,-2.3,-2.7,0.4,-1.15,-3.69,11,-1.516693,-4.1,,-0.38,-0.12,2.44,-4.36,-1.02,-5,0.0026,-1.77,,,-4.33,0,1.6649299372,-2.83,-2.69,-0.762278795,,-1.03,0.578,-11.26515427,,,,-5.15,-1.5,-0.390339859,,-6,-8.82,-5.334,-1.56,0.89,,,-1.448317829,3.368383274,-1.5083465,0.5182986686,0.4645761495,-2.5
5,4,UTEP,Delaware,14,,4.46,,1.14,6.23,6.845,5.08,,3.2,2.3,3.2,1.8,9.97,1.7,4.5,3.234444,2.7,,4.61,2.28,8.67,2.75,1.4,-1,2.2379,1.87,,,0.84,0,3.538261479,4.83,1.23,5.926116096,,2.51,5.959,-5.43433193,,,,7.475,3.3,2.6466027776,,4,4.91,-2.365,2.54,15.74,,,4.1558533771,3.6352060432,3.217222,0.5027078786,0.6003417922,4
3,1,Wake Forest,Duke,0.01,,1.23,,-3.22,13.99,0.398,2.88,,12.8,6.3,6.2,-0.5,-0.78,3.67,8.5,-2.940924,6.9,,3.33,3.49,3.92,2.37,-0.02,-4,3.9613,0.97,,,2.43,0,3.208033268,-2.42,5.23,0.220908302,,1.04,4.2735,-15.54318308,,,,0.55,4.9,-0.137585498,,-2,-3.56,2.217,0.54,0.89,,,2.4713282658,4.0343564632,2.2935,0.5254725973,0.5597452747,1
-6,-8,Western Mich.,Eastern Mich.,-6.5,-6.05,-7.1,,-9.7,-3.54,-5.956,-7.48,,-5.7,-6.2,-6.9,-9.9,-7.61,-5.68,-4.5,-4.285788,-7.2,,-5.9,-6.48,-7.11,-5.09,-12.49,-10,-3.982,-11.04,,,-4.88,0,-7.070082538,-9.47,-8.82,-4.534977894,,-8.97,-5.1718,7.457531893,,,,-11.25,-7.1,-1.013546392,,-10,-7.43,-7.657,-4.02,-10,,,-7.101828336,2.2445889453,-7.070082538,0.5157237914,0.3295146996,-8
2,1,Florida St.,Florida,0.5,,-2.83,,-2.6,6.13,5.957,-1.55,,3.7,3.9,4.5,-4,-1.82,4,9,-4.414986,-3.5,,2.41,1.27,2.97,2.68,-5.5,-2,-0.5572,-4.17,,,3.88,0,-3.54751968,-12.48,-2.56,4.464389724,,-3.6,3.3012,16.621141907,,,,-12.85,-0.9,1.353501226,,-7,8.69,4.304,0.75,18.38,,,0.6085245568,5.8108847476,0.625,0.493327376,0.5143078709,1
-6.5,-7,East Carolina,Florida Atlantic,-8.5,,-11.48,,-5.75,-7.2,-9.743,-10.47,,-11.1,-10.2,-11.1,-11.3,-7.8,-9.97,-7,-8.334168,-10.2,,-6.54,-7.57,-8.83,-4.11,-13.29,-13,-7.3823,-11.52,,,-8.08,0,-12.12061419,-17.76,-7.73,-5.412368643,,-11.48,-12.5516,-15.90298918,,,,-18.35,-11.3,-1.836548628,,-10,-3.98,-5.386,-6.14,-17.26,,,-9.720556968,3.5107969808,-9.8565,0.4528019905,0.2757075262,-7
-13,-13.5,Georgia,Georgia Tech,-8.5,,-11.53,,-17.05,-11.09,-12.775,-8.95,,-9.2,-15.9,-15.9,-18.5,-7.32,-16.52,-10,-13.73296,-17,,-11.08,-9.45,-11.49,-14.49,-13.12,-19,-13.9584,-12.03,,,-15.27,0,-14.10090406,-13.86,-11.77,-15.90108268,,-8.22,-15.1669,-4.884922135,,,,-24.45,-12.3,-3.201783083,,-7,-21.14,-14.452,-15.61,-6.04,,,-13.52409019,3.9249425004,-13.79648,0.4995823081,0.2049817019,-13.5
10.5,7.5,Wyoming,Hawaii,14,,9.69,,8.45,11.4,15.388,5.83,,11.2,10.9,11.6,9.7,12.12,3.76,5,12.24596,5,,10.85,8.71,12.2,12.67,8.03,10,8.4929,8.62,,,8.76,0,10.728405063,8.6,8.31,12.295967961,,5.8,9.6313,17.898206972,,,,10.675,7.6,1.878785562,,6,17.17,13.454,8.6,14.09,,,10.043653695,2.9798003337,9.85,0.5442866094,0.7321934777,7.5
7,7,Northwestern,Illinois,9.5,,8.98,,7.86,10.67,5.578,8.53,,8.3,7.5,7,9.8,8.89,9.79,16.5,9.36964,8.2,,10.04,9.35,12.51,8.83,10.19,8,6.3806,9.77,,,6.98,0,11.178424058,6.38,5.75,8.100605055,,10.93,7.8999,10.197054667,,,,6.8,10.7,1.0050146076,,4,7.64,3.53,6.64,13.1,,,8.810199142,2.3743640326,8.68,0.531646806,0.7077304328,7
-3,-3,Western Kentucky,Jacksonville St.,0.01,,-2.04,,-2.71,-0.8,-8.114,-0.66,,1.9,1.9,2.4,-2.6,-2.37,-2.02,6.5,-0.8709526,-3.7,,-1.63,-2.64,-0.34,-2.6,-4.87,-6,0.4612,-3.59,,,-1.82,0,-0.979065438,1.28,-3.31,-0.418692216,,-2.67,2.765,-4.153109298,,,,1.525,-1.9,-0.561425415,,-4,-3.43,1.905,-1.69,-2.74,,,-1.274347507,2.7198712716,-1.755,0.5301207382,0.4685878573,-3
-13,-12,Utah,Kansas,-15.5,,-16.24,,-19.33,-16.68,-10.019,-13.48,,-14.8,-15.5,-15.9,-14.6,-8.82,-12.51,-0.5,-18.36229,-15.5,,-14.08,-12.61,-11.84,-20.87,-20.54,-21,-11.0943,-19.74,,,-16.28,0,-18.52674357,-23.32,-20.36,-15.13487226,,-15.45,-11.8913,-19.38139413,,,,-26.7,-15.6,-2.930461911,,-18,-22.87,-22.701,-14.86,-10.33,,,-15.93165294,4.9116145026,-15.5,0.432707164,0.1697119699,-12.5
17,17,Colorado,Kansas St.,11,,12.88,,22.9,13.93,5.702,10.57,,12.8,14.8,14,15.3,11.24,13.74,6,19.19604,12.9,,15.89,15.45,14.16,19.83,14.6,19,10.9453,15.7,,,17.4,0,17.222129528,15.86,18.36,15.735796389,,11.99,15.8481,14.791885417,,,,15.45,14.3,0.494939122,,7,18.71,23.04,16.57,15.74,,,14.965537942,3.7342982609,15.375,0.4647224714,0.8197097665,17
-1.5,-2,Kennesaw St.,Liberty,-8,,-6.53,,0.37,8.51,-7.981,0.94,,4.9,5.2,4.4,-5.4,-7.35,8.09,13,-1.84016,2.2,,1.83,3.26,-0.75,2.87,-3.39,-3,-0.9902,-2.6,,,2.99,0,-3.97560327,-0.73,-5.44,-4.21241407,,-2.14,1.8602,-5.491195332,,,,-0.975,1.3,-2.34471945,,-8,-5.93,-4.603,0.27,-3.4,,,-0.479088259,4.8816644041,-0.8625,0.5261444845,0.488534956,-2
12.5,9.5,Louisiana-Monroe,Louisiana-Lafayette,14.5,,11.89,,16.11,16.92,6.93,13.52,,,,,16.1,12.54,17.24,16.5,18.45141,7,,16.13,16,14,20.27,16.29,16,11.6366,15.84,,,15.32,0,16.723140673,11.17,14.5,15.350685476,,12.8,15.2235,19.172570387,,,,14.125,13.8,1.423373588,,10,25.73,20.252,17.35,8.48,,,14.990676853,3.6839380996,15.350685476,0.5944658502,0.820280458,11
4.5,3,Kentucky,Louisville,8.5,,2.22,,0.25,7.44,4.24,4.87,,2.9,2.5,3.6,1.6,5.56,4.8,19.5,2.400557,6.6,,3.96,2.73,7.38,1.88,-0.27,-5,0.6409,0.6,,,1.66,0,2.194061591,9.68,-0.03,-0.531987913,,3.9,7.7922,4.944328119,,,,0.775,3.6,-0.692553094,,4,-1.64,-2.444,1.75,-8.02,,,2.9885202966,4.5998060757,2.4502785,0.4998020299,0.5714875938,3
