lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
9.5,10.5,Massachusetts,Akron,18,9.35,8.37,,,13.59,,,,,,,,,,7.5,12.86202,10.2,,14.75,13.28,17.51,15.26,13.75,12,,17.17,,,10.43,0,20.47,16.69,20.871224415,,10.28,6.4871,13.917319906,,,,,10.9,9.35710717,12.42171732,,11,,19.19,9.68,4,,,12.877898063,4.4777101885,12.86202,0.5409776036,0.7816893934,10.5
11,10.5,LSU,Alabama,13,,11.46,,,5.71,,,,,,,,,,7,12.90535,10.4,,10.96,9.28,11.05,13.85,12.42,12,,8.93,,,13.8,0,20.14,12.13,11.964103302,,9.09,15.1569,37.957077255,,,,,12.7,16.494548386,2.1455986724,,8,,14.375,13.84,8.5,,,11.964829237,3.1035118076,12.065,0.5255204036,0.7694079343,10.5
6.5,6.5,Georgia Southern,Appalachian St.,7,,4.71,,,-6.12,,,,,,,,,,0.01,4.745968,4.2,,2.82,1.96,2.32,4.19,2.88,3,,3.86,,,2.95,0,9.21,0.89,5.030307414,,3.46,4.9811,-0.212345186,,,,,2.1,6.907331394,0.703476196,,3,,4.372,6.91,5,,,3.640696117,2.9341063075,4.025,0.4502319315,0.5888788905,5.5
6.5,4.5,Kansas,Arizona,7,,7.56,,,11.76,,,,,,,,,,2,11.37584,4.9,,7.32,6.9,5.13,10.8,11.25,11,,11.24,,,4.44,0,14.83,9.66,10.255121859,,9.89,3.464,16.341382697,,,,,5.1,9.667027013,1.8640586188,,6,,9.519,8.08,9,,,8.422541203,3.1045248935,9.2595,0.5680517478,0.6980245283,5
-5.5,-6,Southern Miss.,Arkansas St.,0.5,,-4.79,,,9.67,,,,,,,,,,7,-5.08666,-5.2,,1.05,0.51,0.46,1.95,-5.37,-5,,-3.7,,,-0.87,0,-9.03,-1.83,1.085460459,,-4.69,1.4702,6.470714079,,,,,-2.9,-4.520181475,0.0597611448,,-8,,3.991,0.47,-2,,,-1.117924209,4.2808986007,-1.35,0.5837904409,0.472994904,-5.5
6.5,6.5,Temple,Army,4.5,,7.1,,,16.57,,,,,,,,,,19,9.939018,4,,10.55,10.17,11.17,11.29,5.85,8,,8.48,,,10.17,0,4.93,5.96,11.743437472,,5.24,13.9972,1.0409704949,,,,,6.3,9.818484817,2.2082183524,,-3,,9.96,11.87,7.5,,,9.3378391787,3.7440072797,9.8787514085,0.5491440331,0.7157902054,6.5
2,2.5,Kent,Ball St.,4,,0.69,,,4.93,,,,,,,,,,6,-0.7089806,2.4,,8.29,7.98,9.86,7.59,2.27,3,,4.17,,,5.92,0,7.81,-4.87,7.2239738435,,1.89,5.8911,20.4976682,,,,,3.7,2.85851973,2.262647636,,1,,6.225,5.79,3,,,4.4129005406,3.2824121731,4.55,0.5332745144,0.6068805765,2.5
-12,-10.5,SMU,Boston College,-15.5,,-17.29,,,-10.46,,,,,,,,,,-13,-18.78555,-15,,-12.14,-9.94,-15.7,-12.79,-13.91,-18,,-13.35,,,-12.88,0,-18.18,-13.04,-19.16646992,,-11.51,-17.3633,-11.14544845,,,,,-11.9,-17.51040534,-14.20030981,,-15,,-18.925,-13.66,-11,,,-14.62503022,2.9178316185,-13.785,0.4283961637,0.1833550875,-11.5
1.5,1,Houston,Central Florida,-4.5,,-2.5,,,-4.32,,,,,,,,,,7,1.714561,0.6,,1.12,2.05,-1.55,2.63,-0.35,4,,-1.62,,,2.42,0,-2.19,3.12,-1.529518503,,-0.21,4.3839,2.0113586457,,,,,2.7,-0.155107188,-2.665706478,,-5,,-0.48,2.36,2,,,0.6955764712,2.7856506903,0.86,0.4946833252,0.5171462701,1
1.5,2,Florida St.,Clemson,-1.5,,-9.53,,,15.66,,,,,,,,,,16,-8.132593,-1.7,,3.33,3.2,2.88,4.05,-12.56,-7,,-6.02,,,6.01,0,-11.54,-4.03,-3.597220887,,,-0.8938,0.3573783036,,,,,-2.1,-10.74311302,-2.284051426,,-9,,0.096,0.69,-6,,,-1.453509865,7.5659066252,-1.7,0.4425551362,0.4671687673,1.5
