lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
9.5,11,Massachusetts,Akron,18,9.35,8.37,11,15.16,13.59,11.979,10.24,26.113,12.3,12.1,11.6,9.9,19.38,11.57,7.5,12.86202,10.2,12.5,14.75,13.28,17.51,15.26,13.75,12,7.7758,17.17,,,10.43,0,20.47,16.69,20.871224415,,10.28,6.4871,13.917319906,,,,1.9,10.9,9.35710717,12.42171732,5.894,11,18.69,19.19,9.68,4,,,12.72623129,4.9435048976,12.05,0.5296510901,0.7771692101,11
11,10,LSU,Alabama,13,12.86,11.46,10,12.88,5.71,9.672,13.16,11.159,8.3,9,9.1,14,8.41,14.25,7,12.90535,10.4,11.4,10.96,9.28,11.05,13.85,12.42,12,9.7882,8.93,,,13.8,0,20.14,12.13,11.964103302,,9.09,15.1569,37.957077255,,,,19.48,12.7,16.494548386,2.1455986724,11.214,8,17.35,14.375,13.84,8.5,,,11.979477542,3.0968293479,11.982051651,0.534468582,0.7696997997,10
6.5,5,Georgia Southern,Appalachian St.,7,6.77,4.71,5,5.45,-6.12,3.431,2.41,3.621,0.4,0.9,1.5,3.8,5.42,4.83,0.01,4.745968,4.2,5.9,2.82,1.96,2.32,4.19,2.88,3,2.0734,3.86,,,2.95,0,9.21,0.89,5.030307414,,3.46,4.9811,-0.212345186,,,,10.85,2.1,6.907331394,0.703476196,4.2,3,3.96,4.372,6.91,5,,,3.8223026702,2.7663914966,3.91,0.479438229,0.5933997521,5
6.5,5.5,Kansas,Arizona,7,8.81,7.56,5.5,13.97,11.76,3.922,5.6,9.879,3.1,3.7,3.2,1.3,6.55,4.02,2,11.37584,4.9,7.7,7.32,6.9,5.13,10.8,11.25,11,3.4522,11.24,,,4.44,0,14.83,9.66,10.255121859,,9.89,3.464,16.341382697,,,,16.425,5.1,9.667027013,1.8640586188,9.45,6,11.64,9.519,8.08,9,,,7.8714797218,3.66198714,7.89,0.541122921,0.6848686612,5.5
-5.5,-4.5,Southern Miss.,Arkansas St.,0.5,-5.66,-4.79,-4.5,-5.81,9.67,-1.311,-0.49,-2.576,2.4,1.5,2.7,-1.3,-2.64,1.35,7,-5.08666,-5.2,-1.9,1.05,0.51,0.46,1.95,-5.37,-5,-3.028,-3.7,,,-0.87,0,-9.03,-1.83,1.085460459,,-4.69,1.4702,6.470714079,,,,-4.1,-2.9,-4.520181475,0.0597611448,-8.4,-8,1.12,3.991,0.47,-2,,,-1.374379525,3.8481066333,-1.5705,0.5540582202,0.4665968584,-4
6.5,7,Temple,Army,4.5,8.81,7.1,7,7.38,16.57,7.938,9.41,7.94,11.1,10.8,12.1,10.3,5.46,13.57,19,9.939018,4,9.5,10.55,10.17,11.17,11.29,5.85,8,4.0665,8.48,,,10.17,0,4.93,5.96,11.743437472,,5.24,13.9972,1.0409704949,,,,17.725,6.3,9.818484817,2.2082183524,7.9905,-3,8.4,9.96,11.87,7.5,,,9.4149535072,3.5001723554,9.455,0.5419199472,0.718028735,7
2,3,Kent,Ball St.,4,4.53,0.69,3,3.94,4.93,4.566,6.92,2.875,7.1,6.5,8.2,5,2.22,10.37,6,-0.7089806,2.4,5.9,8.29,7.98,9.86,7.59,2.27,3,4.1393,4.17,,,5.92,0,7.81,-4.87,7.2239738435,,1.89,5.8911,20.4976682,,,,9.3,3.7,2.85851973,2.262647636,2.45,1,8.65,6.225,5.79,3,,,4.9642478243,3.0343951278,4.965,0.5342165202,0.6201930778,3
-12,-10.5,SMU,Boston College,-15.5,-14.66,-17.29,-10.5,-18.21,-10.46,-13.822,-11.24,-18.443,-6.7,-12.6,-13.2,-14.9,-12.02,-10.75,-13,-18.78555,-15,-14.1,-12.14,-9.94,-15.7,-12.79,-13.91,-18,-10.9751,-13.35,,,-12.88,0,-18.18,-13.04,-19.16646992,,-11.51,-17.3633,-11.14544845,,,,-16.975,-11.9,-17.51040534,-14.20030981,-25.2,-15,-23.78,-18.925,-13.66,-11,,,-14.71439563,3.7231386367,-13.866,0.4272295181,0.1843112373,-11.5
1.5,-1,Houston,Central Florida,-4.5,2.1,-2.5,-1,2.56,-4.32,-4.56,1.85,-5.47,4.3,3.9,4.5,3.5,-5.6,4.11,7,1.714561,0.6,2.1,1.12,2.05,-1.55,2.63,-0.35,4,2.474,-1.62,,,2.42,0,-2.19,3.12,-1.529518503,,-0.21,4.3839,2.0113586457,,,,2.95,2.7,-0.155107188,-2.665706478,-7.35,-5,-2.89,-0.48,2.36,2,,,0.6291958827,3.3413238639,1.925,0.5283380525,0.5154109793,-1
1.5,1.5,Florida St.,Clemson,-1.5,-1.29,-9.53,1.5,-4.16,15.66,4.561,-4.04,-7.915,8.4,8.6,10.1,-3.6,-4.32,4.84,16,-8.132593,-1.7,1.1,3.33,3.2,2.88,4.05,-12.56,-7,-0.8981,-6.02,,,6.01,0,-11.54,-4.03,-3.597220887,,,-0.8938,0.3573783036,,,,-4.725,-2.1,-10.74311302,-2.284051426,-5.95,-9,7.84,0.096,0.69,-6,,,-0.638149408,6.9463811883,-1.5,0.4640752045,0.4853596932,1.5
