lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-8.5,-10,Boise St.,Air Force,-7,,,,-14.08,,-13.46,,,,,,,,,-9.1,,,-8.4,-12.4,-6.68,-6.13,-6.42,-10.67,-7.89,-10,,-9.49,,,,0,-3.91,0.21,-8.386068202,,2.6,-7.2996,,,,,,-7.7,,,,2,,-8.43,-5.85,-12.42,-7.859348555,3.9685380934,-8.138034101,0.5370505855,0.3161376029,-9.5
2.5,1,North Texas,Army,3,,,,-1.73,,6.92,,,,,,,,,7.34,,,-1.1,3.5,4.69,4.04,7.15,2.14,-4.56,-8,,6.36,,,,0,4.16,5.46,-4.252278401,,-3.38,13.8576,,,,,,-4.5,,,,-29,,6.475,9.65,13.13,3.1977418909,5.8467219303,4.1,0.5373926395,0.5747061174,1.5
-2.5,2.5,Arizona St.,Baylor,3.5,,,,-10.6,,-2.18,,,,,,,,,1.85,,,1.3,1.4,3.25,3.17,3.43,2.64,-1.39,-2,,-1.03,,,,0,2.32,0.82,3.312966005,,-3.06,-0.9676,,,,,,2.3,,,,-3,,0.673,1.65,5.78,0.7349257275,3.3812893734,1.525,0.4693108177,0.5179898978,2.5
6.5,6.5,Troy St.,Buffalo,5.5,,,,5.12,,11.85,,,,,,,,,-2.18,,,3.6,-1.4,3.88,3.13,4.73,3.48,-3.97,-1,,3.36,,,,0,1.97,8.04,3.276628838,,-3.04,-2.9708,,,,,,3.9,,,,9,,-1.287,-3.61,2.98,2.0617649472,4.0621954821,3.203314419,0.4235995152,0.5498801958,5.5
5,6.5,North Carolina,Central Florida,5,,,,11.67,,-2.74,,,,,,,,,10.07,,,3.7,3.8,3.64,4.28,2.79,3.53,13.31,16,,10.44,,,,0,8.2,12.18,7.259751045,,12.96,8.7612,,,,,,11.6,,,,18,,8.643,9.57,8.93,7.8906341384,4.4509795783,8.7021,0.5239975521,0.6832672903,6.5
-4.5,-2.5,Rice,Charlotte,-5.5,,,,-6.79,,-4.68,,,,,,,,,-3.64,,,-2.1,-0.6,0.69,0.05,0.8,0.22,-4.96,-15,,-5.71,,,,0,-6.41,-6.37,-5.215925359,,-7.34,-8.0545,,,,,,-7.2,,,,-13,,-2.913,-8.49,-9.97,-4.962882971,3.8865595888,-5.357962679,0.4573662444,0.3811228591,-3
20,17,Syracuse,Clemson,8,,,,17.34,,15.19,,,,,,,,,10.92,,,16.5,20.5,14.46,14.19,15.51,16.08,11.45,7,,9.61,,,,0,7.71,4.64,6.618152898,,7.49,11.3335,,,,,,14.8,,,,-5,,8.913,15.19,14.18,12.16475695,4.2156741692,12.815,0.4169589808,0.7697142716,16
14,13,Wyoming,Colorado,5,,,,22.98,,18.32,,,,,,,,,17.74,,,11.5,16.8,14.27,15.56,15.42,13.75,15.71,16,,21.29,,,,0,7.54,6.07,11.064408074,,9.88,26.471,,,,,,15.5,,,,1,,5.859,12.74,20.83,14.558836731,5.6427798584,15.46,0.5265983991,0.8054144403,13
-4,-4.5,Texas-San Antonio,Colorado St.,-3,,,,-5.8,,-9,,,,,,,,,-6.17,,,-7.1,0.6,-1.58,-1.69,0.61,-5.9,-8.24,-14,,-10.53,,,,0,-6.32,-4.54,-4.204931849,,-3.19,3.4187,,,,,,-3.7,,,,-3,,-1.646,-5.01,-9.62,-4.846010539,4.0549257433,-4.775,0.4940067288,0.3841201345,-4.5
20.5,20.5,Ball St.,Connecticut,10.5,,,,24.42,,30.95,,,,,,,,,13.44,,,19.5,18.6,20.15,21.83,19.58,22.66,19.29,32,,23.01,,,,0,19.17,18.1,20.224349969,,15.9,24.0822,,,,,,23.9,,,,13,,,6.72,17.33,20.064597618,5.8118558131,19.58,0.4925788082,0.8815507124,20.5
3,3,NC St.,Duke,-6,,,,1.82,,8.82,,,,,,,,,-0.13,,,1.6,-0.4,1.85,2.3,1.77,0.55,-1.79,-7,,1.38,,,,0,-1.42,-1.84,1.284460665,,-4.78,4.2615,,,,,,-1.7,,,,-12,,,-1.75,7.18,0.2859981269,3.807531536,0.55,0.4530115685,0.5069627571,3
-7.5,-7.5,BYU,East Carolina,-4.5,,,,-13,,-11.88,,,,,,,,,-12.94,,,-6.7,-8.8,1.16,2.43,-0.33,0.77,-12.14,-16,,-12.43,,,,0,-4.15,-8.2,-11.34774598,,-5.68,-15.5541,,,,,,-9.2,,,,-10,,-12.241,-10.21,-19.07,-8.636947544,5.9147964707,-9.705,0.4806491556,0.3057024479,-7.5
-2.5,-3,Louisiana-Lafayette,Eastern Mich.,-10,,,,-7.95,,-10.71,,,,,,,,,-9.91,,,-3.3,-2.5,-3.9,-4.17,-5.23,-4.23,-8.56,-9,,-9.02,,,,0,-4.69,1.67,-10.7994311,,-8.13,-14.3042,,,,,,-8,,,,-14,,-7.42,-5.48,-8.92,-7.02516505,3.5304227601,-7.975,0.4303715929,0.3334649278,-3.5
4.5,6,Delaware,Florida Intl.,10,,,,2.86,,-7.66,,,,,,,,,6.83,,,7.2,3.4,7.26,7.93,6.17,8.35,9.05,,,8.89,,,,0,1,9,-1.492954348,,8.82,1.7908,,,,,,5.8,,,,5,,,-1.8,-7.17,4.3113922826,5.3458183807,6.5,0.4711046753,0.6012087572,6
43.5,45.5,Kent,Florida St.,29,,,,50.47,,32.11,,,,,,,,,38.99,,,31,40.4,41.43,40.42,42.27,52.08,52.6,57,,39.03,,,,0,30.93,22.44,34.415562078,,45.8,42.8295,,,,,,49.7,,,,39,,40.392,34.75,42.88,40.497139185,8.6331819412,40.41,0.4183090397,0.9872673374,45
24,24,Temple,Georgia Tech,22,,,,28.59,,28.01,,,,,,,,,24.85,,,24,28.4,27.52,26.05,28.45,33.97,26.04,24,,24.59,,,,0,16.9,17.38,21.995928276,,17.9,26.0771,,,,,,24.8,,,,7,,31.122,22.75,35.88,25.512501285,4.8059636012,25.445,0.5260178334,0.9373162951,24
-3.5,-3,Fresno St.,Hawaii,-5,,,,-8.57,,2.06,,,,,,,,,-8.6,,,-3.4,-4.5,-2.48,-2.49,0.93,-8.76,-8.37,-11,,-5.46,,,,0,-5.37,-12.31,-4.122943843,,-4.05,-8.0179,,,,,,-9.6,,,,-7,,-5.52,-4.64,-7.87,-5.779129266,3.5768729016,-5.415,0.4518120777,0.3617393388,-3.5
5,4.5,Illinois,Indiana,2,,,,8.75,,0.74,,,,,,,,,7.83,,,6.6,1.9,8.28,8.74,8.99,7.4,10.03,4,,10.38,,,,0,9.85,-12.38,1.826751769,,6.66,5.2307,,,,,,4.6,,,,4,,6.78,3.5,6.83,5.3880659895,4.9142156869,6.72,0.5152685488,0.626678074,4.5
12.5,11.5,West Va.,Kansas,6.5,,,,11.28,,4.72,,,,,,,,,7.14,,,9.3,11.2,7.14,7.67,7.47,6.62,10.77,12,,10.14,,,,0,4.46,3.32,9.569714052,,11.9,12.6354,,,,,,9.7,,,,3,,11.252,8.02,13.83,8.9380506387,2.840303315,9.434857026,0.4553616533,0.7095681908,11.5
-7,-6.5,Arkansas St.,Kennesaw St.,-10,,,,3.67,,-7.25,,,,,,,,,-11.08,,,-7,-7.1,-5.74,-5.15,-6.02,-8.87,-6.45,7,,-5.69,,,,0,-1.09,-6.81,-1.904488068,,-0.02,-1.919,,,,,,-2.9,,,,-5,,-12.653,-4.65,-5.42,-4.865749458,4.5726617941,-5.715,0.5281661426,0.3845836931,-6.5
-10,-10,James Madison,Liberty,-1,,,,-7.42,,-5.28,,,,,,,,,-6.91,,,-4.8,-2.1,-3.21,-2.68,-1.02,-8.79,-12.78,-18,,-8.36,,,,0,-9.28,-14.2,-7.963085131,,-9.5,-8.2392,,,,,,-6.2,,,,-14,,-10.813,-2.33,-9.27,-7.279331142,4.3775272923,-7.691542566,0.5468977362,0.3298114373,-9.5
1.5,2.5,Southern Miss.,Louisiana Tech,8,,,,18.86,,18.1,,,,,,,,,12.22,,,1.3,10.3,8.38,8.75,6.35,11.46,12.61,19,,21.41,,,,0,11.96,5.63,8.9902031792,,12.04,15.8915,,,,,,9.3,,,,7,,15.061,9.32,-3.67,10.966486508,5.8642324514,10.88,0.641152846,0.7407859031,4
26,26.5,Bowling Green,Louisville,16,,,,26.2,,30.73,,,,,,,,,27.06,,,24.5,21.3,23.31,22.5,25.43,26.54,24.48,21,,22.66,,,,0,12.53,26.02,20.482910028,,17.83,22.4835,,,,,,22.5,,,,17,,25.152,21.45,32.03,23.281291365,4.3907997529,22.985,0.4445744416,0.9204830278,26
-6,-7.5,Arkansas,Memphis,13.5,,,,-6.87,,-5.35,,,,,,,,,-4.92,,,-6.8,-6.7,-0.99,-1.06,-0.9,-2.57,-5.5,-16,,-4.68,,,,0,5.45,-1.84,3.68380585,,-2.3,-4.5092,,,,,,-9.3,,,,-4,,-6.024,-4.29,2.63,-2.969972461,5.8448250816,-4.3996,0.5767102643,0.430556274,-7
8.5,7.5,Florida,Miami (Fla.),15,,,,9.42,,9.28,,,,,,,,,2.69,,,7.4,10.7,9.84,8.85,9.59,12.53,10.82,14,,8.08,,,,0,11.7,5.64,13.088719301,,7.79,11.9227,,,,,,6.6,,,,11,,12.323,10.24,13.48,10.044746332,2.9593897542,10.04,0.5443106701,0.7322627178,8
-4,-2.5,UNLV,Miami (Ohio),-7,,,,0.89,,7.77,,,,,,,,,-6.01,,,-3.3,-9,-0.86,0.47,-1.22,-3.6,-4.42,-6,,-3.19,,,,0,-15.28,-10.94,-2.915326063,,-1.46,-9.6182,,,,,,-3.9,,,,-23,,-7.137,1.19,-2.27,-3.990933003,4.8692854133,-3.45,0.4743672609,0.405364676,-2.5
-3,-2.5,Marshall,Middle Tenn.,-9.5,,,,-8.52,,-1.64,,,,,,,,,-12.74,,,-2.5,-0.6,-4.41,-4.94,-4.03,-6.63,-10.5,-17,,-16.39,,,,0,-7.4,-10.43,-17.04861624,,-8.72,-11.8774,,,,,,-6.4,,,,-5,,3.474,-4.57,-4.72,-7.595091647,5.3665775457,-7.015,0.4134451627,0.3257638752,-3.5
12.5,12,Tulane,Mississippi,13,,,,18,,8.64,,,,,,,,,19.37,,,10,15.7,16.53,15.69,16.28,20.66,18.21,15,,16.21,,,,0,9.63,7,11.621615245,,14.26,17.3202,,,,,,18.5,,,,12,,21.322,15.41,15.58,15.178809784,3.8327895532,15.695,0.5549784214,0.8227774295,12.5
