lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
5.5,6.5,Hawaii,Air Force,4,,,,6.2,,6.77,-0.586,2.27,7.541,1.4,1.4,1.1,4.3,-6.78,8.09,-1,-15.6,5.1,,4.4,4.55,3.93,4.61,2.63,5,3.8966,5.99,,,3,0,1.22,3.55,-1.467305645,,3,6.7294,,,,,-2.6,5.2,,,0.189,-1,-0.66,-0.93,7.03,1.18,2.3514637321,4.4535791679,3.275,0.4287519214,0.5564995207,6
3,2.5,TCU,Arizona St.,0.01,,,,1.12,,3.68,3.084,-0.36,0.338,5.1,3.4,4.1,0.3,-1.04,-1.24,5.5,-18.3,1.7,,6.71,6.7,7,6.75,-2.35,-6,0.0609,2.18,,,3,0,-0.53,-7.32,-2.594517291,,-2.84,-3.093,,,,,-9.2,1.7,,,0.7,-4,1.07,1.665,-0.27,-1.14,0.2661217419,4.9523825569,0.519,0.4616561356,0.5063612004,2.5
-6,-4,Notre Dame,Arkansas,-6,,,,-8.24,,-9.88,-3.186,-3.47,-12.5,-9.9,-9.7,-10.7,-10.9,-0.21,-7.71,-3.5,-2.6,-4,,-3.29,-3.44,-6.8,-1.52,-7.16,-8,-1.4577,-6.37,,,-7,0,7.1,1.34,-1.308920849,,-1.26,-12.4088,,,,,-1.795,-5,,,-1.96,9,-0.24,-2.834,-7.11,-2.3,-4.869733912,4.2419394348,-3.75,0.4849602654,0.3838922046,-4
14.5,16,Appalachian St.,Boise St.,14.5,,,,25.95,,35.18,21.933,13.51,25.158,26.5,24.6,26.8,16,6.08,16.9,22,-4.8,17,,21.01,20.93,20.48,25.66,18.82,23,12.9884,22.03,,,,0,3.62,12.44,18.39638691,,11.42,13.3938,,,,,9.35,19.2,,,18.2,4,19.81,17.092,13.78,23.51,18.069759626,7.5051494643,18.82,0.5345322196,0.8474957704,16
6.5,6.5,California,Boston College,-2,,,,13.46,,11.02,0.611,5.72,15.797,12.8,10.6,10.4,0.5,-5.53,4.98,2,0.5,4.4,,9.12,10.03,8.89,9.21,6.46,-2,8.7978,7.44,,,9,0,6.71,-1.59,0.398855641,,-1.64,0.1631,,,,,5.425,8.7,,,1.75,-2,-0.06,10.054,3.46,-3.75,5.0507432123,5.4177992143,5.5725,0.47521238,0.6179299898,6.5
-3,-4.5,Connecticut,Buffalo,4.5,,,,-8.03,,5.57,3.144,-4.12,-9.246,-0.8,-1.4,-1.3,1.9,-5.25,-2.02,3.5,-5.8,-1.8,,1.09,-0.61,0.86,2.44,-8.03,-6,-3.1561,-5.68,,,3,0,-2.15,9.29,-1.516359883,,-5.78,-0.5024,,,,,-6.3,-2.2,,,-3.15,-3,-0.16,10.935,0.74,0.02,-1.055884997,4.5921826268,-1.35,0.5591797098,0.4746196578,-4
6,6.5,Eastern Mich.,Central Mich.,9,,,,5.74,,7.01,8.187,4.64,18.654,4.5,4.3,5.1,-0.2,7.5,4.6,2.5,-8.4,3.2,,7.59,7.25,7.51,8.7,4.7,5,0.095,5.48,,,11,0,6.43,5.58,11.633374513,,6.54,-5.2793,,,,,-3.65,7.5,,,5.6,5,7.44,0.148,-0.73,1.76,4.9063354031,4.9020618108,5.53,0.4726118885,0.6157152077,6.5
-5.5,-6.5,BYU,Colorado,-8.5,,,,-6.98,,-5.23,-5.613,-10.21,-13.61,0.1,-0.7,0.3,-8.3,-6.59,-6.98,1,-5.7,-4.6,,0.25,1.94,3.23,-7.24,-13.89,-21,-8.0768,-5.89,,,-10,0,-21.8,-14.56,-9.299253318,,-6.52,-1.0667,,,,,-3.375,-10.9,,,-9.8,-15,-11.16,-16.722,-5.49,-7.23,-7.228132037,5.9412591229,-6.98,0.4876078655,0.3354311738,-6.5
3.5,5,Washington St.,Colorado St.,-3,,,,4.02,,8.32,4.189,-3.17,4.011,3.9,5.1,3.1,-0.3,-6.98,-4.43,6,-1.6,3.4,,8.44,9.17,6.73,10.44,1.65,3,7.16,3.09,,,7,0,13.33,2.75,-4.004960291,,-0.78,3.5041,,,,,4.5,8.9,,,0.35,-2,4.96,15.09,0.83,-2.88,3.4941427697,4.9975038133,3.70205,0.4741413951,0.582853246,5
3.5,5,Army,East Carolina,4,7.27,,,2,,-6.64,-5.589,2.55,-1.717,-1.6,0.01,-0.7,-5.2,7.35,0.47,-1.5,4.5,3.2,,7.72,7.79,5.4,11.19,6.02,7,7.0425,-2.29,,,3,0,20.89,4.54,8.677657249,,4.65,-5.7337,,,,,3.525,9.4,,,2.8,10,6.1,-0.228,-0.61,1.47,3.1553366824,5.4397958546,3.2,0.4684689825,0.5743145828,5
-13.5,-13.5,Memphis,Florida Atlantic,-25.5,,,,-23.97,,-16.84,-24.638,-14.17,-23.81,-20.6,-19.3,-22.1,-17.7,-12.7,-16.36,-10.5,-28.2,-8.1,,-12.69,-12.26,-11.52,-19.34,-20.89,-32,-11.9775,-20.37,,,-21,0,-21.69,-25.28,-23.54628499,,-15.48,-23.738,,,,,-32.4,-16.8,,,-29.05,-19,-25.47,-31.62,-18.13,-24.34,-20.39110514,6.3326109605,-20.745,0.3848573642,0.1172144744,-14.5
3.5,3,Alabama,Georgia,14,,,,-1.7,,2.37,7.605,-3.68,19.802,1.4,2.5,1.9,3.4,10.4,0.53,4,0.4,2.9,,3.81,3.58,5.4,2.14,-4.51,-1,1.1135,2.68,,,6,0,3.41,12.24,15.120291607,,2.94,2.862,,,,,-4.2,-3.2,,,5.95,-1,6.62,8.434,3.58,9.88,4.129910878,5.4321309435,3.17,0.5193277486,0.5968792739,3
-5.5,-7,USC,Illinois,-5,,,,-7.8,,6.31,4.569,-7.84,-7.93,1,0.5,0.9,-7,-0.78,-6.23,-0.5,-21.9,-4.8,,1.15,0.3,1.3,1.02,-10.09,-1,-6.2327,-4.02,,,0.01,0,-13.54,-0.06,1.773724044,,-3.84,-6.4659,,,,,-6.375,-6.3,,,-2.8,-15,1.02,2.683,-4.29,-0.27,-3.12605211,5.430978916,-1.9,0.5659888927,0.4263549016,-6.5
-7.5,-7.5,Indiana,Iowa,0.01,,,,-19.65,,-7.5,-3.413,-14.35,-21.21,-4.2,-4,-6,-5.4,-14.71,-5.99,-7.5,-12.7,-6.7,,-3.31,-3.51,-1.35,-8.13,-28.56,-34,-8.6296,-14.15,,,-5,0,-16.39,-2.73,-5.517685891,,-17.9,-8.8621,,,,,-13.475,-13.3,,,-8.05,-19,-2.1,-13.632,-6.59,-2.59,-9.752760719,7.6172692687,-7.5,0.4624788039,0.2904326646,-7.5
7,6.5,Arizona,Iowa St.,14.5,,,,8.42,,17.97,15.306,6.38,15.157,12,11.1,11.7,10.5,2.08,10.92,16.5,2,5.3,,10.78,10.39,12.47,10.45,0.6,-3,2.6675,11.37,,,12,0,-3.97,13.9,5.627862787,,-1.92,12.1963,,,,,1.425,3.6,,,7.6545,-5,11.97,8.909,5.89,12.2,8.4734211885,5.6511568772,10.475,0.5336544941,0.6918497469,6.5
16.5,17.5,Georgia Southern,James Madison,10.5,,,,17.22,,10.78,8.912,11.06,14.805,6.8,9.3,9.8,14.1,8.21,13.06,11,15.3,15,,13.46,13.43,11.09,18.65,15.93,17,9.5296,16.04,,,14,0,27.41,17.92,13.46127165,,15.71,18.6345,,,,,23.75,14.5,,,15.05,13,13.28,13.941,13.63,10.46,13.964538101,4.1502821693,13.7855,0.439043983,0.8017625234,16.5
6.5,4.5,Cincinnati,Kansas,11.5,,,,3.69,,-2.13,7.741,3.74,6.506,11.9,10.9,12.8,6.3,7.74,4.79,3.5,3.5,3.5,,7.51,7.07,7.16,9.17,2.74,6,5.0485,8.11,,,8,0,1.98,17.1,11.786503088,,3.73,10.0397,,,,,19.75,4.1,,,10.8255,-1,12.95,15.38,7.82,11.04,7.8690889747,4.5443627375,7.625,0.5579232257,0.6825441839,5
6.5,6.5,Central Florida,Kansas St.,-1.5,,,,8.31,,17.9,5.764,-4.53,2.497,3.3,4.7,2.9,3.5,-5.44,4.63,8,-8.5,4.4,,6.17,7.11,9.63,1.45,-1.61,-12,1.6061,2.34,,,3,0,-15.18,-2.15,-2.928207586,,0.1,3.4534,,,,,4.7,-1.4,,,-4.55,-24,-1.08,2.478,5.73,-0.56,1.4511192337,6.1506053694,2.4875,0.4149118265,0.5338474691,5.5
6.5,7.5,Middle Tenn.,Kennesaw St.,5,,,,10.01,,3.35,9.396,7.04,14.345,4.2,3.9,4.4,4.5,16.73,-2.47,2.5,6.2,2.6,,8.41,10,7.39,8.47,13.74,18,5.8678,8.49,,,,0,9.44,10.5,15.431159382,,12.98,4.9703,,,,,6.225,9.4,,,8.05,9,8.77,11.686,7.88,5.82,8.0920359823,4.36064984,8.05,0.5102291783,0.6878405593,7.5
3,1,Marshall,Louisiana-Lafayette,-2.5,,,,-3.14,,10.08,3.961,-2.72,-13.05,-2.2,0.01,-2.7,0.1,-5.56,-2.36,4,-2.1,2,,3.72,3.5,6.54,0.16,-5.46,-3,-0.4723,-4.24,,,-1,0,-5.18,-5.64,-4.62420975,,-2.81,-4.7509,,,,,-1.45,0.7,,,-3.85,-5,-7.37,6.291,2.41,-0.56,-1.202094715,4.4302179713,-2.15,0.4620274406,0.4710340822,1
2.5,1.5,Arkansas St.,Louisiana-Monroe,5,,,,2.13,,-0.83,5.185,-1.46,2.782,6.5,4,5.7,1.3,2.47,-0.6,2.5,-6,0.1,,3.68,1.86,3.34,6,-6.66,-5,1.6219,-1.23,,,2,0,10.06,6.97,6.244504827,,-4.54,0.6964,,,,,-15.15,0.6,,,4.9,-2,4.54,-0.945,-3.38,4.37,1.3543001341,4.7795798034,2.065,0.497491338,0.5324360378,1.5
6,5,Rutgers,Minnesota,4,,,,6.48,,-0.86,3.154,2.84,5.799,3.7,3.6,2.9,4.1,-1.68,5.93,11.5,0.3,3.1,,7.83,6.57,8.16,9.56,-1.42,-2,1.1238,3.79,,,4,0,7.4,7.16,1.398667659,,0.26,-0.63,,,,,-3.35,2.5,,,1.75,1,3.72,1.223,-1.33,-4.33,3.0069018794,3.7095098745,3.127,0.4654318791,0.5728983097,5
2.5,1.5,LSU,Mississippi,7,,,,8.36,,,0.402,10.83,1.318,1.7,1.8,2.3,9.3,2.27,9.18,13,5.5,0.8,,4.02,4.18,2.88,4.95,9.11,10,6.4002,11.27,,,1,0,-1.35,5.8,4.198930559,,6.81,13.4791,,,,,17.57,4.8,,,5.25,10,2.91,10.97,7.99,4.37,6.0105208731,4.3096550356,5.25,0.5774799078,0.6420926546,2
-9.5,-7.5,Tennessee,Mississippi St.,-3.5,,,,-7.35,,-10.69,-5.362,-7.36,-9.823,-8,-9.2,-8.9,-10.5,3.18,-11.28,-14,2.5,-7.2,,-5.27,-5.4,-7.77,-4.45,-10.53,-10,-6.496,-12.2,,,-7,0,2.71,-10.26,-6.841664137,,-7.78,-13.9481,,,,,-9.47,-6.9,,,-2.8,4,-7.23,-9.612,-5.94,-2.01,-7.130076782,4.1091423435,-7.355,0.5064047584,0.3324299428,-7.5
42,44.5,Massachusetts,Missouri,41.5,,,,46.41,,49.18,40.301,42.87,35.92,50.9,48.9,50.8,44,19.45,42.41,25,44,32.5,,43.04,43.18,42.15,53.2,54.57,56,44.6226,47.8,,,50,0,54.31,46.58,50.538241142,,44.56,47.7854,,,,,68.93,49,,,45.857,46,48.5,52.155,44.4,39.46,45.577201143,8.5689750548,46.1335,0.5177250242,0.9941118846,44.5
-5.5,-5,Western Kentucky,Missouri St.,-13.5,,,,-2.82,,-3.5,-5.62,-5.51,13.48,0.5,-1,2.2,-6.3,0.92,-6.86,-9.5,-5,-6.8,,-1.38,-2.3,-2.07,-0.99,-9.87,-8,-1.195,-2.6,,,-5,0,-11.79,-24.48,3.84642529,,-6.95,-4.6674,,,,,6.225,-6.7,,,-6.3,-14,0.25,-26.686,-3.45,0.31,-4.530749298,7.2506979865,-4.0837,0.5078642819,0.3979087846,-5
8.5,10.5,Virginia Tech,NC St.,17,,,,5.93,,8.24,6.904,7.96,13.911,2.4,4.5,3.4,5.5,14.67,3.18,5,26.4,4.4,,8.05,8.34,8.2,8.32,8.71,7,3.4155,2.84,,,8,0,16.11,10.35,9.962153083,,14.08,5.8255,,,,,31.875,8.3,,,14.7,14,6.95,6.595,6.6,10.75,9.2880042523,6.2217731599,8.025,0.4794425149,0.706393546,10
14.5,14.5,Rice,Navy,11.5,,,,22.03,,28.19,14.272,11.29,22.961,18.2,16.7,17.5,17.3,14.09,18.48,17,17.5,14,,19.43,20.28,20.81,20.17,19.4,14,15.7027,18.39,,,22,0,11.84,22.44,15.063496946,,15.2,11.0627,,,,,10.4,20.4,,,20.3,19,12.05,15.816,11.51,16.84,17.058830471,4.0818228658,17.15,0.5442232359,0.8501083868,14.5
13,14,New Mexico St.,New Mexico,7,,,,16.92,,8.11,12.731,14.16,22.186,15.1,13.9,14.9,16.2,-4.9,13.45,14,8.7,11.3,,14.48,16.14,12.14,17.62,19.28,23,16.1922,24.13,,,13,0,10.01,10.11,20.075548755,,12.51,20.3059,,,,,49.4,15,,,18.2,1,13.41,34.285,16.57,10.75,15.843490243,8.4307326649,14.69,0.5303755414,0.810227317,14
10.5,13,South Alabama,North Texas,18.5,,,,25.54,,16.06,15.666,12.91,29.99,6,5.6,5,11,18.05,8.93,9,36.4,13.8,,11.99,14.24,8.93,14.97,29.22,19,11.4419,19.4,,,17,0,29.3,15.9,16.932269611,,21.11,10.9154,,,,,28.025,16.5,,,28.35,29,14.46,23.658,11.6,20.32,17.103015823,7.6544437585,15.98,0.5680718003,0.8333161016,13
-3,-2,San Diego St.,Northern Ill.,2.5,,,,-2.28,,-6.85,1.741,0.85,10.986,-2.3,-1.7,-3.2,3.6,-5.82,-0.95,15.5,-8.1,-3.6,,1.93,0.24,3.83,0.86,-8.96,-13,-1.4726,-2.84,,,-5,0,-18.68,-9.52,-2.827153057,,-0.91,-3.7918,,,,,-3.575,-6.7,,,-4.9,-17,0.34,-2.551,-0.56,-5.49,-2.311126474,6.0017623474,-2.4255,0.4947076982,0.4460256384,-2
6,6.5,UCLA,Northwestern,4.5,,,,6.25,,12.7,2.473,7.53,5.504,6.9,7.4,7.2,0.4,14.85,-0.11,-3.5,2.2,4.1,,6.11,7.79,2.22,9.01,13.56,20,6.9474,6.79,,,7,0,28.07,4.28,9.606127163,,15.35,3.269,,,,,11.1,8.5,,,9.8,14,4.46,14.402,5.65,12.2,7.9030979768,5.9275761877,6.9737,0.5238725389,0.6789550076,6.5
11,9,Bowling Green,Ohio,9,,,,6.64,,16.3,10.027,6,3.349,13.3,12.1,13.3,11.9,4.65,9,13.5,4.4,7.3,,10.59,10.49,10.66,11.94,7.22,11,5.3879,9.19,,,13,0,10.42,9.75,14.021077723,,7.12,5.2494,,,,,9.575,10,,,11.081,1,12.39,17.191,12.38,10.17,9.9886493812,3.289433263,10.295,0.5172112429,0.7303282081,9
