lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
20.5,21,Wisconsin,Alabama,12.5,,,,,,12.99,11.445,17.45,7.472,16.3,17.5,17,14,6.71,19.2,14,,15.5,,18.35,17.39,16.76,26.06,20.72,17,15.6717,15.35,,,,0,19.56,8.87,-0.001719936,,10.96,18.3945,,,,,,24.9,,,,4,,15.229,18.05,6.45,15.059349335,5.4375181074,15.98585,0.3994369278,0.8144167868,20
0,1,Kansas St.,Arizona,1,,,,,,-1.72,-3.183,5.76,1.927,-3.3,-4.3,-4.4,-9.6,-5.98,-3.42,-13,,-2,,1.98,-0.81,-3.35,11.29,-0.49,3,2.6239,-2.12,,,,0,-6.28,-6.27,6.131861614,,9.72,-5.5806,,,,,,6.6,,,,30,,-1.753,-4.03,-0.18,-1.057794613,5.4060343619,-1.8765,0.4648230488,0.4749412397,1
14,14.5,Texas St.,Arizona St.,3,,,,,,26.17,14.515,11.01,19.147,32.3,27,30.3,11.2,11.67,14.6,9,,14.5,,6.2,7.91,8.49,2.29,11.15,7,8.3252,10.61,,,,0,0.15,4.22,7.597197759,,5.75,9.125,,,,,,12.6,,,,-1,,15.995,11.14,13.86,12.227479925,7.9213249787,11.075,0.4623055656,0.7539704482,14
-20,-21,Iowa St.,Arkansas St.,-18.5,,,,,,-27.06,-21.685,-25.05,-22.878,-33.3,-29.1,-31.9,-26.4,-10.61,-27.3,-6.5,,-18.5,,-12.7,-12.94,-10.37,-20.75,-27.47,-32,-16.0149,-26.66,,,,0,-17.62,-22.57,-15.82592226,,-20.33,-27.2031,,,,,,-24,,,,-18,,-21.008,-20.85,-32.16,-21.97516408,7.0556227904,-22.1275,0.4836201412,0.1036878197,-21
24.5,24.5,South Alabama,Auburn,12,,,,,,16.89,25.809,22.18,21.539,26.8,25.5,25.7,17.3,10.56,21.78,4.5,,23.5,,18.59,18.06,18.86,23.68,20.38,19,20.8826,18.55,,,,0,4.57,11.19,16.299756228,,18.42,13.1312,,,,,,26.7,,,,11,,22.682,13.86,23.61,18.750785208,5.9748824783,18.93,0.4031452128,0.8646942587,24
-5,-6.5,Liberty,Bowling Green,-1,,,,,,-9.67,-3.759,5.07,11.921,-1.9,-3.6,-2.8,0.4,7.35,0.56,1.5,,-6.9,,2.1,1.56,0.77,3.97,1.56,-1,1.1618,5.03,,,,0,-3.55,-0.26,6.116296917,,3.97,0.4724,,,,,,-3,,,,-1,,10.116,-1.93,-2.91,0.7116165639,4.6716299413,0.5162,0.6223070241,0.5170886248,-5
-1.5,-2,Minnesota,California,-4,,,,,,-9.48,-6.307,-4.1,-1.24,-10.7,-7.7,-7.2,-4.7,-5.77,-5.27,2.5,,-2.9,,-3.29,-3.06,-2.94,-6.26,-5.88,-9,-0.5442,-8.07,,,,0,-7.53,-7.46,-4.774873985,,-0.04,0.3012,,,,,,-9.2,,,,-13,,-9.324,-2.05,-12.27,-5.2752958,3.5387541568,-5.52,0.4432482487,0.3732977285,-2.5
-6.5,-7.5,East Carolina,Coastal Carolina,3,,,,,,-3.29,0.555,-7.05,-9.817,-5.9,-6.4,-7.1,-2.5,-9.93,-7.73,-5,,-5.8,,-5.1,-4.81,-0.45,-14.81,-11.67,-18,-9.4413,-15.59,,,,0,-3.6,-7.96,-5.845374755,,-13.46,-5.6804,,,,,,-12.9,,,,-26,,-9.2,-1,-9.15,-7.187635825,4.865549362,-6.725,0.5053740141,0.3331109249,-7.5
-11,-10,Connecticut,Delaware,-13,,,,,,-7.68,-12.475,-9.4,-16.662,-7,-8.2,-7.9,-8.7,-7.49,-13.03,-5,,-12.8,,-6.91,-6.79,-4.62,-13.59,-15.5,-21,-7.1229,-18.86,,,,0,1.81,-19.45,-2.869760376,,-9.79,-2.1745,,,,,,-12.1,,,,-11,,,-0.3,-16.17,-9.819798634,5.6950854042,-8.7,0.5030753531,0.2808842127,-10
2.5,2.5,Florida Atlantic,Florida Intl.,0.5,,,,,,1.62,4.769,1.87,0.674,1.5,0.8,2.2,1.4,9.72,-2.57,6.5,,0.6,,5.44,4.92,4.06,8.47,-0.4,,-0.7138,4.95,,,,0,-2.83,-0.03,6.2982300812,,5.59,6.057,,,,,,6.9,,,,-5,,10.38,0.35,2.16,3.1442906925,3.4805261496,2.16,0.5112045614,0.5764216435,2.5
