lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
5.5,6,Hawaii,Air Force,4,,,,6.2,,6.77,-0.586,2.27,,1.4,1.4,1.1,4.3,-6.78,8.09,-1,-15.6,5.1,,4.4,4.55,3.93,4.61,2.63,5,3.8857,5.99,,,,0,1.22,3.55,-1.467305645,,3,6.7294,,,,,,5.2,,,,-1,-0.66,-0.93,7.03,1.18,2.3909935736,4.5350753527,3.71785,0.4379794058,0.5573666342,5.5
3,2.5,TCU,Arizona St.,0.01,,,,1.12,,3.68,3.084,-0.36,,5.1,3.4,4.1,0.3,-1.04,-1.24,5.5,-18.3,1.7,,6.71,6.7,7,6.75,-2.35,-6,-0.1586,2.18,,,,0,-0.53,-7.32,-2.594517291,,-2.84,-3.093,,,,,,1.7,,,,-4,1.07,1.665,-0.27,-1.14,0.4538400847,4.9518616168,0.685,0.4648693737,0.5108475203,2.5
-6,-4,Notre Dame,Arkansas,-6,,,,-8.24,,-9.88,-3.186,-3.47,,-9.9,-9.7,-10.7,-10.9,-0.21,-7.71,-4,-2.6,-4,,-3.29,-3.44,-6.8,-1.52,-7.16,-8,-1.5086,-6.37,,,,0,7.1,1.34,-1.308920849,,-1.26,-12.4088,,,,,,-5,,,,9,-0.24,-2.834,-7.11,-2.3,-4.768947527,4.2018532042,-4,0.4866981792,0.3861593894,-4
14.5,16,Appalachian St.,Boise St.,14.5,,,,25.95,,35.18,21.933,13.51,,26.5,24.6,26.8,16,6.08,16.9,22,-4.8,17,,21.01,20.93,20.48,25.66,18.82,23,12.8559,22.03,,,,0,3.62,12.44,18.39638691,,11.42,13.3938,,,,,,19.2,,,,4,19.81,17.092,13.78,23.51,18.112533966,7.5991051558,19.01,0.5352003803,0.8475158616,16
6.5,6.5,California,Boston College,-2,,,,13.46,,11.02,0.611,5.72,,12.8,10.6,10.4,0.5,-5.53,4.98,2,0.5,4.4,,9.12,10.03,8.89,9.21,6.46,-2,8.7125,7.44,,,,0,6.71,-1.59,0.398855641,,-1.64,0.1631,,,,,,8.7,,,,-2,-0.06,10.054,3.46,-3.75,4.6802954888,5.3285662693,5.35,0.4688604784,0.6096907957,6.5
-3,-4.5,Connecticut,Buffalo,4.5,,,,-8.03,,5.57,3.144,-4.12,,-0.8,-1.4,-1.3,1.9,-5.25,-2.02,3.5,-5.8,-1.8,,1.09,-0.61,0.86,2.44,-8.03,-6,-3.2806,-5.68,,,,0,-2.15,9.29,-1.516359883,,-5.78,-0.5024,,,,,,-2.2,,,,-3,-0.16,10.935,0.74,0.02,-0.701261246,4.4691952645,-1.05,0.5652885425,0.4831031575,-4
6,5.5,Eastern Mich.,Central Mich.,9,,,,5.74,,7.01,8.187,4.64,,4.5,4.3,5.1,-0.2,7.5,4.6,2.5,-8.4,3.2,,7.59,7.25,7.51,8.7,4.7,5,-0.2398,5.48,,,,0,6.43,5.58,11.633374513,,6.54,-5.2793,,,,,,7.5,,,,5,7.44,0.148,-0.73,1.76,4.5215398285,4.1729925466,5.29,0.4830719712,0.6081323146,5.5
-5.5,-6.5,BYU,Colorado,-8.5,,,,-6.98,,-5.23,-5.613,-10.21,,0.1,-0.7,0.3,-8.3,-6.59,-6.98,1,-5.7,-4.6,,0.25,1.94,3.23,-7.24,-13.89,-21,-8.1241,-5.89,,,,0,-21.8,-14.56,-9.299253318,,-6.52,-1.0667,,,,,,-10.9,,,,-15,-11.16,-16.722,-5.49,-7.23,-6.983595416,6.1270051543,-6.785,0.4917856545,0.3412675687,-6.5
3.5,5,Washington St.,Colorado St.,-3,,,,4.02,,8.32,4.189,-3.17,,3.9,5.1,3.1,-0.3,-6.98,-4.43,6,-1.6,3.4,,8.44,9.17,6.73,10.44,1.65,3,7.3393,3.09,,,,0,13.33,2.75,-4.004960291,,-0.78,3.5041,,,,,,8.9,,,,-2,4.96,15.09,0.83,-2.88,3.4408574909,5.2422811475,3.45205,0.4732896729,0.5812485906,5
3.5,5.5,Army,East Carolina,4,,,,2,,-6.64,-5.589,2.55,,-1.6,0.01,-0.7,-5.2,7.35,0.47,-1.5,4.5,3.2,,7.72,7.79,5.4,11.19,6.02,7,7.0767,-2.29,,,,0,20.89,4.54,8.677657249,,4.65,-5.7337,,,,,,9.4,,,,10,6.1,-0.228,-0.61,1.47,3.184489289,5.7489755999,3.6,0.4605693339,0.574545154,5.5
-13.5,-13.5,Memphis,Florida Atlantic,-25.5,,,,-23.97,,-16.84,-24.638,-14.17,,-20.6,-19.3,-22.1,-17.7,-12.7,-16.36,-10.5,-28.2,-8.1,,-12.69,-12.26,-11.52,-19.34,-20.89,-32,-11.9059,-20.37,,,,0,-21.69,-25.28,-23.54628499,,-15.48,-23.738,,,,,,-16.8,,,,-19,-25.47,-31.62,-18.13,-24.34,-19.61713078,6.1022466439,-19.855,0.3972227039,0.1251733361,-14
3.5,3,Alabama,Georgia,14,,,,-1.7,,2.37,7.605,-3.68,,1.4,2.5,1.9,3.4,10.4,0.53,4,0.4,2.9,,3.81,3.58,5.4,2.14,-4.51,-1,1.0655,2.68,,,,0,3.41,12.24,15.120291607,,2.94,2.862,,,,,,-3.2,,,,-1,6.62,8.434,3.58,9.88,3.7836497377,4.7770454586,2.92,0.5134907114,0.5899480379,3
