lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
0,-4,New Mexico,Air Force,-6,-4.24,-5.52,-4,-3.3,12.38,-5.799,-2.27,-7.644,1.3,1.2,1.6,-1.9,-5.62,2.7,-8,-0.6372166,-3,2.2,2.13,2.38,-2.27,6.62,-4.02,-2,-2.2691,-2.75,,,2.29,0,-4.652945018,0.83,-3.05,-0.003792336,,-2.76,-0.8934,-12.93400461,,,,-4.2,1.4,-1.898048371,-11.1405,-5,1.42,0.221,2.05,-2,,,-1.380473849,4.198096429,-2,0.5452269228,0.4666230558,-4
-3,-5,Marshall,Appalachian St.,-1.5,1.58,-4.89,-5,-6.6,-4.12,1.658,-5.88,-9.801,-8.5,-6.4,-7.8,-6.1,-3.37,-4.17,-8.5,-4.36034,-3.5,-2.6,-4.17,-4.6,-3.36,-5.71,-7.57,-1,-4.4653,-6.54,,,-4.24,0,-4.594885675,-3.58,-9.57,-2.988337762,,-2.66,-5.6922,-3.728605671,,,,-8,-4.5,-2.255048754,-5.1765,-5,-6.08,-5.908,-2.73,-2.5,,,-4.762214086,2.5704614373,-4.547442838,0.5041575092,0.3839985914,-5
6.5,7,Baylor,Arizona,15,9,9.36,7,10.2,1.83,5.346,7.79,9.704,0.3,1.5,0.6,9.3,9.49,3.77,-6,13.23999,4.2,3.6,6.06,5.61,5.92,7.04,11.81,10,4.6329,12.07,,,4.08,0,11.141258684,19.26,7.84,9.618753542,,11.39,3.6804,13.578093804,,,,12.65,5.9,1.6754021,15.05,8,10.87,6.139,7.81,9,,,7.6450575557,4.7217526037,7.825,0.5111109328,0.677217736,7
3,2.5,Louisiana-Lafayette,Arkansas St.,7,1.69,3.06,2.5,0.98,1.17,6.572,0.85,7.092,1.7,2.6,1.7,2.2,5.59,-2.06,-6.5,3.388971,0.9,2.5,3.45,2.25,3.12,5.2,2.54,3,1.7948,2.09,,,3.26,0,3.893168693,4.54,5.03,6.355880037,,4.17,-1.4346,10.099051993,,,,4.85,1.4,0.7061858632,5.25,3,7.03,6.57,1.05,3.5,,,2.9835554933,2.6921852477,3.03,0.5084489312,0.5732246147,2.5
10.5,10,Tulsa,Army,12,15.64,14.86,10,9.31,19.28,17.27,16.09,17.46,19.1,17.2,18.9,14.9,11.61,18.72,20,14.89204,11.7,8.9,14.78,14.97,17.45,13.13,12.98,12,12.9644,13.3,,,11.28,0,17.101575136,13.94,6.94,13.742051605,,11.73,14.0215,18.295812242,,,,19.8,13.2,5.11536493,18.9,6,12.11,14.553,14.31,12.5,,,14.588364169,3.1421717293,14.4315,0.5794426571,0.8154251839,11
17,16.5,Colorado St.,Boise St.,17.5,21.9,15.32,16.5,22.6,24.4,16.561,17.64,19.303,23.4,22.8,23.9,17.4,15.39,22.86,15,19.93065,16.5,16.6,19.06,18.7,18.4,22.37,18.53,22,16.4085,19.9,,,22.34,0,17.806946327,20.28,13.52,13.722179317,,19.24,17.4657,17.784781109,,,,24.275,19.1,2.370825566,24.85,14,19.19,15.443,18.39,13,,,19.074899391,3.2239354579,18.88,0.5447638247,0.8796230245,16.5
3.5,3,Akron,Bowling Green,4.5,7.17,7.04,3,2.12,6.92,7.948,8.42,6.221,3.4,3.7,4.6,9,4.01,9.47,8,6.501587,4.6,3,6.58,6.76,7.01,6.3,6.56,-2,6.879,5.42,,,3.28,0,10.773739572,1.72,2.82,1.7357551886,,5.26,7.3823,5.3653752951,,,,10.5,7.9,0.253546332,5.95,-1,1.44,-1.422,7.28,8.5,,,5.581234544,2.9169992741,6.4007935,0.5449540159,0.6347556204,3.5
1.5,-2.5,Miami (Ohio),Buffalo,2,-1.07,-4.11,-2.5,-6.43,1.6,0.563,-4.62,-2.864,-1.3,-1.8,-3.4,-6.9,-3.13,-5.33,-0.5,-3.04579,1.1,-2.8,-3.34,-3.39,-1.93,-5.86,-7.07,-10,-3.1859,-5.66,,,-4.02,0,-4.510894204,3.74,-1.94,-4.681096714,,-4.04,-3.513,-14.07996843,,,,-3.25,-2,-0.556762367,-1.05,-1,-10.92,-9.34,-4.47,-1.5,,,-3.349192023,3.0805455487,-3.295,0.4851965761,0.4182673526,-2.5
14.5,13.5,Oklahoma St.,Central Florida,17.5,17.74,15.96,13.5,15.99,12.23,12.587,17.81,18.472,19.5,19.1,20,18.2,15.1,14.65,13.5,19.57094,19.5,15.9,15.43,15.68,16.22,15.91,19.63,23,16.4075,18.05,,,14.32,0,21.1286911,26.36,16.73,21.640705942,,15.47,17.1444,26.148012328,,,,26.5,18.8,14.070791091,20.3,15,16.71,15.858,13.05,15.5,,,17.578730926,3.2061984021,16.9372,0.5706905999,0.8602233634,14.5
-2,-2.5,BYU,Cincinnati,-10.5,0.98,-8.63,-2.5,-6.66,-5.68,-5.964,-6.55,-7.65,-4.2,-3.4,-4.1,-4.6,-4.65,-4.88,-8,-7.565476,-3.2,-3.1,-3.54,-2.48,-4.76,-4.47,-8.12,-15,-4.5872,-8.35,,,-5.47,0,-8.521791,-10.39,-5.66,-8.224231808,,-5.6,-5.0734,-11.59802877,,,,-1.275,-4.9,-3.257800349,-5.25,-5,-8.65,-5.434,-4.46,-4,,,-5.81412747,2.794486681,-5.342,0.4423230877,0.3596745328,-3.5
-7.5,-7,Arizona St.,Colorado,-6.5,-5.01,-7.55,-7,-8.42,-9.69,-8.044,-5.62,-12.799,-8,-8,-8.5,-8.5,-6.3,-4.16,-1,-6.697716,-7.3,-9,-6.31,-6.35,-8.21,-5.83,-6.76,-11,-3.4005,-6.55,,,-5.57,0,-7.183801421,-9.68,-7.97,-5.065187631,,-3.79,-2.57,-8.967867369,,,,-12.725,-7.1,-2.2391445,-14.35,-10,-7.72,-7.443,-5.94,-3.5,,,-7.152705126,2.6909678676,-7.141900711,0.4973316608,0.3290504014,-7
-3.5,-4,Tennessee,Florida,-3.5,-4.19,-4.47,-4,-3.65,-0.36,-2.673,-5.41,-3.103,-1.9,-2.4,-1.9,-7.3,-5.89,-6.31,-6.5,-7.450523,-4.1,-2.1,-0.88,-0.74,-3.09,0.66,-6.44,-7,-3.7941,-5.32,,,-4.1,0,-3.893199419,-6.2,-11.49,-2.619578703,,-3.61,-4.6213,-10.40032574,,,,-11.98,-2.3,-1.353768495,-8.3685,-11,-1.75,-1.401,-4.52,-1.5,,,-4.204105028,2.7584920795,-3.84364971,0.4964347882,0.3974610596,-4
-7,-7,Connecticut,Florida Atlantic,-3.5,-6.41,-5.05,-7,-2.96,-12.53,-11.277,-9.03,-0.592,-11.8,-10.7,-12.2,-7.7,-8.06,-3.51,-4,-7.458807,-7.8,-6.9,-6.45,-6.94,-7.07,-6.58,-7.68,-8,-3.6261,-6.38,,,-7.04,0,-5.389699717,-11.61,-6.82,-1.689362341,,-5.1,-6.5483,6.4797306395,,,,-2.15,-8.2,-0.005036632,-9.191,-9,-6.38,-6.394,-2.56,-2.5,,,-6.644406726,2.9924572883,-6.7,0.5062031749,0.3409958177,-7
1,0,Jacksonville St.,Florida Intl.,-0.5,-1.33,-1.34,0,0.28,-1.08,-5.49,-3.48,2.106,-3,-3,-4,0.4,0.05,-4.61,-6.5,2.659828,3.1,0.5,0.89,1.33,-0.28,1.31,0.48,1,-1.0482,0.77,,,-2.11,0,-0.838103961,-1.21,-0.04,2.026011143,,1.76,-1.6193,-3.557435069,,,,-2.8,-0.7,-0.38890737,-3.15,-5,-1.47,-2.092,-0.96,0.5,,,-0.83714412,2.1955407545,-0.769051981,0.4853410112,0.4792501438,0
2.5,3,Utah St.,Fresno St.,8.5,2.7,2.26,3,1.6,9.3,14.45,3.27,3.899,5.7,6,5.7,1.8,5.51,4.19,5.5,3.595285,2.7,4.9,5.75,5.15,7.57,4.61,-0.13,3,0.3389,0.25,,,6.23,0,1.7805895798,6.71,6.1,5.168186225,,0.55,5.8768,6.8652870517,,,,5.3,4.7,1.2096855612,9.1,3,8.78,5.043,5.1,3,,,4.7887940201,2.8704014599,5.0715,0.531195529,0.6162771679,3
45,43,Charlotte,Georgia,38.5,44.27,46.53,43,48.24,48.37,42.364,44.65,35.08,55.4,55.9,57.7,55.5,19.5,46.89,24.5,46.25705,40.5,50.6,51.2,48.44,53.83,58.38,51.98,45,49.8902,49.96,,,50.17,0,55.620898302,51.5,48.4,51.798187594,,41.25,48.1271,40.124281715,,,,67.305,53.3,19.782254999,49.35,31,59.6,51.802,47.38,38,,,48.075860897,8.7517181244,48.895,0.582723196,0.9959047725,44
-10,-12.5,Old Dominion,Georgia Southern,-6.5,-12.54,-10.76,-12.5,-11.05,-1.95,-3.588,-8.84,-14.06,-6.1,-5.8,-7.1,-10.9,-6.45,-7.12,-1,-9.439951,-13.1,-9.5,-6.06,-6.86,-4.85,-7.86,-14.01,-12,-7.822,-12.69,,,-6.03,0,-12.75346253,-10.13,-12.8,-3.656894648,,-11.84,-8.117,-13.40338645,,,,-23.425,-10.4,-1.370712746,-14,-10,-2.36,-4.314,-6.16,-7,,,-8.773407704,4.2842400155,-7.9885,0.5641558766,0.2974947943,-12
3,2.5,Pittsburgh,Georgia Tech,11,3,-0.09,2.5,-2.94,0.8,5.627,1.11,2.733,4.3,3.4,3.5,-1,2.95,1.02,0.5,-1.720482,3.1,0.01,2.31,0.86,5.58,0.29,-2.03,-4,1.6274,-1.36,,,0.13,0,-1.352130324,6.47,-2.09,-1.241585165,,0.69,0.7567,13.709065045,,,,-3.475,0.8,1.8771669852,8.4,1,2.02,2.474,-0.34,0.5,,,1.3577225628,3.1140894492,0.8,0.4800950505,0.5333167238,2.5
2,1,TCU,Houston,9,-2.3,1,1,2.31,-5.87,3.792,-0.08,4.106,-1.6,-1.7,-2.3,-2.1,4.56,-2.7,-7,5.171984,1.3,-0.7,3.52,2.1,2.49,5.82,1.58,4,-0.6044,2.5,,,0.65,0,0.466639057,7.64,5.53,2.513558288,,1.59,-5.5464,-2.001367244,,,,-0.2,4.440892E-16,1.352430614,5.95,5,7.07,2.51,0.89,1.5,,,1.4214845336,3.597077756,1.54,0.5073246546,0.5346655893,1
17,17,Michigan St.,Iowa,16.5,16.11,20.78,17,24.36,21.49,13.449,17.87,20.276,19.6,19.5,20.9,24.8,15.52,19.58,15.5,27.09633,22,18.7,18.79,17.36,19.07,22.3,20.69,21,16.0161,21.53,,,18.9,0,24.93648397,30.83,21.45,22.039239214,,15.05,22.265,6.920662841,,,,20.875,20.2,4.5134048688,26.6,14,24.43,25.766,21.76,18,,,20.59722883,3.6537992915,20.735,0.5622379595,0.8961119132,17.5
6,3.5,Kansas,Iowa St.,9.5,4.57,5.33,3.5,6.97,18.54,8.775,7.07,8.43,7.4,7,6.9,1.5,5.6,8.24,11,5.728092,6.9,4,7.5,7.01,8.39,7.6,7.09,3,3.5815,7.2,,,5.13,0,6.294516679,6.94,8.54,6.165740892,,7.08,6.2433,9.409623789,,,,6.925,4.8,1.8298890176,11.2,3,8.82,6.929,7.61,5.5,,,7.0750537393,2.6793758866,6.985,0.5622195707,0.6692288149,4.5
13.5,13.5,Washington St.,James Madison,14.5,13.78,8.75,13.5,13.73,19.22,17.523,7.97,19.007,12.1,14.2,13.2,8.6,8.98,6.48,10,15.11666,9.8,12.7,12.74,12.17,13.61,13.58,9.79,6,12.2561,10.88,,,11.8,0,10.63034245,23.91,11.61,7.80990415,,6.71,12.4648,26.491568491,,,,13.1,13.3,2.1874321568,16.8,12,14.88,13.96,9.82,8,,,12.286945165,3.7227858253,12.36045,0.4789462367,0.7735960173,13.5
6.5,6.5,Missouri St.,Kennesaw St.,6.5,9.07,8.04,6.5,4.7,3.76,6.956,3.19,5.081,1.9,2.3,1.3,8.1,6.53,-2.48,-0.5,9.274834,4.6,5.5,3.14,3.66,4.08,1.4,6.9,5,4.2746,6.75,,,1.24,0,11.559078938,5.34,2.44,6.50966362,,6.69,5.3376,10.440677679,,,,8.675,6.1,0.5457277072,8.4,4,-3.63,6.389,5.81,9,,,4.972169414,3.1980079807,5.3388,0.4733986755,0.6201536097,6.5
-8.5,-9.5,Central Mich.,Kent,-3.5,-8.38,-4.82,-9.5,-8.24,-12.83,-6.583,-8.95,-5.965,-12.4,-12,-13.8,-6.2,-5.78,-10.51,-1.5,-3.803171,-10.9,-10.2,-8.9,-9.47,-9.61,-9.39,-7.28,-7,-6.207,-6.81,,,-8.73,0,-4.555333099,-11.6,-8.99,-5.030785696,,-4.92,-6.399,5.7609732837,,,,-10.6,-8.5,-1.118935228,-6.3,-9,-5.4,-8.659,-5.62,-2,,,-7.708307245,2.9252705146,-7.76,0.5312364885,0.3171386389,-9.5
21.5,22.5,Western Kentucky,LSU,8.5,24.57,19.6,22.5,26.36,29.63,13.136,22.4,22.379,40.5,37.2,38.5,26.8,13.04,27.05,7.5,11.25861,25,25.2,25.71,26.57,25.84,27.72,25.51,24,23.7461,23.11,,,24.2,0,24.915252884,13.39,21.13,19.263208206,,19.77,27.237,5.473186157,,,,33.28,26.6,3.5194616392,19.95,1,20.07,36.809,20.12,18,,,23.639104277,7.4909828303,24.385,0.5190251315,0.9102607272,22.5
0,-1,Liberty,Louisiana Tech,7.5,5.83,8.19,-1,4.83,-0.46,1.482,6.18,9.352,0.9,0.6,0.7,8.1,9.88,3.46,-2.5,6.780508,2.4,1.9,5.27,4.63,5.79,5.61,10.41,9,5.3255,10.13,,,4.94,0,10.292540157,9.04,4.64,6.038942835,,11.29,6.6243,30.636052213,,,,7.425,5.3,0.8611746228,9.1,5,1.87,2.028,2.4,8.5,,,5.5194697748,3.4200812561,5.7,0.6119267346,0.632549486,0.5
-12,-14,Michigan,Maryland,-11.5,-13.67,-10.57,-14,-15.25,-10.42,-10.017,-11.03,-10.492,-13.6,-13.9,-14.6,-8.7,-7.08,-13.55,-9,-8.015568,-16,-12.9,-9.88,-9.62,-12.36,-9.77,-10.83,-16,-10.5822,-10.5,,,-9.88,0,-10.5836931,-16.18,-3.76,-5.807700777,,-7.58,-12.3534,-9.297292143,,,,-20.325,-13,-3.517723812,-18.2,-10,-11.86,-9.486,-10.65,-6,,,-11.38756405,3.3667906951,-10.61684655,0.5453730425,0.2422477714,-13.5
6,6.5,Sam Houston St.,Middle Tenn.,1,6.47,5.43,6.5,8.8,0.01,-7.072,0.28,3.243,1.9,2.5,2.6,6.1,2.06,0.43,-6,9.094481,7.6,2.4,3.8,4.42,1.44,5.53,6.17,4,3.3199,4.67,,,1.94,0,8.37732553,11.54,0.99,5.0791257235,,5.33,3.7935,-0.473894479,,,,11.975,4.5,0.112146848,2.8,2,-0.37,-4.015,7.12,7,,,3.6561333063,4.0314615818,3.79675,0.4508554925,0.5879991891,6.5
-5,-5,Florida St.,NC St.,4,-5.49,-4.6,-5,-6.64,-0.46,-0.503,-6.47,-1.763,-11.3,-5.1,-4.9,-8.7,-0.49,-4,4.5,-6.497496,-3.3,-7,-2.52,-4.25,1.07,-5.63,-10.79,-10,-5.3297,-7.52,,,-4.93,0,-7.253437858,-12.98,-11.59,1.200235874,,-6.97,-2.2161,20.677053459,,,,-18.7,-8.8,1.3867269016,-0.7,-7,0.22,-6.899,-3.79,-3.5,,,-5.01478745,4.6356177773,-5.015,0.4997450658,0.3812747356,-5
-6.5,-6.5,Duke,North Carolina,-5,-9.51,-9.22,-6.5,-3.86,-11.64,-1.418,-5.51,-10.067,-6.2,-9.8,-10.5,-7.8,,-2.56,-1,-8.946268,-7.7,-5.3,-2.62,-3,-3.18,-2.43,-9.2,-10,-7.2884,-8.63,,,-4.33,0,-10.18021009,-1.77,-7.54,-1.380555805,,-7.26,-8.4499,-19.77137693,,,,-8.575,-7.8,-1.676691932,-11.2,-10,-1.33,-2.138,-2.48,-5.5,,,-6.213162408,3.3031683057,-7.26,0.5049944996,0.3513287093,-6.5
-6,-6.5,Western Mich.,Northern Ill.,-6,-2.85,-6.12,-6.5,-9.39,-4.33,-8.472,-4.82,-10.056,-3,-4,-4.3,-4.3,-8.06,-1.89,5,-5.405655,-6.7,-6.3,-5.51,-5.39,-5.78,-6.61,-10.96,-12,-3.2024,-9.27,,,-5.49,0,-4.407050415,-11.79,-9.12,-4.546009491,,-8.07,-3.4309,9.5651320902,,,,-7.05,-5.4,-1.807360058,-11.2,-9,-12.3,-7.357,-3.19,-2,,,-6.126675373,3.3684755219,-5.645,0.5064976233,0.3534165291,-6.5
