lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
7.5,7,Houston,Arizona St.,4,,7.36,7,6.79,15.41,8.691,5.56,12.09,14.6,13.4,15.2,10.6,2.03,7.64,16.5,6.094858,7.3,8.7,9.01,8.54,8.63,10.7,4.02,6,5.9464,10.08,,,7.41,0,2.19,9.51,9.905352783,,2.79,9.7959,36.592996443,,,,9.65,7.4,10.142902521,1.7041431796,5.95,-3,11.87,12.533,8.81,4.35,,,8.6461388027,3.6010088042,8.691,0.5285833167,0.7016553846,7
1,1,Auburn,Arkansas,1,,-0.07,1,3.16,2.87,-2.519,-0.91,-7.058,-2.2,-3,-2.8,-3.5,-1.15,0.53,3.5,-2.571415,0.1,0.8,1.55,1.05,-0.96,5.39,0.61,-8,0.0808,2.15,,,1.15,0,-4.55,1.18,3.268301688,,0.47,-3.2582,-5.758409282,,,,-3.55,-2,0.114630394,-4.00636498,-3.85,-1,5.47,0.219,0.73,-2.65,,,-0.492407254,2.983215599,0.1,0.4739816322,0.4878864116,1
2,1.5,Georgia Southern,Arkansas St.,1.5,,3.45,1.5,0.29,-2.78,-1.701,0.49,8.692,-1.2,-0.3,-0.7,0.01,1.81,0.2,-1,1.043968,1.4,0.3,3.36,2.21,1.5,6.71,0.55,1,1.9628,2.41,,,0.99,0,0.28,0.9,5.820287589,,0.01,0.7133,17.1620999,,,,9.9,4.440892E-16,5.52404017,-1.175431964,0.01,-1,5.01,2.046,2.24,-1.53,,,1.6179845066,2.7331402686,0.99,0.5020611919,0.5398519178,1.5
10.5,9.5,Akron,Buffalo,14,,13.66,9.5,9.91,22.26,12.853,10.77,7.084,15.5,15.4,15.9,13.6,8.64,10.88,16,13.11917,23,12,12.12,12.77,12.73,11.96,8.88,11,8.7974,9.13,,,11.33,0,13.87,14.55,4.8019199762,,8.47,14.9609,8.6367311379,,,,18.125,15.1,17.814654243,-1.290909424,12.25,11,7.11,8.95,15.3,9.95,,,12.6806678,3.8397849087,12.73,0.5550075776,0.7803933003,10
16,16,Massachusetts,Central Mich.,24,,16.93,16,22.57,22.03,21.633,16.19,32.137,18.4,18.9,18.2,16.3,16.45,18.26,7,22.18371,22.5,21.6,21.91,19.93,25.52,23.36,19.21,20,14.1285,22.37,,,14.55,0,22.3,24.76,28.930873364,,14.4,15.2497,19.870533318,,,,7.925,19.2,18.874206902,23.928468758,16.0195,17,21.21,29.704,17.07,19.19,,,19.771679238,5.035167001,19.21,0.5645063629,0.8815858258,16.5
-27,-26,North Texas,Charlotte,-27,,-34.99,-26,-32.79,-26.06,-19.342,-20.49,-28.616,-17.4,-18.6,-19.3,-25.7,-13.17,-19.4,-9,-39.58778,-25.5,-24.3,-22.06,-23.67,-23.02,-23.83,-38.77,-34,-23.4011,-30.66,,,-18.22,0,-29.76,-28.26,-31.24303048,,-27.27,-26.764,-41.84757126,,,,-42.85,-28.4,-40.60602761,-30.0600265,-32.074,-33,-21.99,-23.177,-22.96,-25.61,,,-26.14976764,7.3271691507,-25.61,0.4974923289,0.0680098958,-26
5,4,Baylor,Cincinnati,15.5,,8.32,4,10.05,-1,5.926,8.55,7.327,-1.9,-0.4,-1.3,6.2,9.33,3.81,-4,11.31371,4.3,3.3,7.81,6.2,8.33,9.66,13.53,1,4.58,5.42,,,3.39,0,16.12,12.75,8.667217391,,11.02,3.953,-0.11989699,,,,4.75,7.2,9.171832157,1.6616999736,13.65,12,7.55,5.86,6.95,5.47,,,6.6245835782,4.695376266,6.95,0.5451273537,0.6549500305,4
10,9.5,Middle Tenn.,Delaware,14.5,9.38,8.87,9.5,11.99,13.2,6.54,11.15,13.254,10.2,9.2,10.1,8.2,13.53,5.63,12,14.218,10.1,10.9,14.1,12.85,17.44,13.47,12.88,6,7.7711,14.71,,,9.14,0,15.92,13.07,9.5858253886,,13.98,14.4143,26.519688644,,,,13.6,13,10.011078036,13.577340068,13.8775,12,10.4,4.687,6.74,13.31,,,11.347970086,3.0249457898,11.995,0.5321973016,0.7578945481,9.5
-10,-12,Ohio,Eastern Mich.,-11,,-12.91,-12,-11.06,-11.46,-7.884,-12.41,-11.19,-14.2,-13.5,-16.2,-13.4,-10.36,-13.35,-15.5,-12.43661,-15.5,-11.4,-8.85,-9.35,-10.24,-9.17,-17.35,-16,-8.8017,-15.4,,,-10.91,0,-12.12,-16.7,-9.027136298,,-14.46,-16.0432,-2.256299424,,,,-12.325,-12.9,-13.97543669,-3.599999136,-14,-13,-12.06,-14.229,-9.79,-12.45,,,-12.56184828,2.4739678441,-12.43661,0.4901727229,0.2180274814,-12
-1,-3,Kennesaw St.,Florida Intl.,1,-3.46,-16.3,-3,-9.07,-0.72,-1.675,0.88,-10.632,-1.8,-1.2,-2.4,-4.5,-7.89,5.2,7,-12.39982,-1.7,-0.8,2.35,0.77,1.35,5.02,-10.35,-13,-2.4282,-2.13,,,2.51,0,-0.1,-6.33,-8.614009196,,-3.5,1.5339,-16.92242979,,,,-5.875,-1.4,-17.75122956,-2.762478877,-10.5,-6,1.05,-13.712,-9.51,-8.25,,,-3.983333969,6.0637355911,-2.265,0.483289119,0.4076477821,-3
