lineopen,line,road,home,linehow,linedokter,linebihl,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
6.5,6,Louisville,Mississippi,9,,,,,,,,,,,,,8.09,,,10.5,,,,,,,,,,,,,0,,11.64,14.24,14.38446177,7.31,,,,11.3,,,,,,,9.85,,,10.701606863,2.4826179553,10.5,0.5816618457,0.7464874607,7
28.5,28.5,Louisiana-Monroe,Mississippi St.,16,,,,,,,,,,,,,28.85,,,24,,,,,,,,,,,,,0,,12.96,23.56,19.902626106,20.7,,,,28.9,,,,,,,26.51,,,22.375847345,5.5209309248,23.56,0.3964853557,0.9076861091,27.5
23.5,23.5,Ohio,Nebraska,2,,,,,,,,,,,,,15.79,,,11,,,,,,,,,,,,,0,,2.22,10.63,8.436828789,9.45,,,,21.6,,,,,,,8.49,,,9.957425421,6.1137058206,9.45,0.2820590416,0.7201665929,22
-4,-3,Western Kentucky,Nevada,-11.5,,,,,,,,,,,,,-4.01,,,-3.8,,,,,,,,,,,,,0,,-6.99,-4.65,-2.281735604,-3.63,,,,-7,,,,,,,-7.15,,,-5.667970623,2.7978875637,-4.65,0.4535119957,0.3630630579,-3
12.5,12.5,Central Mich.,New Mexico,6.5,,,,,,,,,,,,,9.25,,,12.7,,,,,,,,,,,,,0,,5.03,8.87,11.857886185,7.54,,,,13.2,,,,,,,10.53,,,9.4975429094,2.8247206261,9.25,0.4477228731,0.7213254821,12
10,8.5,Jacksonville St.,North Dakota St.,-20,,,,,,,,,,,,,14.88,,,25,,,,,,,5,,,,,,0,,-0.02,,8.357745141,13.04,,,,10.6,,,,,,,-10.55,,,5.1453050157,13.678008492,8.357745141,0.4495900563,0.5967679537,8.5
20,20.5,Wisconsin,Notre Dame,16,,,,,,,,,,,,,20.54,,,24.5,,,,,,,,,,,,,0,,37.05,27.89,23.102159969,18.22,,,,23.4,,,,,,,11.21,,,22.434684441,7.3973213186,23.102159969,0.5323291766,0.8991710699,20.5
49.5,50.5,Ball St.,Ohio St.,37,,,,,,,,,,,,,46.27,,,44,,,,,,,,,,,,,0,,54.6,48.47,43.169035836,40.06,,,,58,,,,,,,40.45,,,45.779892871,6.9173534839,44,0.4210796208,0.9957930397,49.5
40.5,40.5,UTEP,Oklahoma,29,,,,,,,,,,,,,37.31,,,35.5,,,,,,,,,,,,,0,,32.1,38.03,34.122553636,31.55,,,,45.7,,,,,,,40.11,,,35.935839293,5.0567943833,35.5,0.4221140187,0.9841916603,39.5
40.5,40.5,UTEP,Oklahoma,29,,,,,,,,,,,,,37.31,,,35.5,,,,,,,,,,,,,0,,32.1,38.03,34.122553636,31.55,,,,45.7,,,,,,,40.11,,,35.935839293,5.0567943833,35.5,0.4221140187,0.9841916603,39.5
24.5,24.5,Boise St.,Oregon,23,,,,,,,,,,,,,24.55,,,30.5,,,,,,,,,,,,,0,,19.3,26.56,27.224471642,17.04,,,,25.5,,,,,,,21.41,,,23.898274627,4.1818041099,24.55,0.4895885178,0.9265282876,24.5
23.5,23.5,Marshall,Penn St.,21.5,,,,,,,,,,,,,30.1,,,24,,,,,,,,,,,,,0,,19.58,26.56,26.452232921,21.39,,,,27.9,,,,,,,30.25,,,25.303581436,3.8947741472,26.452232921,0.5312466706,0.9384998187,23.5
16.5,15.5,Miami (Ohio),Pittsburgh,7.5,,,,,,,,,,,,,18.21,,,23,,,,,,,,,,,,,0,,11.82,17.63,15.62485836,12.55,,,,23.3,,,,,,,7.81,,,15.271650929,5.8512637516,15.62485836,0.496109386,0.8158121723,15.5
