lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-10,Georgia Southern,Appalachian St.,-5.5,3.41,-0.95,-10,-0.82,-7.67,-3.057,-2.46,,-3.2,-2.9,-2.6,3.8,-1.97,0.8,-5,,-3.7,-1.5,-3.15,-2.31,-4.27,-3.19,-1.12,1,,-0.87,,,-1.3,1,3.125,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.7236,-5.211252823,,,,-1.9,-1.575476776,-3.92,,,-2.574,1.08,2.5,,,-1.561288842,2.6710185544,-1.935,0.6441817052,0.4615154797,-8.5
6.5,-7.5,Navy,Cincinnati,-6.5,11.5,5.36,-7,2.28,-0.46,-3.941,8.64,-7.13,8.1,7.1,8,6.9,2.26,8.65,-10,,-0.9,5.8,3.63,5.28,0.96,4.87,9.18,11,,6.58,,,6.33,1,5.85,6.790130294,0.48,3.86,0.664203981,,0.064,5.4948,7.0601375149,,,,8.6,-1.282268342,-1.316,-2,-1.53,1.111,2.33,10.5,,,3.5891351125,5.1400120014,5.075,0.6833242969,0.5848556311,-6
1.5,3,Arizona St.,Duke,0.5,-4.2,-1.96,3,-1.68,-1.21,-4.399,-2.34,2.51,-6.4,-4.9,-6.3,-2.8,-2.2,-3.55,-5,,1.1,0.1,1.09,0.81,-1.46,4.24,-0.97,-2,,-0.14,,,0.62,1,-3.25,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.1375,-15.65480383,,,,-1.8,-0.82277815,-2.1,1,5.2,3.301,-0.9,1,,,-1.069255763,3.0636097651,-1.690123204,0.4294123181,0.4737347549,2
6.5,6,Mississippi,Georgia,3.5,4.86,1.97,6.5,1.4,2.38,1.536,1.13,7.72,3.7,3.7,3.3,6.2,2.38,2.89,-2,,6.7,0.9,2.71,2.39,4.04,2.28,1.23,2,,1.95,,,2.32,1,-3.78,3.240966691,8.81,3.33,5.325966661,,0.051,3.3021,-0.972542448,,,,3,-0.260667584,0.8575,-1,4.86,3.991,4.39,6.5,,,3.0280140356,2.4131828967,2.945,0.4481438374,0.5745041538,5
-6.5,-3,Tennessee,Illinois,1.5,-4.18,-0.86,-2.5,-1.2,-1.58,-2.677,-3.38,-5.4,-7.1,-8.2,-8.1,-2.6,0.87,-9.42,-3.5,,-3.6,-6.9,-5.95,-5.82,-4.98,-7.5,-3.82,-2,,-0.78,,,-7.21,1,-8.755,0.637329974,-6.18,-4.52,-3.620166489,,0.048,-3.6174,-2.09486849,,,,-2.8,-0.553323728,-1.4105,-3,-5.28,-6.287,-4.16,3,,,-3.877150961,3.0321593016,-3.720083245,0.4847051014,0.4055577357,-3
6.5,7,Alabama,Indiana,17.5,6.76,12.72,7,15.98,8.84,7.293,10.36,19.36,7.5,7.1,8.5,11.9,8.25,5.57,10.5,,8.2,11.7,6.12,4.86,5.1,9.67,14.46,18,,14.91,,,7.35,1,7.95,16.793170562,17.34,12.87,13.108154055,,-0.034,12.0531,24.029046231,,,,8.6,22.323075013,4.2,9,11.02,17.366,7.3,19.5,,,10.699195385,4.7459850726,10.015,0.5634424041,0.7400193194,7
7,10,Coastal Carolina,Louisiana Tech,5,8.63,8.63,9,11.06,6.31,-3.246,7.71,4.06,5.1,6,5.7,10.5,3.36,4.06,2,,3.5,8.2,6.99,8.54,3.19,10.1,12.71,14,,13.23,,,7.9,1,16.325,13.52672277,13.36,11.23,2.038003874,,-0.039,6.5069,25.506759124,,,,9.2,0.0140948308,6.44,11,4.26,0.917,5.15,16.5,,,7.3328585959,4.5580176173,6.74845,0.4540898871,0.6708887495,10
3,3,Wake Forest,Mississippi St.,-5.5,1.49,-0.21,3,-5.61,3.96,-1.424,2.85,1.88,9.3,3.7,3.5,3.2,-2.52,3.78,-5.5,,3.4,2.4,-1.38,-0.08,-2.22,-1.73,1.72,1,,-0.23,,,-0.44,1,0.95,1.435269211,0.26,4.98,1.638889044,,0.079,2.0186,9.835581181,,,,4.8,0.3714136976,-3.2795,-3,-5.3,5.137,-0.49,4.5,,,0.8438225857,3.3473362467,1.2176346055,0.4625208336,0.5206621892,3
6,9.5,Miami (Fla.),Ohio St.,8.5,9.65,6.5,9,8.54,4.72,6.04,8.98,8.84,9.9,8.2,8.3,9.6,6.89,15.2,2.5,,7.1,7.5,5.36,4.71,6.11,6.11,8.91,12,,7.55,,,8.46,1,7,7.866513206,11.46,8.33,9.11895218,,0.033,9.2796,5.842321912,,,,8.7,12.539716576,2.8,5,3.51,13.992,9.43,11,,,7.8602648786,2.9773932799,8.315,0.4714163986,0.686094173,9.5
-1.5,-2,Arizona,SMU,-3,-0.58,-2.73,-3,1.93,6.41,-4.29,-0.6,-2.62,-6.7,2.1,2.5,-5.2,-2.78,1.38,16,,-2.3,-3,4.18,4.54,5.09,3.02,-3.68,-5,,-2.02,,,0.63,1,0.425,-2.25366271,0.09,-6.84,-4.69327171,,-0.028,1.4317,5.791832971,,,,0.3,-1.266379976,-3.85,-3,-5.1,-1.923,1.66,0.5,,,-0.447400906,4.2933831244,-0.59,0.5268231172,0.4891875583,-2
