lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-7.5,Georgia Southern,Appalachian St.,-5.5,,-0.81,-4.5,-0.82,-7.67,-3.057,-2.46,,,,,3.8,,0.83,-5,,-2.1,,-3.06,-2.23,-4.06,-3.2,-1.06,1,,,,,-1.3,1,3.125,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.7236,-5.211252823,,,,-1.8,-1.575476776,-3.92,,,-2.574,1.08,2.5,,,-1.526772356,2.7603354204,-1.8,0.6031605669,0.4623985327,-6
2.5,1,Missouri St.,Arkansas St.,-2.5,0.08,-1.54,1,-4.44,5.73,2.429,-0.27,-2.227,5.2,5.4,4,-0.7,-2.04,0.17,-1,,2.1,,3,2.56,1.12,5.93,-2.64,-3,,-3.33,,,4.09,1,1.15,-0.83342782,-1.03,4.41,1.641843527,,-0.027,0.7277,1.7609296977,,,,0.7,-0.43759798,-3.0345,,6.15,11.093,-0.73,2,,,1.090259884,3.3625245678,0.7,0.5015710764,0.5266834446,1
-3.5,10,Connecticut,Army,-5,,1.3,8.5,-2.99,-0.96,-7.738,-1.33,,,,,,-1.29,5.53,1.5,,3.3,,-2.68,-2.02,-2.27,-4.15,-0.07,-1,,-0.54,,,-2.8,1,7.75,1.5208826886,-4.66,-2.71,-0.28848343,,0.152,8.4407,7.1137730749,,,,-2.3,0.8162507124,-2.884,,,-0.388,1.66,4.5,,,-0.413830025,3.6235337708,-0.98,0.3250664317,0.4898999312,8.5
2.5,5,Georgia Tech,BYU,12,,11.61,4.5,10.44,4.22,8,8.52,,,,,,9.08,8.89,8,,4,,4.57,3.59,5.33,5.42,11.2,17,,10.61,,,7,1,-4.625,13.072951019,12.03,11.32,15.041773596,,0.075,7.0992,20.416088959,,,,8.3,2.3256003912,8.4,,,6.537,8.78,16.5,,,8.4003641538,4.5772519364,8.46,0.5584408026,0.6937843293,5.5
6.5,-7,Navy,Cincinnati,-7,,4.33,-7,2.28,-0.46,,8.64,,,,,,,7.95,-10,,-2.3,,3.17,4.54,0.28,4.85,8.19,11,,,,,6.33,1,5.85,6.790130294,0.48,3.86,0.664203981,,0.064,5.4948,7.0601375149,,,,8.3,-1.282268342,-1.316,,,1.111,2.33,10.5,,,3.1825234917,4.9570099178,3.86,0.6695846666,0.5756114645,-5.5
-1,3.5,Penn St.,Clemson,-3,,-6.66,3.5,-7.54,-1.92,1.25,-7.44,,,,,,-4.03,-8.47,-0.5,,2.5,,-4.5,-4.99,-5.24,-3.51,-10.53,-11,,-9.17,,,-3.09,1,-3.925,-9.499940118,0.75,2.66,-3.945146338,,-0.106,-4.6444,-8.754561018,,,,-5.9,-0.292661197,-1.75,,,0.013,-4.4,-6.5,,,-4.169582882,3.7328720614,-4.215,0.3692665586,0.3994661999,2
-3.5,-2.5,Louisiana-Lafayette,Delaware,-2,-3,-1.67,-3,-3.14,-4.69,-4.728,-3.2,0.25,-6.6,-6.3,-6.5,-3,-1.58,-8.16,-8,,-3.3,,-6.37,-6.42,-5.18,-8.36,-1.51,-4,,-2.12,,,-6.67,1,4.475,-1.554278562,1.14,-1.28,-3.709334409,,-0.032,-6.6798,10.029624135,,,,-3.4,-0.05179347,-3.2025,,-10.84,-12.774,-5.63,1.5,,,-4.006348999,3.4595836762,-3.4,0.4738155452,0.4029729274,-2.5
1.5,2,Arizona St.,Duke,-0.5,,-2.16,2.5,-1.68,-1.21,,-2.34,,,,,,,-3.85,-5,,0.5,,1.03,0.73,-1.55,4.25,-1.11,-2,,,,,0.62,1,-3.25,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.1375,-15.65480383,,,,-1.9,-0.82277815,-2.1,,,3.301,-0.9,1,,,-0.728248852,2.7142581045,-1.55,0.4524456987,0.4820354029,1.5
-6,-9.5,Pittsburgh,East Carolina,-0.5,,-4.13,-7,-6.14,-10.44,-6.88,-9.33,,,,,,-3.19,-6.09,3.5,,-4.8,,-8.76,-8.45,-9.03,-9.76,-5.75,-6,,-4.75,,,-5.31,1,-2.025,-5.254636584,6.67,-0.46,-4.086359493,,-0.082,-6.4584,-5.012355654,,,,-7.6,-0.263468724,-3.801,,,-4.789,-3.79,-1.5,,,-4.632879869,3.8433756921,-5.027318292,0.5838137072,0.3887449218,-8.5
3.5,4.5,Miami (Ohio),Fresno St.,4,,3.13,5,1.79,-1.34,5.281,0.73,,,,,,2.13,3.19,-6,,3.1,,1.56,1.68,1.38,1.81,1.75,4,,1.62,,,2.45,1,3.775,3.5314562822,1.56,4.08,1.61120792,,-0.037,2.849,0.3900461949,,,,3.2,0.5964061388,5.3515,,,0.619,2.85,6.5,,,2.2717054734,2.2666865605,2.29,0.4610462346,0.5561121733,4.5
