lineopen,line,road,home,linehow,linedokter,linebihl,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca,linemidweek
12,11.5,Toledo,Michigan St.,-1,,,,,,,,,,,,,7.85,,,-1.5,,,,,,3.03,,,,,,,0,,-11.12,0.8,-1.602682856,1.27,,,,11,,,,,,,1.35,,,1.0077317144,5.9179253145,1.035,0.3271523115,0.5236339,10.5,
6.5,6.5,Louisville,Mississippi,9,,,,,,,,,,,,,8.09,,,10.5,,,,,,5.48,,,,,,,0,,11.64,14.24,14.38446177,7.31,,,,11.3,,,,,,,9.85,,,10.179446177,2.8644525501,10.175,0.5639585597,0.7352083659,7.5,
28.5,28.5,Louisiana-Monroe,Mississippi St.,16,,,,,,,,,,,,,28.85,,,24,,,,,,26.59,,,,,,,0,,12.96,23.56,19.902626106,20.7,,,,28.9,,,,,,,26.51,,,22.797262611,5.373066583,23.78,0.4033222096,0.9123658045,27.5,
23.5,24,Ohio,Nebraska,2,,,,,,,,,,,,,15.79,,,11,,,,,,17.2,,,,,,,0,,2.22,10.63,8.436828789,9.45,,,,21.6,,,,,,,8.49,,,10.681682879,6.2024062424,10.04,0.2854847896,0.7338818468,22.5,
-3,-3,Western Kentucky,Nevada,-11.5,,,,,,,,,,,,,-4.01,,,-3.8,,,,,,-0.28,,,,,,,0,,-6.99,-4.65,-2.281735604,-3.63,,,,-7,,,,,,,-7.15,,,-5.12917356,3.1402866684,-4.33,0.462941579,0.3760916921,-3,
12.5,12.5,Central Mich.,New Mexico,6.5,,,,,,,,,,,,,9.25,,,12.7,,,,,,10.34,,,,,,,0,,5.03,8.87,11.857886185,7.54,,,,13.2,,,,,,,10.53,,,9.5817886185,2.67646395,9.795,0.449142106,0.7233800403,12,
7,7.5,Jacksonville St.,North Dakota St.,-20,,,,,,,,,,,,,14.88,,,25,,,,,,10.91,5,,20.34,,,,0,,-0.02,,8.357745141,13.04,,,,10.6,,,,15.19,,,-10.55,,,7.7289787618,12.726512239,10.755,0.5035134828,0.6476414786,7.5,
20.5,20.5,Wisconsin,Notre Dame,16,,,,,,,,,,,,,20.54,,,24.5,,,,,,19.9,,,,,,,0,,37.05,27.89,23.102159969,18.22,,,,23.4,,,,,,,11.21,,,22.181215997,7.0201698636,21.821079985,0.5282362654,0.89861217,20.5,
49.5,50.5,Ball St.,Ohio St.,37,,,,,,,,,,,,,46.27,,,44,,,,,,45.8,,,,,,,0,,54.6,48.47,43.169035836,40.06,,,,58,,,,,,,40.45,,,45.781903584,6.521746508,44.9,0.4207418598,0.9960769963,49.5,
40.5,40.5,UTEP,Oklahoma,29,,,,,,,,,,,,,37.31,,,35.5,,,,,,32.93,,,,,,,0,,32.1,38.03,34.122553636,31.55,,,,45.7,,,,,,,40.11,,,35.635255364,4.8614231838,34.811276818,0.4169097318,0.9837688408,39.5,
40.5,40.5,UTEP,Oklahoma,29,,,,,,,,,,,,,37.31,,,35.5,,,,,,32.93,,,,,,,0,,32.1,38.03,34.122553636,31.55,,,,45.7,,,,,,,40.11,,,35.635255364,4.8614231838,34.811276818,0.4169097318,0.9837688408,39.5,
24.5,24.5,Boise St.,Oregon,23,,,,,,,,,,,,,24.55,,,30.5,,,,,,18.92,,,,,,,0,,19.3,26.56,27.224471642,17.04,,,,25.5,,,,,,,21.41,,,23.400447164,4.2453213638,23.775,0.4809893659,0.9220215054,24.5,
23.5,24.5,Marshall,Penn St.,21.5,,,,,,,,,,,,,30.1,,,24,,,,,,25.34,,,,,,,0,,19.58,26.56,26.452232921,21.39,,,,27.9,,,,,,,30.25,,,25.307223292,3.6720463406,25.896116461,0.5140187641,0.9391136104,24.5,
16.5,16.5,Miami (Ohio),Pittsburgh,7.5,,,,,,,,,,,,,18.21,,,23,,,,,,15.97,,,,,,,0,,11.82,17.63,15.62485836,12.55,,,,23.3,,,,,,,7.81,,,15.341485836,5.5210427981,15.79742918,0.4802010896,0.8184775278,16.5,
30.5,30.5,Massachusetts,Rutgers,28,,,,,,,,,,,,,35.77,,,32,,,,,,30.11,,,,,,,0,,23.01,34.71,40.834904561,26.75,,,,32,,,,,,,25.49,,,30.867490456,5.3450034813,31.055,0.5062937661,0.9668419073,30.5,
35.5,35,Kent,South Carolina,21.5,,,,,,,,,,,,,35.15,,,26,,,,,,31.88,,,,,,,0,,33.19,27.18,20.218176598,27.51,,,,37,,,,,,,27.53,,,28.71581766,5.5470635499,27.52,0.393871871,0.9555909327,34,
12.5,12.5,Florida Intl.,South Florida,17,,,,,,,,,,,,,22.05,,,25,,,,,,18.05,,,,,,,0,,17.84,21.86,16.447450054,17.6,,,,15.3,,,,,,,19.03,,,19.017745005,3.0165002233,17.945,0.6121679866,0.8794944172,14,
3,4,Hawaii,Stanford,0.01,,,,,,,,,,,,,8.03,,,-1.5,,,,,,5.37,7,,2.59,,,,0,,-5.94,4.64,1.648488572,5.89,,,,6,,,,-0.28,,,-0.01,,,2.5721914286,4.0369854768,2.59,0.4752803583,0.5621618161,4,
-23.5,-23.5,Miami (Fla.),Stanford,-20.5,,,,,,,,,,,,,-20.43,,,-26.5,,,,,,-19.37,,,,,,,0,,-32.72,-21.28,-22.12383322,-16.49,,,,-25.6,,,,,,,-23.81,,,-22.88238332,4.5478215957,-21.70191661,0.5106544095,0.083692313,-23.5,
6.5,7,North Carolina,TCU,12,,,,,,,,,,,,,12.43,,,14.5,,,,,,6.85,21,,17.28,,,,0,,14.68,18.92,17.641547699,12.1,,,,9,,,,23.21,,,25.49,,,15.777042131,5.4766720894,14.68,0.6466585142,0.8254162279,8.5,
30.5,30.5,Texas St.,Texas,24.5,,,,,,,,,,,,,27.68,,,25,,,,,,24.69,,,,,,,0,,19.72,22.21,19.71717575,21.24,,,,33.1,,,,,,,28.21,,,24.606717575,4.2111521437,24.595,0.3991413868,0.9322463272,29.5,
38.5,38.5,Missouri St.,Texas A&M,27.5,,,,,,,,,,,,,33.34,,,34,,,,,,33.18,,,,,,,0,,24.94,29.74,27.658647734,26.33,,,,44.3,,,,,,,32.63,,,31.361864773,5.5876865997,31.185,0.3799158532,0.9683438997,37.5,
16.5,16.5,Sam Houston St.,Troy St.,15,,,,,,,,,,,,,16.28,,,24.5,,,,,,17.52,,,,,,,0,,16.1,21.83,18.660678592,12.99,,,,19.1,,,,,,,15.29,,,17.727067859,3.4329041264,16.9,0.5213386715,0.861560277,16.5,
-13,-13,Oklahoma St.,Tulsa,0.5,,,,,,,,,,,,,-7.64,,,4,,,,,,-9.8,,,,,,,0,,10.59,1.94,2.929636983,-6.07,,,,-14.3,,,,,,,0.67,,,-1.718036302,7.5086719162,0.585,0.681676478,0.4611574687,-12,
3,5.5,Memphis,UNLV,1,,,,,,,,,,,,,-0.38,,,-1.8,,,,,,2.17,-1,,-1.4,,,,0,,1.53,3.68,3.976594934,-0.47,,,,3.4,,,,3.58,,,-7.83,,,0.4966611488,3.2461434479,1,0.4135354118,0.5121803337,4,
23.5,23.5,Fresno St.,USC,15,,,,,,,,,,,,,22.79,,,25,,,,,,22.07,,,,,,,0,,16.09,22.56,18.263052649,18.67,,,,21.6,,,,,,,22.43,,,20.447305265,3.25167762,21.835,0.4469841205,0.8956377017,23.5,
35.5,38.5,San Jose St.,USC,25,,,,,,,,,,,,,30.64,,,30.5,,,,,,29.17,43,,37.45,,,,0,,24.83,35.96,29.66210152,25.46,,,,38.5,,,,32.07,,,33.99,,,32.017853963,5.5778559603,30.64,0.3906459042,0.9710331885,37.5,
5.5,5.5,NC St.,Virginia,-1,,,,,,,,,,,,,0.45,,,2,,,,,,3.2,4,,5.79,,,,0,,9.26,9.22,4.387580864,2.29,,,,5.5,,,,4.45,,,-1.37,,,3.7059677588,3.3366950273,4,0.4687994693,0.5900207888,5.5,
22.5,22.5,Akron,Wake Forest,19.5,,,,,,,,,,,,,26.25,,,24,,,,,,20,,,,,,,0,,13.58,26.02,23.052592362,18.55,,,,23,,,,,,,32.29,,,22.624259236,5.1138901776,23.026296181,0.5021329405,0.9117629976,22.5,
21.5,21.5,Washington St.,Washington,11,,,,,,,,,,,,,16.25,,,15.5,,,,,,16.96,,,,,,,0,,15.67,16.95,9.669922697,10.87,,,,20.7,,,,,,,5.09,,,13.86599227,4.5851267853,15.585,0.3706849744,0.7984549626,20.5,
21,21,Coastal Carolina,West Va.,6,,,,,,,,,,,,,17.98,,,9.6,,,,,,16.21,,,,,,,0,,6.43,11.36,13.238841401,13.35,,,,21,,,,,,,14.61,,,12.97788414,4.8107028142,13.294420701,0.3646210768,0.7821763657,20,
