lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
20.5,21,Wisconsin,Alabama,12.5,,,,,,12.99,11.445,17.45,7.472,16.3,17.5,17,14,6.71,19.2,14.5,,15.5,,18.35,17.39,16.76,26.06,20.72,17,15.6994,15.35,,,10,0,19.56,8.87,-0.001719936,,10.96,18.3945,,,,,18.95,24.9,,,14.7,4,15.87,15.229,18.05,6.45,15.053770002,5.2170357321,15.7847,0.3991310059,0.8153233372,20
0,-2,Kansas St.,Arizona,1,,,,,,-1.72,-3.183,5.76,1.927,-3.3,-4.3,-4.4,-9.6,-5.98,-3.42,-13,,-2,,1.98,-0.81,-3.35,11.29,-0.49,3,2.5863,-2.12,,,-9,0,-6.28,-6.27,6.131861614,,9.72,-5.5806,,,,,4,6.6,,,1.4,30,5.27,-1.753,-4.03,-0.18,-0.885336423,5.4522333431,-1.7365,0.5190633012,0.4790411112,-2
14,15,Texas St.,Arizona St.,3,,,,,,26.17,14.515,11.01,19.147,32.3,27,30.3,11.2,11.67,14.6,9,,14.5,,6.2,7.91,8.49,2.29,11.15,7,8.1753,10.61,,,24,0,0.15,4.22,7.597197759,,5.75,9.125,,,,,14.5,12.6,,,13.3,-1,7.31,15.995,11.14,13.86,12.523073464,7.7596164831,11.145,0.4588363029,0.7600551147,14.5
-20,-21,Iowa St.,Arkansas St.,-18.5,,,,,,-27.06,-21.685,-25.05,-22.878,-33.3,-29.1,-31.9,-26.4,-10.61,-27.3,-6.5,,-18.5,,-12.7,-12.94,-10.37,-20.75,-27.47,-32,-16.0144,-26.66,,,-21,0,-17.62,-22.57,-15.82592226,,-20.33,-27.2031,,,,,-26.3,-24,,,-28.7,-18,-20.17,-21.008,-20.85,-32.16,-22.21836536,6.7639972251,-22.1275,0.4794648445,0.0996918859,-21
24.5,25,South Alabama,Auburn,12,,,,,,16.89,25.809,22.18,21.539,26.8,25.5,25.7,17.3,10.56,21.78,4.5,,23.5,,18.59,18.06,18.86,23.68,20.38,19,20.9293,18.55,,,28,0,4.57,11.19,16.299756228,,18.42,13.1312,,,,,29.6,26.7,,,24.5,11,24.42,22.682,13.86,23.61,19.679125183,6.2148987165,20.65465,0.4104671819,0.875011089,24.5
-5,-6.5,Liberty,Bowling Green,-1,,,,,,-9.67,-3.759,5.07,11.921,-1.9,-3.6,-2.8,0.4,7.35,0.56,1.5,,-6.9,,2.1,1.56,0.77,3.97,1.56,-1,1.0993,5.03,,,-12,0,-3.55,-0.26,6.116296917,,3.97,0.4724,,,,,-0.05,-3,,,1.75,-1,1.49,10.116,-1.93,-2.91,0.3669410858,4.9010123641,0.5162,0.6164038111,0.5087787644,-5
-1.5,-2,Minnesota,California,-4,,,,,,-9.48,-6.307,-4.1,-1.24,-10.7,-7.7,-7.2,-4.7,-5.77,-5.27,2.5,,-2.9,,-3.29,-3.06,-2.94,-6.26,-5.88,-9,-0.7253,-8.07,,,-9,0,-7.53,-7.46,-4.774873985,,-0.04,0.3012,,,,,-4.5,-9.2,,,-7.7,-13,-3.59,-9.324,-2.05,-12.27,-5.389116882,3.4122474689,-5.52,0.4412413746,0.370454571,-2.5
-6.5,-7.5,East Carolina,Coastal Carolina,3,,,,,,-3.29,0.555,-7.05,-9.817,-5.9,-6.4,-7.1,-2.5,-9.93,-7.73,-5,,-5.8,,-5.1,-4.81,-0.45,-14.81,-11.67,-18,-9.2973,-15.59,,,-5,0,-3.6,-7.96,-5.845374755,,-13.46,-5.6804,,,,,-30.25,-12.9,,,-9.8,-26,-10.47,-9.2,-1,-9.15,-7.970737493,6.0785553043,-7.075,0.4919997398,0.3201447779,-7.5
-11,-10,Connecticut,Delaware,-13,,,,,,-7.68,-12.475,-9.4,-16.662,-7,-8.2,-7.9,-8.7,-7.49,-13.03,-4.5,,-12.8,,-6.91,-6.79,-4.62,-13.59,-15.5,-21,-7.0498,-18.86,,,,0,1.81,-19.45,-2.869760376,,-9.79,-2.1745,,,,,-8,-12.1,,,-12.6,-11,-11.98,,-0.3,-16.17,-9.899408137,5.4746519031,-9.05,0.5017206137,0.278450441,-10
2.5,2.5,Florida Atlantic,Florida Intl.,0.5,,,,,,1.62,4.769,1.87,0.674,1.5,0.8,2.2,1.4,9.72,-2.57,6.5,,0.6,,5.44,4.92,4.06,8.47,-0.4,,-0.7039,4.95,,,-5,0,-2.83,-0.03,6.2982300812,,5.59,6.057,,,,,37.55,6.9,,,2.8,-5,3.44,10.38,0.35,2.16,3.9389190934,7.0012686435,2.2,0.5241779388,0.5895075348,2.5
