lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
0,1,Army,Air Force,1,,,,-4.98,-2.17,-6.12,-6.31,-7.368,-7.1,-6.4,-6.6,-6.3,-5.36,-4.47,-13,-8.441607,-3.2,-1.5,-1.9,-1.8,-4.55,0.01,-7.15,-6,-1.235,-4.38,,,-2.86,0,-2.62,-0.01,-4.339812411,,-4.68,-9.1127,-20.17556432,,,,-13.425,-0.9,-6.188890353,-5.038869232,-6.65,-2,-2.47,-1.946,-0.15,-5.61,,,-4.639394994,3.2854770153,-4.615,0.4027747024,0.3877813088,0
4,4.5,Mississippi St.,Arkansas,2,,,,6.68,6.45,2.119,0.66,-5.842,3.2,3.3,3.2,1.7,-0.23,4.39,10.5,3.449814,4.6,4.5,5.56,6.73,4.67,5.87,4.12,1,2.4992,4.14,,,4.57,0,-3.84,0.45,3.637354048,,4.1,0.8941,-0.517020895,,,,2.5,3,4.347854316,-3.182591343,-2.0685,-4,2.65,4.43,4.95,4.54,,,3.1428111148,2.9490675861,3.543584024,0.4763315213,0.5768751657,4.5
10,10.5,Kentucky,Auburn,13,,,,14.27,10.17,12.314,10.39,14.576,11.5,12.7,13.2,13.3,13.06,9.61,10,16.17422,11.7,11.7,14.62,13.29,15.41,16.88,12.88,10,7.8818,15.95,,,11.83,0,19.8,14.11,15.829908957,,11.22,9.1997,15.56386926,,,,13.3,13.7,15.851002384,4.0296538516,17.85,9,17.65,15.692,10.5,12.37,,,13.249437667,2.6667939632,13.13,0.5479335405,0.793875991,11
6.5,3.5,Central Florida,Baylor,6,,,,-3.23,16.75,10.505,-0.68,9.091,5.3,4.8,4.4,1.2,3.17,0.59,7.5,-3.460934,6.6,6.3,4.5,3.43,7.15,2.35,-4.8,-1,0.3957,0.15,,,2.48,0,-6.86,-4.63,4.150693891,,-1.33,-0.563,6.1401289688,,,,-1.425,2.2,2.3399221067,3.2476816464,4.55,-5,3.66,2.849,0.68,8.6,,,2.7292732105,4.6702853466,2.6645,0.4867191999,0.5652678795,3.5
17.5,17.5,Fresno St.,Boise St.,13.5,,,,25.36,24.72,15.185,15.31,20.164,25.6,24.1,25.3,21,14.81,18.58,14.5,25.01685,24.5,20.5,21.07,21.08,19.65,25.54,22.61,20,18.843,23.38,,,19.6,0,15.11,17.33,24.45460038,,17.77,20.5736,51.470691119,,,,22.1,18.4,24.320535879,5.1009537492,23.45,9,21.63,27.105,22.57,11.79,,,20.697962796,3.9449526844,21.035,0.5552622726,0.8962841935,18
-28,-28.5,Notre Dame,Boston College,-24,,,,-43.18,-22.74,-17.462,-26.53,-30.029,-20.2,-27.3,-27.5,-33.9,-13.22,-29.72,-11,-40.80421,-30.5,-29.4,-24.53,-22.98,-27.88,-27.3,-39.67,-46,-29.3242,-36.05,,,-25.93,0,-30.16,-26.09,-34.53044202,,-32.42,-35.1177,-65.41868597,,,,-50.675,-30.2,-41.84423324,-19.01960364,-36.75,-24,-34.55,-35.235,-32.82,-29.97,,,-30.46083645,8.2850899041,-29.9995,0.4676277539,0.0449595651,-28.5
1,1.5,Buffalo,Bowling Green,4.5,,,,3.39,-5.27,3.761,6.7,10.82,-0.3,0.8,1.5,6.4,6.44,5.19,-2.5,7.026234,-3.4,2.3,7.08,5.85,6.12,10.14,9.12,1,4.5207,5.75,,,3.96,0,0.63,3.69,7.7390812421,,9.02,7.2548,-0.963024584,,,,5.575,3.1,9.9409128,0.15722904,5.6,-3,9.01,4.688,4.91,3.09,,,4.6090981064,3.7007646692,5.05,0.5538305016,0.6109153221,2.5
-3.5,-4,Virginia,California,-7,,,,-11.43,-2.39,-6.689,-5.94,-13.678,2.5,-3.5,-3.1,-7.9,-7.59,-2.29,6,-19.09841,-5,-8.6,-5.94,-5.95,-6.2,-7.45,-16.2,-20,-4.6791,-12.08,,,-4.65,0,-11.27,-12.05,-12.16240579,,-13.03,-6.8235,-8.559233639,,,,-13.05,-9.1,-15.79708281,-4.635626942,-14,-12,-14.5,-9.544,-6.13,-11.99,,,-8.639513121,5.4612014064,-7.745,0.4211511092,0.3040389477,-5
3.5,3.5,Duke,Clemson,2,,,,0.17,9.17,3.473,3.82,-3.069,15.9,9.8,10.3,6.2,-1.63,8.83,9,-1.676477,2.8,5.9,7.89,8.61,5.78,10.83,-0.06,2,2.2402,2.26,,,7.34,0,2.07,-1.48,-3.524743534,,0.7,-1.4041,-26.42197201,,,,6.425,7.4,-1.769743675,-5.851582075,-2.8,-8,2.2,-3.089,5.29,-4.16,,,3.5193456787,4.9240955855,2.53,0.5003326621,0.5835496251,3.5
-3.5,-5.5,Marshall,Coastal Carolina,3.5,,,,-9.73,-2.36,3.246,-7.07,-4.397,-10.7,-8.2,-10.4,-9.5,-1,-6.38,-6.5,-12.14738,-5.4,-2.4,-2.18,-4.93,0.67,-3.39,-12.45,-12,-5.791,-13.05,,,-4.28,0,-5.29,-4.9,1.792218927,,-5.49,-13.1126,-2.410845035,,,,-8,-6.4,-8.848713369,1.39576666,-2.45,-6,2.23,-0.83,-5.41,3.38,,,-5.267591433,4.7635311157,-5.405,0.5040021436,0.3757449421,-5.5
-4.5,-4.5,Arizona,Colorado,2.5,,,,-2.66,2.37,2.248,-0.33,1.308,5.7,4.3,5.5,0.3,-1.01,-0.28,14,-3.028996,-3.6,-2.7,2.96,2.35,4.29,1.87,-2.71,-3,-1.9202,1.39,,,0.09,0,-12.46,-2,2.581652307,,-0.49,6.6355,16.973849868,,,,-8.25,-1.9,-1.674979329,0.5147380872,-1.05,-8,3.01,1.524,0.35,2.51,,,0.4927099205,4.3063842517,0.325,0.5856427839,0.5119046831,-3.5
11.5,11.5,UAB,Connecticut,11.5,,,,8.74,21.2,10.5,13.76,9.018,15.7,15.1,16.2,9.6,9.25,7.29,16,9.661079,15,12.4,14.77,14.42,13.15,18.87,11.8,12,10.1361,13.68,,,13.92,0,18.33,5.99,8.268160334,,12.86,16.3549,27.817356183,,,,5.65,15.7,12.420120485,-2.584944759,10.85,9,12.14,1.652,5.27,1.64,,,11.862904206,4.3905524045,12.27,0.5062691374,0.763501635,11.5
-7.5,-7,Georgia,Florida,-12.5,,,,-9.6,-4.94,-9.263,-9.96,-12.779,-6.7,-8.3,-7.9,-17,-7.6,-14.24,-7.5,-14.44971,-9,-10.4,,,,,-10.94,-13,-9.3132,-8.1,,,-12.74,1,-12.52,-9.61,-8.256598463,,-10.25,-16.4196,0.301055335,,,,-20.58,-9,-12.70515364,-2.815449396,-12.25,-11,-15.23,-11.011,-14.05,-0.68,,,-10.84668418,3.7468786776,-10.325,0.4335279603,0.2538195354,-7.5
8.5,9.5,Wake Forest,Florida St.,3.5,,,,1.13,10.89,-3.811,11.86,8.137,20.6,10.8,9.7,7.9,3.03,9.55,2,7.570957,8.7,8.2,9.77,11.71,9.47,9.12,15.86,5,11.2484,11.01,,,5.27,0,17.87,9.91,5.821273888,,13.6,7.0016,19.386694842,,,,15.125,16,15.010286531,-0.681682872,3.15,1,-7.62,-0.702,6.19,5.41,,,8.2889873005,5.7746237684,8.91,0.4793588556,0.6875750964,9.5
14.5,13.5,West Va.,Houston,18.5,,,,16.18,15.66,14.706,12.62,20.815,13.8,13.9,13.7,12.4,16.6,8.22,3.5,16.76088,17,15.2,14.88,12.93,16.99,16.6,15.34,15,9.9697,17.31,,,11.96,0,17.34,15.63,16.293995043,,16.3,9.5727,15.094524787,,,,23.45,11.7,15.169345618,5.5694878564,27.65,16,18.65,17.853,10.7,19.91,,,15.283174228,4.1769251668,15.485,0.5308276973,0.823198291,13.5
12,12.5,Rutgers,Illinois,13.5,,,,21.53,7.96,13.316,10.02,18.394,11,10.8,10.1,11.6,12.25,8.96,15.5,15.18109,11.9,10.2,13.21,12.67,14.04,14.46,15.28,14,9.1599,16.24,,,9.85,0,8.85,10.14,16.196188975,,15.54,9.3229,16.188211194,,,,14.325,12.5,18.492878834,6.150002896,17.5,6,13.71,10.217,12.32,17.59,,,13.100656784,3.182650289,12.94,0.5104656794,0.7899052041,12.5
5,7.5,Arizona St.,Iowa St.,6.5,,,,5.3,4.97,-0.286,5.18,2.485,-0.5,0.1,-1.4,2.5,3.71,6.83,-0.5,3.940212,3.6,-0.1,3.92,4.54,3.62,3.53,7.53,1,4.2115,3.46,,,2.8,0,5.33,5.47,1.706087216,,6.81,6.4517,18.694704334,,,,2.6,4.2,5.111747969,-0.221984606,4.2,2,-3.15,2.051,6.26,2.8,,,3.3363486101,2.5369295167,3.665,0.42759059,0.5818928712,6.5
25,24.5,Oklahoma St.,Kansas,22,,,,23.71,17.65,15.628,23.19,24.108,24.5,24.5,25.9,26.2,16.99,17.29,12,27.33414,24,25.2,22.22,22.48,21.4,26.02,27.96,28,22.9059,26.32,,,20.34,0,29.73,19.12,27.879495854,,21.28,25.2957,25.615758679,,,,31.425,25.3,31.922834313,39.13355882,26.6,19,23.79,27.45,18.4,24.26,,,23.692080794,4.3174989834,24.184,0.4860372138,0.9243356801,24.5
-7,-7,Texas Tech,Kansas St.,-10,,,,-7.05,-4.93,-5.83,-6.6,-13.531,-0.6,-1.4,-0.5,-6.5,-7.35,-0.7,2,-10.8019,-9.4,-3.6,-2.03,-1.23,-4.36,-1.22,-10.05,-10,-3.6085,-8.88,,,-3.05,0,-10.48,-6.04,-10.95099516,,-4.71,-2.2685,-15.77195339,,,,-13.9,-10.7,-11.19010094,-4.522370207,-8.75,-19,0.16,1.055,-0.99,-1.84,,,-5.574368318,4.3868532907,-5.38,0.5246137853,0.3679735886,-7
8.5,10,UTEP,Kennesaw St.,14,8.81,,,20.11,4.93,10.654,8.36,23.734,6.7,6.4,7.6,12.9,17.26,0.01,1.5,18.5552,7.4,9.1,11.09,9.96,15.39,8.66,17.67,16,7.1078,15.64,,,4.61,0,9.17,17.16,23.467145668,,13.35,10.3649,-18.95020658,,,,11.05,10.2,21.17185495,24.673132256,25.55,11,16.38,14.476,16.82,22.23,,,12.706176939,6.1992074451,11.09,0.5458320049,0.7712669253,10
3.5,3.5,Delaware,Liberty,5,,,,2.24,7.02,9.749,2.63,1.447,3.7,5.4,4.5,4.4,-1.07,8.21,6.5,-0.8208561,4.3,5.4,6.52,6.71,4.76,8.73,0.96,-1,2.0717,0.35,,,5.91,0,-0.37,1.99,1.846140879,,1.45,0.7569,-21.81531588,,,,-0.075,4.6,2.215216086,-10.00064469,8.881784E-16,-5,5.77,18.697,5.63,-3.29,,,3.7588710754,3.9501712544,4,0.5044875455,0.590536633,3.5
17,17,Sam Houston St.,Louisiana Tech,19,,,,25.6,9.63,6.644,14.73,24.557,10.5,12,12,19.7,16.52,11.23,-1.5,27.78077,23,13.6,21.1,19.42,23.01,23.82,30.46,29,14.643,26.62,,,16.02,0,28.85,22.12,23.922753903,,28.48,14.7109,27.636574589,,,,27.55,19.9,28.625552634,31.885382588,22.9285,21,19.61,11.187,17.25,18.46,,,19.281038856,7.2728607656,19.655,0.5381616974,0.8644681195,17
