lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
3,2.5,LSU,Houston,2.5,-2.84,0.31,3,-3.64,-11.69,-3.839,-2.86,,-7.1,-8,-7.1,-6.3,3.45,-5.34,-6.5,,2.3,-5.2,-5.35,-5.86,-4.88,-6.26,-3.33,-1,,-1.64,,,-5.13,1,-8.1,-3.761634076,0.44,-4.24,-2.209484019,,-0.184,-7.122,-9.879052956,,,,-8.3,-0.73213418,-2.5515,1,-7.34,-5.796,-5.88,-0.5,,,-4.076854543,3.3751479394,-4.88,0.3870827809,0.4011953338,1
-6.5,-2.5,Tennessee,Illinois,1.5,,-0.86,-2.5,-1.2,-1.58,-2.677,-3.38,,,,,,,-9.42,-3.5,,-3.6,,-5.95,-5.82,-4.98,-7.5,-3.82,-2,,-0.78,,,-7.21,1,-8.755,0.637329974,-6.18,-4.52,-3.620166489,,0.048,-3.6174,-2.09486849,,,,-2.8,-0.553323728,-1.4105,,,-6.287,-4.16,3,,,-3.463508156,2.9918134809,-3.6,0.4831962387,0.4154337964,-2.5
6.5,6.5,Alabama,Indiana,17.5,,12.72,,,8.84,,10.36,,,,,,,5.57,10.5,,8.2,,6.12,4.86,5.1,9.67,14.46,18,,14.91,,,,1,7.875,16.793170562,17.34,12.87,13.108154055,,-0.034,12.0531,24.029046231,,,,8.6,22.323075013,4.2,,,17.366,7.3,19.5,,,10.914670178,5.1178479252,10.43,0.5753232298,0.7428163,7
7,9,Coastal Carolina,Louisiana Tech,5,,8.63,9,11.06,6.31,-3.246,7.71,,,,,,,4.06,2,,3.5,,6.99,8.54,3.19,10.1,12.71,14,,13.23,,,7.9,1,16.325,13.52672277,13.36,11.23,2.038003874,,-0.039,6.5069,25.506759124,,,,9.2,0.0140948308,6.44,,,0.917,5.15,16.5,,,7.6840905739,5.0259522793,7.71,0.477405408,0.6771773243,9
9.5,11.5,Toledo,Louisville,3,6.88,5.6,7,1.04,7.66,10.766,9.48,11.095,12.1,13.6,15.6,4.8,5.86,12.89,1.5,,7.4,5.1,7.9,7.62,11.7,4.86,5.77,5,,3.76,,,3.49,1,8.05,5.439521435,-1.19,0.54,2.712957008,,0.201,7.1135,12.967731667,,,,6.9,1.9057359992,10.15,-3,0.88,6.251,5.14,8.5,,,6.4515520643,3.9756035781,6.0555,0.4131961739,0.6527555049,10.5
3,2,New Mexico,Minnesota,-4,0.19,0.55,2.5,0.18,14.68,2.664,8.56,,17.2,14.3,14.9,1.3,0.61,11.85,0.5,,2.4,4.2,8.47,8.91,7.63,9.82,3.5,6,,0.73,,,7.42,1,-2.1,-0.340259401,0.69,3.25,0.608899505,,0.082,5.2301,7.909524405,,,,9,0.2740516076,-0.2345,-2,0.98,5.207,2.03,2.5,,,4.5801956785,5.2623872898,2.664,0.5441364458,0.6075331901,2
3,3,Wake Forest,Mississippi St.,-5.5,,-0.21,2.5,-5.61,3.96,-1.424,2.85,,,,,,,3.78,-5.5,,3.4,,-1.38,-0.08,-2.22,-1.73,1.72,1,,-0.23,,,-0.44,1,0.95,1.435269211,0.26,4.98,1.638889044,,0.079,2.0186,9.835581181,,,,4.8,0.3714136976,-3.2795,,,5.137,-0.49,4.5,,,0.4970778709,3.081276413,0.26,0.4564452089,0.5122146504,3
7,4,Virginia,Missouri,-4,7.64,2.29,6.5,4.02,10.52,5.333,4.37,,22.5,9.9,9.6,7.3,1.11,8.74,9.5,,6,10,5.74,5.05,3.83,9.41,5.2,8,,3.27,,,8.36,1,10.475,4.636702493,2.87,4.39,8.417849229,,0.021,1.3061,7.8483489974,,,,7,0.8950133056,1.05,1,11.76,11.985,5.16,7.5,,,6.4933689655,4.4938401469,6,0.5429541515,0.6525224424,4
12.5,11,Central Mich.,Northwestern,4.5,16.03,14.11,10.5,12.2,12.58,13.272,16.29,,22,19.5,21.5,14,7.89,17.44,0.5,,12.7,14.1,9.83,11.38,7.98,11.6,18.22,16,,14.45,,,12.76,1,25.125,18.144014693,3.64,3.18,8.209436728,,0.226,19.3354,20.460109599,,,,15.7,2.9588024804,13.5905,1,9.83,13.57,12.26,20.5,,,13.084928417,5.8471716266,13.57,0.5354782533,0.7795823279,11
-4,-6.5,UNLV,Ohio,-6,0.85,-5.03,-5,-8.94,1.74,-8.871,-2.98,-8.177,-7,-6.5,-7.2,-5.6,-4.26,-3.97,1,,-4.2,-3.2,-4.76,-4.43,-4.79,-5.64,-5.25,-7,,-5.59,,,-5.17,1,-6.65,-6.317899632,-1.21,-2.52,-5.009477106,,-0.057,-7.7631,0.9987926226,,,,-3.4,-1.055721565,-8.75,-2,-7.35,-8.396,-6.33,-3,,,-4.940038862,2.7504259278,-5.21,0.5272290243,0.3800115752,-6.5
6,9,Miami (Fla.),Ohio St.,8.5,,6.5,,,4.72,,8.98,,,,,,,15.2,2.5,,7.1,,5.36,4.71,6.11,6.11,8.91,12,,7.55,,,,1,9.575,7.866513206,11.46,8.33,9.11895218,,0.033,9.2796,5.842321912,,,,8.7,12.539716576,2.8,,,13.992,9.43,11,,,7.9167332841,3.4311948932,8.415,0.4811598325,0.6863792903,9
-1.5,-3,Arizona,SMU,-3,,-2.73,-3,1.93,6.41,-4.29,-0.6,,,,,,,1.38,16,,-2.3,,4.18,4.54,5.09,3.02,-3.68,-5,,-2.02,,,0.63,1,0.425,-2.25366271,0.09,-6.84,-4.69327171,,-0.028,1.4317,5.791832971,,,,0.3,-1.266379976,-3.85,,,-1.923,1.66,0.5,,,0.1509919166,4.4579068584,0.09,0.5542367844,0.5036398474,-3
-6,-3.5,North Texas,San Diego St.,-7,-6.63,-7.53,-3,-9.92,-8.89,-6.814,-7.39,,,,,-4.9,-4.35,-6.01,-12,,-3.5,-7.6,-6.64,-7.36,-6.5,-6.75,-9.6,-7,,-9.03,,,-5.7,1,-12.825,-8.237073832,-1.34,-8.31,-4.027865899,,-0.063,-4.0548,6.7819800235,,,,-8.3,-1.808757566,-10.934,-7,-6.15,-6.251,-4.44,-9,,,-6.913139404,2.6937501227,-6.907,0.4405812957,0.3344338116,-4.5
-3,1.5,Western Kentucky,Southern Miss.,-4,2.62,-2.05,-4,-4.89,-6.91,-7.397,-5.55,-5.905,0.9,0.6,-0.4,,-2.32,-8.38,-8.5,,-2.2,-1.2,-2.59,-3.26,-1.86,-2.95,-4.78,-4,,-4.45,,,-2.25,1,5.875,-2.349120801,-2.96,2.45,-4.979566329,,0.026,-3.9179,-9.674244667,,,,-3.2,-0.557103916,-4.9,-3,-2.39,2.238,-5.51,0.5,,,-2.725394247,3.1775699929,-2.95,0.4267831078,0.4334074336,0.5
-5.5,-6.5,USC,TCU,-9,,-8.5,-4.5,-11.97,-4.13,-5.009,-9.39,,,,,,,-7.05,-1,,-7,,-7.19,-7.37,-6.2,-8.93,-13.5,-9,,-11.31,,,-7.16,1,-15.55,-11.92651871,-10.36,-2.76,-6.147686169,,-0.042,-6.3957,-8.786359906,,,,-11.1,-1.351582292,-5.453,,,-11.073,-8.76,-8.5,,,-7.992307065,3.4999304121,-8.5,0.4740661983,0.3121341359,-6.5
4.5,7,Michigan,Texas,0.5,,-1.67,7.5,-2.48,10.7,,0.9,,,,,,,1.32,6,,3.2,,4.95,3.66,4.82,7.01,-1.83,2,,-1.46,,,4.53,1,4.1,-2.02827326,-0.43,7.39,5.184891145,,-0.028,2.2948,8.820902345,,,,1.7,1.1915075356,0.9835,,,7.243,0.86,1.5,,,2.5328542102,3.334958983,1.85,0.4227201217,0.5618085774,6
10.5,11,Rice,Texas St.,7,,11.03,11,14.47,13.92,,10.56,,,,,,,11.39,12,,8.3,,16.68,18.23,13.68,20.29,13.26,13,,13.29,,,15.78,1,2.6,14.095830828,11.44,17.38,10.859661067,,-0.092,13.2408,14.849576243,,,,14.3,-0.43236273,7.3325,,,16.76,10.25,17,,,12.430242568,4.4983344323,13.2504,0.5246704181,0.7735582798,11
-3,-2,Oregon,Texas Tech,1.5,,2.45,,,-4.34,,-3.63,,,,,,,-3.75,-7,,0.5,,-2.38,-3.34,-5.11,2.79,-1.11,6,,0.37,,,,1,-0.775,1.758140091,0.47,8.55,8.124981005,,-0.106,-1.8356,-2.817710167,,,,0.9,-9.978958024,0.35,,,3.451,-0.06,5,,,0.3375969652,3.8624137416,0.36,0.5404797803,0.5082123565,-2
8.5,5.5,Florida Intl.,Texas-San Antonio,2,12.65,8.75,8.5,11.19,13.54,6.392,7.7,,13.3,11.8,12.2,11,5.23,13.71,7,,8.3,7.7,10.13,11.47,11.2,8.43,11.89,10,,10.42,,,8.64,1,35.7,12.146507515,4.93,5.48,5.571917626,,0.119,9.0496,20.156187207,,,,10.3,0.788476872,6.65,2,-1.35,12.138,10.98,14,,,9.7393790579,5.722080954,10.13,0.5719361003,0.7174070117,6.5
14,16.5,Nebraska,Utah,15,,16.02,16.5,19.55,10.65,,11.6,,,,,,,13.52,1,,17.5,,12.4,11.04,10.89,16.96,17.05,23,,18.83,,,15.24,1,14.025,17.4879223,19.37,22.66,16.504754049,,0.02,13.6917,26.656800442,,,,13.4,1.8022293876,12.95,,,18.511,14.62,21,,,14.803227727,5.2711977549,15.12,0.470944027,0.8110723317,16.5
-1,1,Washington St.,Utah St.,-3.5,-7.07,,2.5,-5.17,-5.69,-3.126,-6.77,-5.45,-5.9,-5.5,-6,,-5.35,,-7.5,,2.3,-4.3,-5.82,-5.55,-5.62,-7.06,-4.48,-6,,-4.66,,,6.99,1,-9.075,-5.071414217,-1.31,-2.22,-4.743666999,,-0.068,-7.4671,10.742917178,,,,-4.2,-0.028659721,-4.2,,,-3.777,-5.62,-1,,,-4.411122977,3.0284036897,-5.26,0.4064939707,0.39284446,-0.5
4,5.5,Iowa,Vanderbilt,4,,0.32,5,1.7,0.87,,1.29,,,,,,,-1.83,-4,,3.2,,2.97,1.35,3.05,5.56,2.27,1,,1.82,,,4.15,1,11.03,-0.145359008,2.26,9.06,4.807557791,,-0.01,-1.2444,-11.82689212,,,,0.6,1.4525547372,1.7535,,,5.031,-2.19,3.5,,,2.2204392422,3.1612590305,1.78675,0.4430388066,0.554350327,4.5
