lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
11.5,13,Eastern Mich.,Miami (Ohio),15,,8.44,13,18.87,15.26,9.973,14.25,15.885,13.5,13,15.3,11.7,12.65,16.21,20,10.67801,10.5,11.9,15.03,14.91,15.99,16.27,16.82,11,9.7429,17.17,,,12.16,0,8.77,14.17,12.74794117,,13.69,11.4828,,,,,12.55,13.2,,,14,10,18.27,15.899,11.99,7.78,,,13.598911873,2.9028103627,13.595,0.5104522737,0.79939464,13
6.5,6,Washington,Michigan,3,,-1.36,6,-1.53,3.66,5.326,0.73,2.846,7.9,8.1,8.1,2.8,-2.97,6.18,6,-3.7064,3.5,5.5,2.26,3.06,2.26,1,-3.92,-1,4.7185,2.17,,,2.82,0,-3.41,-11.56,0.613972038,,0.29,4.3206,,,,,4.05,4.6,,,-0.35,-7,-1.54,-0.644,3.31,0.96,,,1.7917018957,3.9281671033,2.53,0.4274401723,0.5434600989,5
-5,-7.5,Nebraska,Minnesota,-1.5,,-9.41,-7.5,-13.35,0.11,-2.258,-7,-14.052,-3,-4.2,-3.4,-5.8,-4.45,-2.98,5,-16.05714,-4.1,-7.3,-2.73,-2.35,-1.98,-5.39,-15,-14,-7.1992,-6.67,,,-4.56,0,-9.84,0.43,-9.170336528,,-10.22,-8.0848,,,,,-26.65,-9.5,,,-7.7,-11,-7.02,-6.44,-4.86,-0.9,,,-6.673196751,5.67538181,-6.12,0.5141104821,0.3466245521,-7.5
10.5,12,Nevada,New Mexico,17,,23.54,12,18.95,12.14,14.663,12.29,22.742,10.6,11.3,12.1,16,15.49,10.1,12.5,22.89018,14,12.3,14.57,14.55,16.42,14.39,20.7,19,15.3922,22.09,,,9.14,0,14.81,8.42,20.234640851,,15.78,14.5388,,,,,23.4,15.9,,,17.5,11,14.95,18.097,15.29,10.26,,,15.632574233,4.0728413864,15.12,0.5626539832,0.8290286806,12.5
5.5,4,Texas-San Antonio,North Texas,13,,11.75,4,6.68,2.7,13.606,6.22,19.528,0.01,-0.8,-1.5,6,14.9,1.37,3,9.003151,4.5,5,4.62,2.92,9.21,0.91,11.69,13,2.2051,3.25,,,-0.47,0,11.12,4.87,14.697395205,,13.33,7.6347,,,,,-11.825,4.2,,,17.5,11,4.1,3.638,2.18,24.52,,,6.7962459528,6.8634720725,4.935,0.5469845192,0.6523450298,4
3.5,3,Purdue,Northwestern,11,,1.15,3,5.04,25.78,19.536,6.69,8.547,14.7,13.7,14.9,3.9,5.01,6.29,6,3.796415,3.5,8.2,10.4,9.27,10.9,12.37,1.27,3,4.9612,7.69,,,8.65,0,11.34,5.72,4.050677711,,-1.32,7.5041,,,,,3.95,7.6,,,12.95,7,12.74,15.329,7.47,4.99,,,8.3835366503,5.3688655198,7.55205,0.591368612,0.6909355501,4
8.5,9.5,USC,Notre Dame,9,,12.13,9.5,17.06,13.59,4.245,5.85,17.483,10.8,11,11.6,10,6.66,9.75,12.5,14.01904,8.6,9.1,12.14,12.76,12.64,12.32,9.93,10,5.0656,13.39,,,7.62,0,5.53,9.04,7.987101364,,8.71,12.3372,,,,,7.625,8.9,,,4.9,-4,7.83,13.802,13.33,4.68,,,10.103261615,3.305800803,9.965,0.5105030535,0.7326088505,9.5
12,11,Northern Ill.,Ohio,14,,15.17,11,10.92,17.88,14.302,11.37,18.461,14.1,13.8,15.8,10.6,18.64,14,11,13.8626,14.5,13.2,15.92,14.52,17.87,17.55,17.29,14,10.7061,18.76,,,12.4,0,17.62,17.38,14.310274063,,14.27,12.4221,,,,,11.05,14.9,,,21.35,8,20.34,15.162,12.31,18.94,,,15.017791423,2.8365309367,14.405137032,0.5697926218,0.8232238382,12
-20.5,-21.5,Cincinnati,Oklahoma St.,-20,,-28.39,-21.5,-28.67,-17.9,-17.531,-22.8,-29.674,-15.5,-16.4,-17.3,-20.4,-13.37,-11.78,-6.5,-29.14549,-24,-20.8,-17.59,-16.86,-17.79,-22.63,-33.83,-29,-18.1898,-23.31,,,-14.96,0,-27.85,-23.5,-26.49470908,,-22.26,-19.7511,,,,,-34.125,-24.3,,,-30.1,-29,-23.3,-28.355,-16.12,-29.11,,,-22.09437103,6.3349721632,-22.445,0.4899280169,0.0988240837,-21.5
-14.5,-17.5,Oregon,Rutgers,-14,,-11.49,-17.5,-23.94,-12.71,-12.687,-17.32,-14.502,-13.3,-15.7,-14.7,-19.6,-9.6,-17.68,-17,-16.4434,-23,-18.2,-14.79,-13.48,-15.67,-18.98,-22.62,-26,-11.5954,-16.57,,,-14.42,0,-18.53,-5.84,-15.02560951,,-16,-20.6006,,,,,-28.65,-16,,,-15.75,-15,-20.55,-16.294,-14.98,-16.09,,,-16.58705288,4.4034295284,-16,0.5157659477,0.1578876237,-17.5
-2.5,-3,UTEP,Sam Houston St.,4.5,1.28,-4.74,-3,-5.51,4.07,11.245,2.55,-5.149,2.8,1.4,2.1,-0.9,-4,4.39,11.5,-0.9295712,-2.7,-4.2,-0.22,-1.41,1.8,-2.02,-7.9,-13,-2.4725,-0.38,,,0.01,0,-14.56,-2.26,-0.689626196,,-7.01,3.1064,,,,,-2.35,-3,,,2.87,-8,5.32,-1.101,0.14,2.2,,,-0.646930702,5.189271415,-0.689626196,0.5402934484,0.4846056245,-3
8,7.5,Arkansas St.,South Alabama,5,7.63,5.61,7.5,9.84,4.31,3.445,6.69,-6.781,10.6,10.2,11.2,6.8,-7.76,8.7,10.5,3.989683,4.9,9.2,7.1,7.83,5.2,9.05,5.55,8,3.476,8.07,,,6.13,0,8.75,0.36,1.998085286,,6.44,11.1413,,,,,17.65,6.8,,,5.299,-1,4.47,3.423,7.72,-6.79,,,5.942078674,4.905033433,6.69,0.473225949,0.6392085784,7.5
-4,-5,Oklahoma,South Carolina,-5.5,,-8.46,-5,-0.37,0.54,0.696,-3.41,-6.448,2.3,1.2,1.5,-5.5,-6.78,-1.65,8,-8.455621,-9.4,0.6,3.13,2.36,0.15,7.18,-7.51,-10,-1.0215,-1.74,,,0.62,0,-13.43,-2.51,-4.385469691,,-6.15,-1.827,,,,,-9.075,-5.5,,,-7.35,-11,2.51,1.887,-4.37,-5.24,,,-2.721305018,4.889500439,-2.1685,0.5391331056,0.4351646292,-5
21,21.5,Florida Atlantic,South Florida,23,,36.11,21.5,34.17,31.79,25.911,19.51,29.582,25.7,24.2,26.7,20.7,18.34,16.6,10.5,28.74639,17.5,20.1,23.97,24.3,26.6,24.38,37.39,36,19.5924,28.38,,,16.55,0,25.43,23.76,30.985569619,,25.69,21.5226,,,,,39.575,26.7,,,32.55,15,22.2,25.748,19.77,28.86,,,25.502972622,6.3801150308,25.56,0.567479898,0.9313050429,22
-17.5,-17.5,Florida St.,Stanford,-9,,-24.89,-17.5,-28.29,-6.33,-6.962,-17.04,-19.794,-13,-14.2,-13.5,-15.6,-10.65,-12.96,-2.5,-26.13442,-23,-17.8,-12.36,-14.06,-10.16,-16.69,-35.19,-33,-11.1337,-16.03,,,-12.24,0,-27.27,-23.35,-15.46943012,,-23.15,-15.4013,,,,,-27.9,-23.2,,,-19.6,-21,-7.24,-11.851,-16.81,-4.93,,,-16.80752237,7.7837472061,-15.53471506,0.5115233199,0.1716618666,-17.5
-10.5,-11,Pittsburgh,Syracuse,2,,-8.37,-11,-12.28,-0.35,3.375,-5.31,-5.348,-5.6,-2.7,-2.9,-3.4,-3.4,-2.49,2.5,-9.219698,-7.1,-7.6,-1.14,-1.78,2.24,-6.3,-11.77,-10,-2.9715,-2.13,,,-3.13,0,-9.66,-13.36,-3.578237609,,-4.37,-4.0423,,,,,-12.35,-6.1,,,-1.75,-10,-6.14,-7.51,-4.18,8.4,,,-4.468808832,4.6960139966,-4.11115,0.6110630043,0.3939782779,-10
