lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-10,Georgia Southern,Appalachian St.,-5.5,3.41,-0.95,-10,-0.82,-7.67,-3.057,-2.46,-4.696,-3.2,-2.9,-2.6,3.8,,0.8,-5,,-3.7,,-3.15,-2.31,-4.27,-3.19,-1.12,1,,-0.87,,,-1.3,1,3.125,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.7236,-5.211252823,,,,-1.9,-1.575476776,-3.92,,-6.34,-2.574,1.08,2.5,,,-1.771455509,2.8314735002,-2.385,0.6406316435,0.4564278308,-8.5
6.5,-7,Navy,Cincinnati,-6.5,11.5,5.36,-7,2.28,-0.46,-3.941,8.64,,8.1,7.1,8,6.9,,8.65,-10,,-0.9,,3.63,5.28,0.96,4.87,9.18,11,,6.58,,,6.33,1,5.85,6.790130294,0.48,3.86,0.664203981,,0.064,5.4948,7.0601375149,,,,8.6,-1.282268342,-1.316,-2,,1.111,2.33,10.5,,,4.029033361,4.9945136062,5.32,0.6826344044,0.5953137493,-5.5
1.5,3,Arizona St.,Duke,0.5,-4.2,-1.96,3,-1.68,-1.21,-4.399,-2.34,,-6.4,-4.9,-6.3,-2.8,,-3.55,-5,,1.1,,1.09,0.81,-1.46,4.24,-0.97,-2,,-0.14,,,0.62,1,-3.25,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.1375,-15.65480383,,,,-1.8,-0.82277815,-2.1,1,,3.301,-0.9,1,,,-1.360050559,2.9625725987,-1.750123204,0.4243833014,0.4665680041,1.5
6.5,6.5,Mississippi,Georgia,3.5,4.86,1.97,6.5,1.4,2.38,1.536,1.13,,3.7,3.7,3.3,6.2,,2.89,-2,,6.7,,2.71,2.39,4.04,2.28,1.23,2,,1.95,,,,1,-3.78,3.240966691,8.81,3.33,5.325966661,,0.051,3.3021,-0.972542448,,,,3,-0.260667584,0.8575,-1,,3.991,4.39,6.5,,,2.9358949501,2.400306767,3,0.4378855862,0.5722714391,5.5
-6.5,-2.5,Tennessee,Illinois,1.5,-4.18,-0.86,-2.5,-1.2,-1.58,-2.677,-3.38,,-7.1,-8.2,-8.1,-2.6,,-9.42,-3.5,,-3.6,,-5.95,-5.82,-4.98,-7.5,-3.82,-2,,-0.78,,,-7.21,1,-8.755,0.637329974,-6.18,-4.52,-3.620166489,,0.048,-3.6174,-2.09486849,,,,-2.8,-0.553323728,-1.4105,-3,,-6.287,-4.16,3,,,-3.84181578,3.0360214515,-3.618783245,0.4766109362,0.4064065006,-2.5
6.5,7,Alabama,Indiana,17.5,6.76,12.72,7,15.98,8.84,7.293,10.36,,7.5,7.1,8.5,11.9,,5.57,10.5,,8.2,,6.12,4.86,5.1,9.67,14.46,18,,14.91,,,,1,7.95,16.793170562,17.34,12.87,13.108154055,,-0.034,12.0531,24.029046231,,,,8.6,22.323075013,4.2,,,17.366,7.3,19.5,,,10.572406807,4.8073564503,9.67,0.5612522366,0.7373208448,7
7,9,Coastal Carolina,Louisiana Tech,5,8.63,8.63,9,11.06,6.31,-3.246,7.71,,5.1,6,5.7,10.5,,4.06,2,,3.5,,6.99,8.54,3.19,10.1,12.71,14,,13.23,,,7.9,1,16.325,13.52672277,13.36,11.23,2.038003874,,-0.039,6.5069,25.506759124,,,,9.2,0.0140948308,6.44,11,,0.917,5.15,16.5,,,7.6108419601,4.7013133744,7.35,0.4760791073,0.676535969,9
3,3,Wake Forest,Mississippi St.,-5.5,1.49,-0.21,3,-5.61,3.96,-1.424,2.85,,9.3,3.7,3.5,,,3.78,-5.5,,3.4,,-1.38,-0.08,-2.22,-1.73,1.72,1,,-0.23,,,-0.44,1,0.95,1.435269211,0.26,4.98,1.638889044,,0.079,2.0186,9.835581181,,,,4.8,0.3714136976,-3.2795,-3,,5.137,-0.49,4.5,,,0.9819775229,3.3346372178,1,0.4649130341,0.5240451408,3
6,9,Miami (Fla.),Ohio St.,8.5,9.65,6.5,9,8.54,4.72,6.04,8.98,,9.9,8.2,8.3,9.6,,15.2,2.5,,7.1,,5.36,4.71,6.11,6.11,8.91,12,,7.55,,,,1,7,7.866513206,11.46,8.33,9.11895218,,0.033,9.2796,5.842321912,,,,8.7,12.539716576,2.8,5,,13.992,9.43,11,,,7.9845474359,3.0932129436,8.33,0.4823013298,0.6885758238,9
-1.5,-3,Arizona,SMU,-3,-0.58,-2.73,-3,1.93,6.41,-4.29,-0.6,,-6.7,2.1,2.5,-5.2,,1.38,16,,-2.3,,4.18,4.54,5.09,3.02,-3.68,-5,,-2.02,,,0.63,1,0.425,-2.25366271,0.09,-6.84,-4.69327171,,-0.028,1.4317,5.791832971,,,,0.3,-1.266379976,-3.85,-3,,-1.923,1.66,0.5,,,-0.102977483,4.4027166184,0.031,0.5499119163,0.4975153624,-3
