lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
5.5,6.5,Hawaii,Air Force,4,10.44,,6.5,6.2,,6.77,-0.586,2.27,7.541,1.4,1.4,1.1,4.3,-6.78,8.09,-1,-15.6,5.1,-0.1,4.4,4.55,3.93,4.61,2.63,5,3.7451,5.99,,,3,0,1.22,3.55,-1.467305645,,3,6.7294,,,,,-2.6,5.2,,,0.189,-1,-0.66,-0.93,7.03,1.18,2.4958209041,4.5452673539,3.275,0.4312585554,0.5598531614,6
3,3,TCU,Arizona St.,0.01,3.49,,3,1.12,,3.68,3.084,-0.36,0.338,5.1,3.4,4.1,0.3,-1.04,-1.24,5.5,-18.3,1.7,2.3,6.71,6.7,7,6.75,-2.35,-6,0.2014,2.18,,,3,0,-0.53,-7.32,-2.594517291,,-2.84,-3.093,,,,,-9.2,1.7,,,0.7,-4,1.07,1.665,-0.27,-1.14,0.4081811239,4.8550294524,0.885,0.4554966268,0.5097730979,3
-6,-4.5,Notre Dame,Arkansas,-6,-4.23,,-4.5,-8.24,,-9.88,-3.186,-3.47,-12.5,-9.9,-9.7,-10.7,-10.9,-0.21,-7.71,-4,-2.6,-4,-4.1,-3.29,-3.44,-6.8,-1.52,-7.16,-8,-1.4894,-6.37,,,-7,0,7.1,1.34,-1.308920849,,-1.26,-12.4088,,,,,-1.795,-5,,,-1.96,9,-0.24,-2.834,-7.11,-2.3,-4.846634759,4.1245415077,-4.05,0.4939991372,0.3842239704,-4.5
14.5,16,Appalachian St.,Boise St.,14.5,16.34,,16,25.95,,35.18,21.933,13.51,25.158,26.5,24.6,26.8,16,6.08,16.9,22,-4.8,17,17,21.01,20.93,20.48,25.66,18.82,23,12.6684,22.03,,,,0,3.62,12.44,18.39638691,,11.42,13.3938,,,,,9.35,19.2,,,18.2,4,19.81,17.092,13.78,23.51,17.985448295,7.3074449132,18.39638691,0.5332140485,0.8475112558,16
6.5,6.5,California,Boston College,-2,6.58,,6.5,13.46,,11.02,0.611,5.72,15.797,12.8,10.6,10.4,0.5,-5.53,4.98,2,0.5,4.4,4.5,9.12,10.03,8.89,9.21,6.46,-2,8.6405,7.44,,,9,0,6.71,-1.59,0.398855641,,-1.64,0.1631,,,,,5.425,8.7,,,1.75,-2,-0.06,10.054,3.46,-3.75,5.0723540958,5.2731069561,5.5725,0.4755467504,0.6187343526,6.5
-3,-3.5,Connecticut,Buffalo,4.5,2.34,,-3.5,-8.03,,5.57,3.144,-4.12,-9.246,-0.8,-1.4,-1.3,1.9,-5.25,-2.02,3.5,-5.8,-1.8,-0.7,1.09,-0.61,0.86,2.44,-8.03,-6,-3.3324,-5.68,,,3,0,-2.15,9.29,-1.516359883,,-5.78,-0.5024,,,,,-6.3,-2.2,,,-3.15,-3,-0.16,10.935,0.74,0.02,-0.961793681,4.5027884171,-1.05,0.5437202267,0.4768444702,-3.5
6,4.5,Eastern Mich.,Central Mich.,9,3.97,,6.5,5.74,,7.01,8.187,4.64,18.654,4.5,4.3,5.1,-0.2,7.5,4.6,2.5,-8.4,3.2,-0.7,7.59,7.25,7.51,8.7,4.7,5,0.1124,5.48,,,11,0,6.43,5.58,11.633374513,,6.54,-5.2793,,,,,-3.65,7.5,,,5.6,5,7.44,0.148,-0.73,1.76,4.7346177504,4.8548594619,5.29,0.5040368828,0.6118651368,4.5
-5.5,-7,BYU,Colorado,-8.5,-10.89,,-6.5,-6.98,,-5.23,-5.613,-10.21,-13.61,0.1,-0.7,0.3,-8.3,-6.59,-6.98,1,-5.7,-4.7,-6.6,0.25,1.94,3.23,-7.24,-13.89,-21,-8.2185,-5.89,,,-10,0,-21.8,-14.56,-9.299253318,,-6.52,-1.0667,,,,,-3.375,-10.9,,,-9.8,-15,-11.16,-16.722,-5.49,-7.23,-7.314327719,5.8093960755,-6.98,0.4946421708,0.3331655595,-7
3.5,6,Washington St.,Colorado St.,-3,6.7,,5.5,4.02,,8.32,4.189,-3.17,4.011,3.9,5.1,3.1,-0.3,-6.98,-4.43,6,-1.6,3.4,10.1,8.44,9.17,6.73,10.44,1.65,3,7.5289,3.09,,,7,0,13.33,2.75,-4.004960291,,-0.78,3.5041,,,,,4.5,8.9,,,0.35,-2,4.96,15.09,0.83,-2.88,3.7620536766,5.0085189106,3.9555,0.4616063903,0.5890857654,6
3.5,4,Army,East Carolina,4,7.27,,4,2,,-6.64,-5.589,2.55,-1.717,-1.6,0.01,-0.7,-5.2,7.35,0.47,-1.5,4.5,3.2,3.6,7.72,7.79,5.4,11.19,6.02,7,7.1031,-2.29,,,3,0,20.89,4.54,8.677657249,,4.65,-5.7337,,,,,3.525,9.4,,,2.8,10,6.1,-0.228,-0.61,1.47,3.1686330855,5.3674581172,3.3625,0.4857673135,0.5747259272,4
