lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
4.5,3.5,Oregon,Indiana,12.5,5.94,5.29,3.5,2.4,-0.01,4.036,4.93,10.57,4.5,3.6,4.7,1.8,1.8,2.53,0.01,,2.4,2.5,1.56,0.46,-0.26,5.12,4.91,6,,4.16,,,2.98,1,2.6,6.58917842,15.87,-3.57,1.679395218,,-0.023,4.1318,4.665120083,,,,4.7,10.887970652,1.05,4,2.78,7.5,1.88,3.64,,,3.7695624642,3.5704148153,3.29,0.5046855234,0.5912658727,3.5
-3,-3,Miami (Fla.),Mississippi,-1.5,-5.53,-4.51,-3.5,-6.32,-5.93,3.96,-1.55,-2.95,-0.8,-2.1,-2.2,-4.8,-2.25,1.31,-1.5,,0.5,-2.6,-3.67,-3.55,-2.28,-4.72,-4.48,-2,,-5.78,,,-1.74,1,2.88,-6.255066497,-9.66,-7.22,-3.670876262,,-0.008,-4.213,-9.596530983,,,,-3.7,1.6792349136,1.05,2,0.01,-12,-0.99,0.34,,,-2.905972178,3.209646773,-2.44,0.5016382287,0.4290677607,-3
