lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-9.5,-11,Miami (Ohio),Akron,-7.5,,-9.44,,-15.88,,-15.61,-6.839,-11.78,,-12.1,-12.7,-14.6,-13.2,,-13.97,-15,-11.1,-8.1,,-7.06,-8.75,-4.55,-10.49,-10.17,,-11.6235,-9.81,,,,0,-4.43,-2.39,-4.871786965,,-3.52,-19.3352,,,,,-21.1,-11.4,,,,-8,-9.45,-17.49,-14.7,0.6,-10.57373397,4.9746513573,-10.795,0.5073261176,0.2632623697,-11
-1.5,-2.5,BYU,Arizona,-7.5,,-10.43,,-11.01,,-4.75,-5.994,-8.25,,-5.4,-4.1,-5.4,-7.9,,-5.94,-13.5,-4.1,-3.4,,-1.86,-1.14,-3.52,-2.27,-9.66,,-5.1497,-11.07,,,,0,-2.91,-6.44,-9.663831257,,-4.63,-5.4684,,,,,5.45,-6.1,,,,-6,-6.72,-7.323,-3.91,-8.58,-5.894966602,3.583957124,-5.7042,0.4412073494,0.3590979307,-3
17.5,17.5,Charlotte,Army,19,,32.17,,23.02,,29.24,18.401,19.3,,19.1,19.2,20.7,24.1,,23.81,18,23.8,19,,23.36,24.18,24.7,24.44,28.41,,16.0631,28.52,,,,0,20.14,22.29,24.574402319,,24.69,20.6375,,,,,39.45,22.3,,,,11,19.41,20.623,25.33,23.72,23.177468822,4.6863859611,23.19,0.5968639021,0.9185245211,19
-3.5,-3,Georgia,Auburn,-9.5,,0.58,,-3.22,,-6.75,-0.602,-4.07,,-5.1,-5.4,-5.1,-10.5,,-8.46,-6.5,-2.8,-4.3,,-0.35,-0.93,-1.36,0.33,-6.11,,-3.5634,-1.39,,,,0,3.12,-6.15,3.588622287,,-3.82,-9.3327,,,,,-1.175,-3.8,,,,-3,-2.53,-6.029,-8.16,8.42,-3.467608679,4.1087450814,-3.81,0.4919041229,0.4165652979,-3
15.5,16.5,New Mexico,Boise St.,15.5,,3.79,,17.02,,31.56,17.877,10.18,,25.4,23.8,25.9,13.4,,16.68,12.5,-5.8,14,,18.76,18.04,16.46,25.15,6.51,,9.4916,11.2,,,,0,7.85,10.19,7.350878819,,4.52,9.9054,,,,,3.7,15.7,,,,2,18.82,10.161,14.33,19.3,14.038933713,7.7354220343,14.165,0.4590856423,0.7859563376,16.5
-13,-14.5,Clemson,Boston College,-10.5,,-12.89,,-14.9,,-13.84,-10.783,-6.79,,-8.7,-13.5,-13.7,-13.9,,-10.07,-8,-13.8,-16,,-9.86,-10,-9.43,-13.74,-13.38,,-7.3931,-8.93,,,,0,-3.58,-11.53,-6.120225645,,-8.68,-16.1108,,,,,-24.3,-12.4,,,,-6,-15.48,-16.542,-14.2,-11.98,-11.90716018,3.9152208699,-12.19,0.5448646624,0.2340576861,-14.5
-8.5,-10.5,Toledo,Bowling Green,-4,,-5.24,,-19.22,,-14.25,-2.655,-6.55,,-9.1,-8.9,-8.1,-9.3,,-6,-3.5,-16,-7.9,,-5.6,-7.14,-3.44,-8.92,-15.7,,-6.4049,-5.38,,,,0,-16.28,-8.99,-5.492278062,,-11.02,-2.3677,,,,,-10.95,-12.3,,,,-14,-4.66,-1.078,-6.08,-0.76,-7.914933689,4.6380730313,-6.845,0.5444728299,0.3167362467,-10
10.5,11,Central Florida,Cincinnati,11,,19.29,,10.26,,17.13,15.783,8.62,,3.7,4.7,3.4,7.9,,4.46,0.01,16.1,8.8,,12.81,9.89,14.63,15.42,13.86,,5.1483,6.79,,,,0,12.2,4.81,16.298094014,,11.8,6.9653,,,,,12.325,10.9,,,,10,15.84,13.49,10.85,23.04,10.881552938,5.2314201506,10.95,0.4979691105,0.7417385878,11
-2,-3,Louisiana-Monroe,Coastal Carolina,4.5,,4.55,,7.05,,2.04,0.922,4.95,,-3.7,-1.8,-2.9,5.6,,6.37,5,-6.3,-1.4,,4.51,6.19,5.4,1.27,8.55,,2.2029,3.95,,,,0,-8.47,-1.58,5.25000479,,5.81,3.0484,,,,,11.125,3.3,,,,-5,-1.57,7.393,8.75,-1.78,2.7572282747,4.5442827284,4.225,0.5983149774,0.5660682406,-2.5
5,-3,Iowa St.,Colorado,-12,,-6.89,,-0.08,,,-6.536,-5.1,,-0.9,-2,-1,-5.1,,-6.51,5,-1.8,-4.5,,-2.53,-1.26,-4.32,-3.28,-4.83,,-3.3599,-1.18,,,,0,-9.89,-6.69,-2.355067825,,-1.38,0.7685,,,,,-4.075,-5.9,,,,-11,-5.52,-6.901,-5.96,-10.62,-4.087047349,3.4972377178,-4.32,0.4811023442,0.4011063966,-3
-6.5,-6.5,Fresno St.,Colorado St.,-14.5,,-7.75,,-10.11,,-4.46,-6.021,-8.06,,-2.7,-4.1,-4.4,-6.5,,-8.16,2.5,-17.3,-4.9,,-5.2,-4.39,-7.55,-5.5,-7.63,,-3.9847,-5.51,,,,0,-11.56,-8.87,-9.093386652,,-5.01,-5.4901,,,,,-11.2,-9.2,,,,-16,-11.72,-10.781,-4.69,-18.44,-7.571255833,4.2314930581,-7.025,0.4814762092,0.3230615908,-6.5
0,-1.5,Northern Ill.,Eastern Mich.,0.01,,-3.87,,-9.54,,3.69,3.89,-4.08,,-3.6,-3.4,-4.5,-5.4,,-4.97,-7,-5.8,0.1,,2.39,0.22,0.49,6.4,-8.63,,-1.4848,-3.05,,,,0,2.04,0.93,-1.618996365,,-5.96,-9.3112,,,,,0.45,-1,,,,-3,0.26,-7.821,-3.63,7.06,-2.085812386,4.3318599922,-2.334498183,0.4898759532,0.4497498107,-1.5
5.5,4.5,UAB,Florida Atlantic,3.5,,-1.14,,-0.79,,2.77,5.91,3.27,,0.7,2.5,1.9,2.7,,2.45,1.5,-1.9,4.2,,6.53,5.29,5.02,10.1,1.31,,5.5648,1.09,,,,0,9.42,3.49,5.5326161848,,2.31,0.4407,,,,,4.175,3.7,,,,4,7.68,1.083,0.89,-2.12,3.0961286308,2.9685630902,2.735,0.4755211132,0.5757307827,4.5
