lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-6,-7.5,Central Mich.,Akron,-9,,,-7.5,-2.4,,-7.1,-8.784,-4,-10.041,-4.1,-5.3,-5.2,-4.6,-6.4,-3.52,1,-7.5,-3.7,,-2.46,-1.34,-3.16,-4.54,-1.21,-3,-2.3998,2.05,,,-6,0,-5.4,-7.18,-2.44228882,,0.37,-7.2896,,,,,-8.45,-5.7,,,-6.3,-9,-3.66,-5.165,-7.08,-4.91,-4.608658023,2.8113174803,-4.755,0.5503565809,0.3879077693,-7
13.5,10.5,Vanderbilt,Alabama,12.5,,,10.5,5.51,,6.29,7.223,11.4,-5.292,7.5,9.6,8.5,12.8,-5.29,18.35,9.5,1.2,11.1,,12.28,12.88,9.39,17.17,10.14,8,6.8147,7.22,,,6,0,7.11,-2.46,-7.093006641,,7.64,10.522,,,,,15.82,13.7,,,3.85,-3,15.56,2.322,16.96,-4.62,7.7804637044,6.5628179572,8.25,0.4541341245,0.6741546404,10.5
1,1.5,Oregon St.,Appalachian St.,10.5,,,1.5,-6.7,,-8.92,-4.462,-4.48,16.757,-0.2,-1.8,-0.8,-0.9,5.55,-4.4,8.5,5.6,-1.5,,-0.07,-2.96,5.63,-4.72,-10.75,-10,0.1861,1.33,,,,0,13.07,-3.55,-0.028888794,,-4.33,-0.7645,,,,,-4.575,-6.4,,,-0.7,5,0.94,-5.049,-3.73,-1.14,-0.710465394,6.148667262,-1.14,0.4625147875,0.4834125123,1
20,20.5,Oklahoma St.,Arizona,15,,,20.5,23.54,,19.77,14.831,20.23,23.632,13.7,14.1,14.4,10.3,16.97,9.17,7,38.9,17,,17.51,17.62,18.93,18.35,29.27,33,16.5264,19.25,,,18,0,37.21,15.34,20.423832159,,25.62,18.2911,,,,,43.4,20.4,,,30.1,24,14.73,22.445,15.11,25.25,20.425537004,8.1196253206,18.32055,0.4987664331,0.8732626282,20.5
-10.5,-13.5,Texas St.,Arkansas St.,-11,,,-13.5,-15.2,,-3.13,-8.053,-10.93,-18.544,-9.5,-10,-11.7,-11.8,-8.65,-10.81,-10.5,-25.4,-11.5,,-10.04,-9.65,-11.48,-11.98,-14.63,-18,-9.287,-15.6,,,-12,0,-20.37,-5.91,-9.323965315,,-9.64,-13.5979,,,,,0.75,-11.6,,,-17.15,-14,-12.05,-14.805,-8.14,-14.19,-11.81696848,4.6765358538,-11.49,0.5289794488,0.2383979091,-13
18.5,19,West Va.,BYU,19.5,23.58,,19,30.04,,23.86,11.765,23.19,28.957,16.9,16.1,16.8,19.7,17.12,16.66,16.5,23.9,23.5,,18.08,16.59,19.66,20.88,33.49,30,23.5685,26.56,,,21,0,30.69,23.33,21.524469449,,25.3,23.0151,,,,,22.55,20.9,,,30.1,21,22.03,23.316,18.61,24.67,22.268542418,4.8844615405,22.55,0.5560395416,0.9092122455,19.5
-17,-14.5,Ohio,Ball St.,-15,,,-14.5,-14.05,,-23.51,-15.136,-13.09,-9.45,-20.4,-19.7,-22.9,-17,-10.79,-12.95,-16,-31.4,-16.5,,-11.16,-12.12,-11.24,-13.37,-17.83,-20,-10.7092,-16.8,,,-18,0,-18.86,-20.43,-17.23930859,,-11.52,-24.1247,,,,,-18.675,-17.9,,,-17.85,-17,-15.22,-25.876,-12.76,-13.61,-16.75472802,4.817614347,-16.65,0.4612521264,0.1571323382,-14.5
6,7,Kansas St.,Baylor,5,,,7,1.59,,7.59,11.168,2.51,10.899,7.7,5.9,7.3,1.7,5.98,1.04,2.5,4.2,3.4,,6.65,5.55,6.98,7.81,-3.13,-2,2.6702,5.24,,,7,0,8.68,2.37,8.054486592,,-1.68,-1.068,,,,,9.35,6.2,,,8.05,5,6.84,5.41,-0.91,8.43,4.8603801831,3.6940756912,5.725,0.4628937019,0.6168015369,7
7.5,10,Eastern Mich.,Buffalo,11,,,10,13.7,,20.19,7.125,9.4,10.982,13,12.1,14,7.4,10.38,9.16,15.5,-1.7,12.8,,11.95,12.83,12.81,11.48,13.86,9,4.6762,14.4,,,16,0,15.47,19.41,10.268731322,,10.99,5.254,,,,,4.575,13.8,,,9.1,10,9.79,11.937,7.12,4.37,10.947998092,4.3417475355,11.24,0.5163791992,0.7462655997,10
-3.5,-3,Duke,California,1,,,-3,-14.71,,-10.14,-3.204,-2.07,-3.432,-3.1,-5.7,-4.9,-0.6,-2.57,0.54,-1.5,-3.6,-3.5,,-0.34,-2.51,0.64,0.01,-10.76,-5,-2.9174,-6.75,,,-14,0,2.37,-8.07,-5.606998623,,-2.71,-4.7696,,,,,-6.7,-4.2,,,-3.15,-4,-4.7,-19.785,-3.55,-6.36,-4.620694406,4.6220616947,-3.525,0.4720789449,0.3903317795,-3
-4,-4,Kansas,Central Florida,1.5,,,-4,-2.56,,-3.98,-2.885,0.28,-1.754,-2.2,-2.2,-2.1,-2.4,-6.35,0.48,6,0.1,-3.5,,0.89,0.63,1.05,0.1,-5.23,-2,-1.3432,-2.33,,,-2,0,5.55,1.26,-7.458187307,,-3.25,-5.1502,,,,,-6.7,-4.2,,,-3.15,1,-1.56,-6.793,-2.73,-4.33,-1.953155203,3.0457166424,-2.2,0.5356492333,0.4520936513,-4
-1.5,1.5,Iowa St.,Cincinnati,-9,,,1.5,-2.36,,-11.44,-7.069,-0.88,-4.24,-5.1,-4.2,-4.8,-1.3,-1.43,-4.93,-6.5,-1.9,-0.4,,1.08,1.97,-0.66,1.17,1.89,-2,-0.3927,-3.14,,,-6,0,2.57,-12.11,0.533763217,,2.29,1.1132,,,,,-3.4,3.3,,,-4.55,-2,-7.22,-2.157,-1.37,-4.04,-2.685326022,3.8019378906,-2.0785,0.4277660334,0.4349075279,1
10.5,7.5,Florida Intl.,Connecticut,15,,,7.5,12.01,,22.38,14.197,11.19,16.304,16.6,15.3,16.4,7.9,8.57,10.9,14,4.3,10.8,,13.65,14.01,14.38,14.16,8.22,11,7.3617,12.56,,,14,0,13.59,18.45,12.013951537,,6.73,11.8836,,,,,23.675,11.9,,,14.7,6,10.6,23.992,9.37,12.78,13.191034765,4.3511347856,13.185,0.597360803,0.787697228,8.5
1,2.5,Western Kentucky,Delaware,-12.5,1.09,,2.5,0.6,,6.98,-10.701,-2.52,5.116,3.8,2.2,3.9,-2.9,1.61,-8.74,0.5,3,-2.5,,2.93,1.97,3.93,2.44,0.41,4,1.7932,-3.79,,,,0,1.79,-6.92,7.367931517,,3.41,3.5363,,,,,10.4,-0.2,,,3.15,-1,-1.17,-12.947,4.26,2.63,0.4979286532,5.3219520554,1.8816,0.465744854,0.5118206228,2.5
-6.5,-7,Texas,Florida,-11.5,,,-7,0.9,,-6.22,-1.539,-8.72,-2.809,-4,-5.6,-5,-11.6,-6.8,-9.87,-9,-12.5,-7,,-2.62,-0.48,-4.44,-3.9,-5.95,-8,-7.9031,-5.02,,,-10,0,2.24,-0.36,-7.617254872,,-1.26,-11.7854,,,,,-11.575,-4.7,,,-8.4,-7,-11.16,-6.661,-7.36,-6.36,-6.238048746,3.8429649442,-6.5105,0.5132167613,0.3517855173,-7
-3.5,-4,Miami (Fla.),Florida St.,-7.5,,,-4.5,-11.94,,-15.83,-9.458,0.58,-17.182,-11,-9.5,-11.6,-7.1,-5.01,-5.25,-12.5,1.1,-5.1,,-3.51,-1.93,-5.65,-4.91,-0.82,4,-3.9664,-9.72,,,-6,0,-9.06,-4.79,-8.868830166,,0.64,-13.7977,,,,,-10.175,-0.9,,,-4.55,-1,-16.03,-15.569,-5.09,-5.49,-7.041025838,5.2695986894,-5.825,0.4480256472,0.3374403318,-4
13.5,13.5,Nevada,Fresno St.,22,,,13.5,16.49,,21.68,20.039,15.17,18.186,15,16.4,17.8,15.1,17.67,15.44,10.5,22.8,10.1,,20.79,20.42,22.45,22.6,18.55,25,14.5991,17.09,,,18,0,24.19,18.24,24.366912436,,14.14,18.6195,,,,,18.85,21.9,,,25.41,20,22.57,20.17,17.65,24.38,19.010014234,3.8671771059,18.58475,0.594670519,0.876804077,14.5
-9,21,Kentucky,Georgia,21,,,21,21.87,,19.02,16.3,14.07,18.523,18.3,20.4,20.6,20.1,12,21.29,20,17.3,22,,20.96,19.29,21.42,25.67,19.9,15,16.8103,22,,,19,0,15.44,23.16,16.701969211,,15.24,19.7182,,,,,18.9,20.6,,,19.25,11,24.1,25.052,21.19,9.88,19.223763034,3.3959655038,19.8091,0.4691200367,0.8809445006,21
-19.5,-20,James Madison,Georgia St.,-13.5,,,-20,-23.28,,-25.9,-11.836,-17.75,-16.639,-9.9,-13.5,-12.8,-17.4,-8.36,-15.65,-12.5,-37.3,-22.5,,-16.38,-16.34,-13.21,-25.06,-24.43,-29,-13.1818,-18.48,,,-26,0,-45.61,-21.63,-17.5534473,,-15.46,-24.2146,,,,,-34.775,-21.9,,,-21.35,-25,-22.92,-18.744,-11.41,-17.38,-19.82899576,7.9099340331,-17.65172365,0.5028411121,0.1325390907,-20
-10.5,-11.5,Texas Tech,Houston,-3,,,-11.5,-8.85,,-12.19,-4.736,-6.79,-17.165,-2.1,-4.5,-2.9,-10.7,-0.57,-6.54,-8,-4.5,-9.1,,-2.97,-2.69,-2.31,-5.82,-11.09,-11,-6.968,-1.71,,,-9,0,2.78,-15.42,-7.688765014,,-1.65,-8.9716,,,,,0.55,-13.4,,,-1.2705,-13,-6.1,-14.948,-5.8,-4.91,-6.445218473,4.7231286589,-5.96,0.5863908663,0.3491041096,-10.5
7,6.5,Virginia,Louisville,15.5,,,6.5,3.1,,15.54,5.906,5.7,9.507,10.3,11.5,12,8.7,-0.12,10.69,15,1,6.9,,8.94,7.82,12.86,6.66,-3.83,-6,1.4003,9.49,,,6,0,5.36,9.27,6.221068477,,0.99,13.2986,,,,,-4.15,5,,,8.4,1,4.48,8.253,7.88,8.14,6.8807213466,5.2932767169,7.85,0.5065236518,0.6589970183,6.5
-5.5,-6.5,Washington,Maryland,2,,,-6.5,-10.88,,-9.48,-1.886,-4.6,12.456,-5.2,-5.1,-6.4,-2.2,0.08,-2.84,-2.5,5.9,-4.4,,-3.14,-4.49,-0.44,-6.36,-9.82,-7,-0.3399,-10.15,,,-7,0,-6.69,-3.44,-0.614973136,,-3.55,-2.4504,,,,,-9.95,-7.7,,,-1.05,1,-0.95,-2.07,-1.68,-3.46,-3.538757587,4.5726495188,-3.45,0.5509399752,0.4154956434,-6
