lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
20.5,20.5,Wisconsin,Alabama,12.5,,,21,,,12.99,11.445,17.45,7.472,16.3,17.5,17,14,6.71,19.2,14.5,,16,18,18.35,17.39,16.76,26.06,20.72,17,15.5934,15.35,,,10,0,19.56,8.87,-0.001719936,,10.96,18.3945,,,,,18.95,24.9,,,14.7,4,15.87,15.229,18.05,6.45,15.149205145,5.165235399,16,0.4090005136,0.8170662892,19.5
0,-1,Kansas St.,Arizona,1,6.22,,-1,,,-1.72,-3.183,5.76,1.927,-3.3,-4.3,-4.4,-9.6,-5.98,-3.42,-13,,-2.1,-2.2,1.98,-0.81,-3.35,11.29,-0.49,3,2.4476,-2.12,,,-9,0,-6.28,-6.27,6.131861614,,9.72,-5.5806,,,,,4,6.6,,,1.4,30,5.27,-1.753,-4.03,-0.18,-0.731114955,5.4291095012,-1.7365,0.5046012646,0.4826818417,-1
14,16.5,Texas St.,Arizona St.,3,,,16.5,,,26.17,14.515,11.01,19.147,32.3,27,30.3,11.2,11.67,14.6,9,,14.5,14.9,6.2,7.91,8.49,2.29,11.15,7,8.2624,10.61,,,24,0,0.15,4.22,7.597197759,,5.75,9.125,,,,,14.5,12.6,,,13.3,-1,7.31,15.995,11.14,13.86,12.593474222,7.6537397578,11.15,0.4351579115,0.7618616079,15.5
-20,-21,Iowa St.,Arkansas St.,-18.5,,,-21,,,-27.06,-21.685,-25.05,-22.878,-33.3,-29.1,-31.9,-26.4,-10.61,-27.3,-6.5,,-18.5,-22.7,-12.7,-12.94,-10.37,-20.75,-27.47,-32,-16.1811,-26.66,,,-21,0,-17.62,-22.57,-15.82592226,,-20.33,-27.2031,,,,,-26.3,-24,,,-28.7,-18,-20.17,-21.008,-20.85,-32.16,-22.23688921,6.659765228,-22.57,0.4791268328,0.0989796691,-21
24.5,24.5,South Alabama,Auburn,12,,,24.5,,,16.89,25.809,22.18,21.539,26.8,25.5,25.7,17.3,10.56,21.78,4.5,,23.5,19.9,18.59,18.06,18.86,23.68,20.38,19,21.1185,18.55,,,28,0,4.57,11.19,16.299756228,,18.42,13.1312,,,,,29.6,26.7,,,24.5,11,24.42,22.682,13.86,23.61,19.690841607,6.1241487373,20.38,0.4188707657,0.8756057303,24
-5,-5.5,Liberty,Bowling Green,-1,,,-6,,,-9.67,-3.759,5.07,11.921,-1.9,-3.6,-2.8,0.4,7.35,0.56,1.5,,-6.9,-3.4,2.1,1.56,0.77,3.97,1.56,-1,1.2397,5.03,,,-12,0,-3.55,-0.26,6.116296917,,3.97,0.4724,,,,,-0.05,-3,,,1.75,-1,1.49,10.116,-1.93,-2.91,0.2633256262,4.8709730588,0.4724,0.5981408447,0.5063034245,-4
-1.5,-2.5,Minnesota,California,-4,,,-2.5,,,-9.48,-6.307,-4.1,-1.24,-10.7,-7.7,-7.2,-4.7,-5.77,-5.27,2.5,,-2.9,0.2,-3.29,-3.06,-2.94,-6.26,-5.88,-9,-0.6055,-8.07,,,-9,0,-7.53,-7.46,-4.774873985,,-0.04,0.3012,,,,,-4.5,-9.2,,,-7.7,-13,-3.59,-9.324,-2.05,-12.27,-5.226004971,3.4965197814,-5.27,0.4527034443,0.3743738349,-3
-6.5,-7.5,East Carolina,Coastal Carolina,3,,,-7.5,,,-3.29,0.555,-7.05,-9.817,-5.9,-6.4,-7.1,-2.5,-9.93,-7.73,-5,,-5.8,-5.4,-5.1,-4.81,-0.45,-14.81,-11.67,-18,-9.296,-15.59,,,-5,0,-3.6,-7.96,-5.845374755,,-13.46,-5.6804,,,,,-30.25,-12.9,,,-9.8,-26,-10.47,-9.2,-1,-9.15,-7.897250707,6.0042332481,-7.05,0.493243021,0.3214306665,-7.5
-11,-10,Connecticut,Delaware,-13,,,-10.5,,,-7.68,-12.475,-9.4,-16.662,-7,-8.2,-7.9,-8.7,-7.49,-13.03,-5,,-12.8,-7.6,-6.91,-6.79,-4.62,-13.59,-15.5,-21,-7.0879,-18.86,,,,0,1.81,-19.45,-2.869760376,,-9.79,-2.1745,,,,,-8,-12.1,,,-12.6,-11,-11.98,,-0.3,-16.17,-9.846035163,5.3879332544,-8.7,0.5026358252,0.2791880667,-10
2.5,2.5,Florida Atlantic,Florida Intl.,0.5,,,2.5,,,1.62,4.769,1.87,0.674,1.5,0.8,2.2,1.4,9.72,-2.57,6.5,,0.6,2.3,5.44,4.92,4.06,8.47,-0.4,11,-0.7306,4.95,,,-5,0,-2.83,-0.03,6.2982300812,,5.59,6.057,,,,,37.55,6.9,,,2.8,-5,3.44,10.38,0.35,2.16,4.0930751452,6.9038144177,2.3,0.5267967171,0.5931523911,2.5
4.5,3.5,Jacksonville St.,Georgia Southern,-0.5,,,3.5,,,15.65,4.093,-4.81,-1.205,8.5,6.5,5.3,-5.1,-3.48,-3.46,-3.5,,7.1,2.2,3.66,3.92,7.15,-1.24,-4.99,-6,-2.3144,-11.37,,,7,0,-8.51,-6.94,-2.948018802,,-9.89,-0.5502,,,,,-10.85,-2.5,,,-5.6,-24,-6.16,-9.338,-3.43,-2.91,-1.32921768,6.2753270663,-2.91,0.418673265,0.469071747,3
-5.5,-3,Clemson,Georgia Tech,-1.5,,,-3,,,-9.3,-5.015,5.82,-4.213,-5.6,-6.4,-6.8,-6.2,2.18,-2.04,-8.5,,-5.5,-5,-0.29,-2.25,-3.46,4.14,-3.06,6,1.3914,1.92,,,-7,0,-8.03,-8.66,7.199190692,,2.87,-2.4541,,,,,16.2,-1.8,,,0.56,18,1.54,1.252,-2.23,-4.47,-1.677128837,5.4101593039,-2.25,0.5226301126,0.4603121034,-3
5,4,Colorado,Houston,6,8.43,,4.5,,,-2.36,2.901,-0.51,-4.898,-4.5,-2.8,-4.9,-0.3,-4.53,-1.04,-10.5,,3.3,-0.3,3.79,2.37,2.47,7.47,-0.45,-4,1.7646,-0.7,,,3,0,6.7,10.33,1.785702287,,2.4,-4.1315,,,,,5.5,3.8,,,2.45,14,4.65,-5.459,3.38,-6.42,0.6859111746,4.6795871462,1.7751511435,0.4430817577,0.5164694779,3.5
