lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-2,Georgia Southern,Appalachian St.,-5.5,,,,,-7.67,,,,,,,3.8,,0.83,,,0.6,,,,,,,,,,,,,1,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.8656,-5.211252823,,,,,-1.7,-1.575476776,,,,-2.574,1.08,2.5,,,-0.965493221,3.2847761576,0.339880543,0.5180095617,0.4763433117,-2
2.5,2.5,Missouri St.,Arkansas St.,-2.5,,,,,5.73,,,,,,,,,0.17,,,2,,,,,,,,,,,,,1,-0.83342782,-1.03,4.41,1.641843527,,-0.027,0.6185,1.7609296977,,,,,0.7,-0.43759798,,,,11.093,-0.73,2,,,1.6602082648,3.4739003971,0.65925,0.4853962732,0.5405347044,2.5
-3.5,3,Connecticut,Army,-6,,,,,-0.96,,,,,,,,,5.53,,,2.5,,,,,,,,,,,,,1,1.5208826886,-4.66,-1.69,-0.28848343,,0.152,8.091,7.1137730749,,,,,-2.5,0.8162507124,,,,-1.451,1.66,4.5,,,0.4574570899,3.8693982338,-0.068241715,0.4559872955,0.5111262902,3
2.5,3,Georgia Tech,BYU,12,,,,,4.22,,,,,,,,,8.89,,,3.9,,,,,,,,,,,,,1,13.072951019,12.03,11.32,15.041773596,,0.075,7.0867,20.416088959,,,,,8.3,2.3256003912,,,,6.537,8.78,16.5,,,9.1252446154,4.5697774907,8.835,0.6044361093,0.7089741101,4
6.5,0,Navy,Cincinnati,-3.5,,,,,-0.46,,,,,,,,,7.95,,,1.8,,,,,,,,,,,,,1,6.790130294,0.48,0.74,0.664203981,,0.064,6.7444,7.0601375149,,,,,7.9,-1.282268342,,,,0.048,2.33,10.5,,,3.0036238768,4.1464236508,1.27,0.5518443655,0.5723625572,0
-1,3.5,Penn St.,Clemson,-3,,,,,-1.92,,,,,,,,,-8.47,,,-0.3,,,,,,,,,,,,,1,-9.499940118,0.75,2.66,-3.945146338,,-0.106,-5.7594,-8.754561018,,,,,-5.8,-0.292661197,,,,0.013,-4.4,-6.5,,,-3.305534747,3.652488043,-3.472573169,0.3834783567,0.4198932773,2
-3.5,-3.5,Louisiana-Lafayette,Delaware,-2,,,,,-4.69,,,,,,,,,-8.16,,,-3.3,,,,,,,,,,,,,1,-1.554278562,1.14,-1.28,-3.709334409,,-0.032,-7.0586,10.029624135,,,,,-3.4,-0.05179347,,,,-12.774,-5.63,1.5,,,-3.639158069,3.8797588864,-3.35,0.4975863938,0.4122107645,-3.5
1.5,1.5,Arizona St.,Duke,-0.5,,,,,-1.21,,,,,,,,,-3.85,,,0.4,,,,,,,,,,,,,1,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.37,-15.65480383,,,,,-1.9,-0.82277815,,,,3.301,-0.9,1,,,-0.388229929,3.0955048688,-1.055,0.4671163626,0.4904610694,1
-6,-6,Pittsburgh,East Carolina,-0.5,,,,,-10.44,,,,,,,,,-6.09,,,-4.8,,,,,,,,,,,,,1,-5.254636584,6.67,-0.46,-4.086359493,,-0.082,-6.9048,-5.012355654,,,,,-7.7,-0.263468724,,,,-4.789,-3.79,-1.5,,,-3.551914006,4.1904474164,-4.437679746,0.5422809932,0.4146728195,-6
3.5,3.5,Miami (Ohio),Fresno St.,4.5,,,,,-1.34,,,,,,,,,3.19,,,3.1,,,,,,,,,,,,,1,3.5314562822,1.56,4.08,1.61120792,,-0.037,2.4903,0.3900461949,,,,,3.3,0.5964061388,,,,0.619,2.85,6.5,,,2.5682117287,1.990120556,2.975,0.4836710735,0.5635209008,3.5
-2.5,-3,California,Hawaii,5,,,,,1.79,,,,,,,,,-5.54,,,-1.6,,,,,,,,,,,,,1,1.6298480684,3.01,-2,2.599491893,,-0.092,-6.4131,11.513828735,,,,,-2.6,-0.82017336,,,,-0.46,0.36,5,,,0.048874283,3.4766654747,0.134,0.552874134,0.5011953025,-2.5
