lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-3.5,Georgia Southern,Appalachian St.,-5.5,,,,-0.82,-7.67,-3.057,,,,,,3.8,,0.83,,,-2.1,,-3.02,-2.17,-4.01,-3.21,-0.98,,,,,,-1.3,1,3.125,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.8656,-5.211252823,,,,-1.7,-1.575476776,-3.92,,,-2.574,1.08,2.5,,,-1.461775932,2.840797065,-1.7,0.5355403658,0.4640257074,-3.5
2.5,1,Missouri St.,Arkansas St.,-2.5,,-1.52,,-4.44,5.73,2.429,,,,,,,,0.17,,,2,,3.01,2.57,1.14,5.93,-2.63,,,,,,4.09,1,1.15,-0.83342782,-1.03,4.41,1.641843527,,-0.027,0.6185,1.7609296977,,,,0.7,-0.43759798,-3.0345,,,11.093,-0.73,2,,,1.2774966283,3.3472697999,1.14,0.5048305109,0.5312632683,1
-3.5,6,Connecticut,Army,-6,,,,-2.99,-0.96,-7.738,,,,,,,,5.53,,,3.2,,,,,,-0.03,,,,,,-2.8,1,7.75,1.5208826886,-4.66,-1.69,-0.28848343,,0.152,8.091,7.1137730749,,,,-2.5,0.8162507124,-2.884,,,-1.451,1.66,4.5,,,-0.079380037,4.2702795979,-0.624241715,0.3960763364,0.4980806796,5
2.5,4.5,Georgia Tech,BYU,12,,,,10.44,4.22,8,,,,,,,,8.89,,,3.9,,4.57,3.6,5.34,5.42,11.27,,,,,,7,1,-4.625,13.072951019,12.03,11.32,15.041773596,,0.075,7.0867,20.416088959,,,,8.3,2.3256003912,8.4,,,6.537,8.78,16.5,,,7.798684359,4.7102343319,8.15,0.5566403634,0.6805606991,5
6.5,-4.5,Navy,Cincinnati,-3.5,,,,2.28,-0.46,,,,,,,,,7.95,,,-0.9,,2.79,4.28,0.26,3.99,7.88,,,,,,6.33,1,5.85,6.790130294,0.48,0.74,0.664203981,,0.064,6.7444,7.0601375149,,,,7.9,-1.282268342,-1.316,,,0.048,2.33,10.5,,,3.1171623598,3.7495666211,2.33,0.629857458,0.5754982146,-3
-1,4.5,Penn St.,Clemson,-3,,,,-7.54,-1.92,1.25,,,,,,,,-8.47,,,2.5,,-4.42,-4.87,-5.1,-3.51,-10.25,,,,,,-3.09,1,-3.925,-9.499940118,0.75,2.66,-3.945146338,,-0.106,-5.7594,-8.754561018,,,,-5.8,-0.292661197,-1.75,,,0.013,-4.4,-6.5,,,-3.611770269,3.5665080523,-3.935073169,0.3618762366,0.4124867492,3
-3.5,-3,Louisiana-Lafayette,Delaware,-2,,-1.66,,-3.14,-4.69,-4.728,,,,,,,,-8.16,,,-3.3,,-6.37,-6.42,-5.19,-8.36,-1.54,,,,,,-6.67,1,4.475,-1.554278562,1.14,-1.28,-3.709334409,,-0.032,-7.0586,10.029624135,,,,-3.4,-0.05179347,-3.2025,,,-12.774,-5.63,1.5,,,-3.750148519,3.6528039742,-3.4,0.4869703273,0.4092953007,-3
1.5,2,Arizona St.,Duke,-0.5,,,,-1.68,-1.21,,,,,,,,,-3.85,,,0.3,,1.01,0.7,-1.58,4.25,-1.19,,,,,,0.62,1,-3.25,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.37,-15.65480383,,,,-1.9,-0.82277815,-2.1,,,3.301,-0.9,1,,,-0.380661696,2.7381122668,-1.19,0.4584858965,0.4906097844,1.5
-6,-4,Pittsburgh,East Carolina,-0.5,,,,-6.14,-10.44,-6.88,,,,,,,,-6.09,,,-4.8,,-8.75,-8.46,-9.01,-9.77,-5.71,,,,,,-5.31,1,-2.025,-5.254636584,6.67,-0.46,-4.086359493,,-0.082,-6.9048,-5.012355654,,,,-7.7,-0.263468724,-3.801,,,-4.789,-3.79,-1.5,,,-4.815949837,3.8301545303,-5.282318292,0.4858456474,0.3844500665,-4
3.5,3.5,Miami (Ohio),Fresno St.,4.5,,,,1.79,-1.34,5.281,,,,,,,,3.19,,,3.1,,1.71,1.91,1.6,1.81,2.08,,,,,,2.45,1,3.775,3.5314562822,1.56,4.08,1.61120792,,-0.037,2.4903,0.3900461949,,,,3.3,0.5964061388,5.3515,,,0.619,2.85,6.5,,,2.6546860084,1.7620436442,2.47015,0.4851734936,0.5657487839,3.5
-2.5,-1.5,California,Hawaii,5,,,,-1.97,1.79,-4.248,,,,,,,,-5.54,,,-1.6,,0.13,-0.96,1.04,-0.01,2.54,,,,,,-1.75,1,-0.575,1.6298480684,3.01,-2,2.599491893,,-0.092,-6.4131,11.513828735,,,,-2.6,-0.82017336,-0.35,,,-0.46,0.36,5,,,-0.227865002,2.8729228294,-0.221,0.5221961812,0.4943867736,-1.5
3,3,LSU,Houston,3,,,,-3.64,-11.69,-3.839,,,,,,,,-5.02,,,2.3,,-5.29,-5.74,-4.84,-6.23,-3.1,,,,,,-5.13,1,-8.1,-3.761634076,0.44,-4.24,-2.209484019,,-0.184,-6.6669,-9.879052956,,,,-8.3,-0.73213418,-2.5515,,,-5.796,-5.88,-0.5,,,-4.040354921,3.3786824174,-4.54,0.3793665935,0.4020661652,1.5
-6.5,-4.5,Tennessee,Illinois,1,,,,-1.2,-1.58,-2.677,,,,,,,,-9.59,,,-4,,-6.18,-6.16,-5.34,-7.52,-4.41,,,,,,-7.21,1,-8.755,0.637329974,-6.18,-4.52,-3.620166489,,0.048,-2.3412,-2.09486849,,,,-3.2,-0.553323728,-1.4105,,,-6.287,-4.16,3,,,-3.818980688,3.1965057395,-4.08,0.5118645054,0.4071256389,-4.5
-3,-2.5,Troy St.,Jacksonville St.,-0.5,-3.39,-2.57,,0.48,-5.52,-2.716,,,,,,,,-3.17,,,-3.6,,-4.85,-4.08,-4.04,-7.17,-1.47,,,,,,5.56,1,-0.725,-2.760239101,-0.21,-5.32,-1.569283019,,-0.064,-5.2806,3.6103549513,,,,-2.7,-0.292777798,-2.5585,,,-8.212,-2.59,0.5,,,-2.635600851,2.791949575,-2.708,0.4976317913,0.4353018495,-2.5
7,8.5,Coastal Carolina,Louisiana Tech,5.5,,,,11.06,6.31,-3.246,,,,,,,,4.32,,,5.1,,7.27,8.9,3.68,10.11,13.48,,,,,,7.9,1,16.325,13.52672277,13.36,11.23,2.038003874,,-0.039,6.2467,25.506759124,,,,9.5,0.0140948308,6.44,,,0.917,5.15,16.5,,,7.5657677768,5.083433414,6.855,0.4839633059,0.6744625041,8.5
9.5,8.5,Toledo,Louisville,3,,,,1.04,7.66,10.766,,,,,,,,12.87,,,10.6,,8.03,7.85,11.83,4.85,6.12,,,,,,3.49,1,8.05,5.439521435,-1.19,0.54,2.712957008,,0.201,8.652,12.967731667,,,,6.9,1.9057359992,10.15,,,6.251,5.14,8.5,,,6.2271866018,3.8331223497,6.5755,0.4606300037,0.6479884068,8.5
3,2.5,New Mexico,Minnesota,-4.5,,,,0.18,14.68,2.664,,,,,,,,11.41,,,2.2,,8.27,8.56,7.36,9.83,2.95,,,,,,7.42,1,-2.1,-0.340259401,0.69,3.25,0.608899505,,0.082,5.6233,7.909524405,,,,8.7,0.2740516076,-0.2345,,,5.207,2.03,2.5,,,4.043351671,4.6744317095,2.807,0.5265785671,0.5961705068,2.5
17.5,17.5,Tulane,Mississippi,12,,13.99,,,13.28,14.211,,,,,,15.7,,19.2,,,18,,17.25,16.6,16.66,20.2,17.99,,,14.99,,,17.43,0,25.425,18.309868606,15.95,2.81,13.432019142,,3.042,19.4353,20.024422125,,,,19.5,3.4432644352,10.15,,,15.682,14.9,18,,,15.54373799,4.7867048716,16.275,0.4663589428,0.8248687301,17.5
3,2.5,Wake Forest,Mississippi St.,-5,,,,-5.61,3.96,-1.424,,,,,,,,4.03,,,3.4,,-1.3,-0.04,-2.04,-1.75,1.72,,,,,,-0.44,1,0.95,1.435269211,0.26,4.98,1.638889044,,0.079,2.4298,9.835581181,,,,4.8,0.3714136976,-3.2795,,,5.137,-0.49,4.5,,,0.747769094,3.0767775525,0.605,0.4694766253,0.5183722028,2.5
7,6.5,Virginia,Missouri,-3,,,,4.02,10.52,5.333,,,,,,,,9.18,,,6.9,,5.92,5.26,4.17,9.41,5.59,,,,,,8.36,1,10.475,4.636702493,2.87,4.39,8.417849229,,0.021,1.8475,7.8483489974,,,,7.2,0.8950133056,1.05,,,11.985,5.16,7.5,,,5.7173354884,3.5746597881,5.4615,0.4863984735,0.6368459144,6.5
5.5,5.5,Memphis,NC St.,-1,,1.75,,1.74,2.78,0.143,,,,,,,,-0.02,,,3.3,,9.17,8.46,9.49,10.22,3.05,,,,,,1.19,1,-6.925,1.237936193,-4.48,2.91,4.278950925,,0.155,-0.3957,7.144250448,,,,2.8,0.6041588304,2.8,,,8.683,1.86,4,,,2.6878874847,4.14853988,2.78,0.4514451056,0.5648251052,4.5
4.5,5.5,Army,Navy,9.5,5.83,3.17,,9.4,4.62,14.033,1.73,7.072,6,4.8,5.1,3.8,5.13,0.23,1.5,,7,6.3,4.78,3.65,6.46,4.97,2.45,4,2.5122,2.52,,,4.13,1,-3.32,2.2192071856,5.14,7.4,5.470306463,,-0.044,-2.1063,-4.741415465,,,,5.1,1.694592706,11.9,7,8.53,6.315,2.47,5,,,4.7374721448,3.3740342293,4.97,0.4867307244,0.6144016502,5.5
12.5,11,Central Mich.,Northwestern,4.5,,,,12.2,12.58,13.272,,,,,,,,17.71,,,13,,10.04,11.71,8.28,11.58,18.73,,,,,,12.76,1,25.125,18.144014693,3.64,3.18,8.209436728,,0.226,18.9861,20.460109599,,,,15.9,2.9588024804,13.5905,,,13.57,12.26,20.5,,,12.487210476,5.9049804984,12.67,0.5253079302,0.768741506,11
-4,-4.5,UNLV,Ohio,-6.5,,,,-8.94,1.74,-8.871,,,,,,,,-4.59,,,-3.5,,-5.25,-5.24,-5.48,-5.64,-6.31,,,,,,-5.17,1,-6.65,-6.317899632,-1.21,-2.52,-5.009477106,,-0.057,-8.0752,0.9987926226,,,,-3.8,-1.055721565,-8.75,,,-8.396,-6.33,-3,,,-5.161107364,2.7517139031,-5.365,0.4884531293,0.3748196249,-4.5
-2,-1,Alabama,Oklahoma,4.5,,2.17,,,0.38,6.558,,,,,,-8.3,,-2.49,,,0.3,,-2.05,-2.88,-2.57,-0.97,1.68,,,2.88,,,1.77,0,1.075,1.801426074,3.32,2.99,4.289692199,,3.015,0.8729,5.286933874,,,,-1.5,0.8414395072,4.9,,,5.466,1.56,1.5,,,1.164154549,3.1986507675,1.62,0.5376522164,0.5285467975,-0.5
21,21.5,James Madison,Oregon,11,,16.31,,,19.99,15.453,,,,,,,,24.66,,,23,,18.29,16.92,19.02,20.83,24.39,,,19.76,,,16.57,0,25.675,21.805690421,13.04,8.96,16.306133845,,3.198,21.0925,21.447654072,,,,20.9,13.108780714,9.1,,,19.591,15.28,22,,,17.725652971,5.4422937875,19.02,0.4356999571,0.8537220142,21
-1.5,-3,Arizona,SMU,-3.5,,,,1.93,6.41,-4.29,,,,,,,,1.26,,,-2.5,,4.14,4.48,5.02,3.03,-3.76,,,,,,0.63,1,0.425,-2.25366271,0.09,-6.84,-4.69327171,,-0.028,1.5978,5.791832971,,,,0.3,-1.266379976,-3.85,,,-1.923,1.66,0.5,,,-0.090213934,3.4102471701,0.3625,0.5504971021,0.4977917762,-3
-6,-3,North Texas,San Diego St.,-6.5,,,,-9.92,-8.89,-6.814,,,,,,,,-6.41,,,-4.6,,-6.88,-7.68,-6.93,-6.75,-10.16,,,,,,-5.7,1,-12.825,-8.237073832,-1.34,-8.31,-4.027865899,,-0.063,-3.6744,6.7819800235,,,,-8.4,-1.808757566,-10.934,,,-6.251,-4.44,-9,,,-6.864014155,2.9195442136,-6.847,0.4328831692,0.3359152848,-4
7.5,3.5,Old Dominion,South Florida,3,,9.65,,15.09,13.01,6.023,,,,,,,,7.5,,,3.5,,9.26,8.71,8.8,11.24,13.09,,,,,,9.54,1,15.125,12.423001355,7.88,11.1,9.202252534,,0.081,3.2024,18.964489223,,,,9.6,1.8199204764,9.45,,,12.149,7.1,15.5,,,9.2490261556,3.9584781139,9.45,0.598628845,0.7133583335,4.5
-3,-4,Western Kentucky,Southern Miss.,-4,,,,-4.89,-6.91,-7.397,,,,,,,,-8.31,,,-2.2,,-2.47,-3.06,-1.71,-2.95,-4.99,,,,,,-2.25,1,5.875,-2.349120801,-2.96,2.45,-4.979566329,,0.026,-4.0211,-9.674244667,,,,-3.1,-0.557103916,-4.9,,,2.238,-5.51,0.5,,,-2.827824464,3.2731467363,-3.01,0.5204057283,0.4310090201,-4
-5.5,-6,USC,TCU,-9,,,,-11.97,-4.13,-5.009,,,,,,,,-6.85,,,-6.7,,-7.11,-7.28,-6.09,-8.91,-13.33,,,,,,-7.16,1,-15.55,-11.92651871,-10.36,-2.76,-6.147686169,,-0.042,-6.1591,-8.786359906,,,,-11.1,-1.351582292,-5.453,,,-11.073,-8.76,-8.5,,,-7.973762703,3.4925149154,-7.22,0.4657157286,0.3125195418,-6
4.5,7.5,Michigan,Texas,1,,,,-2.48,10.7,,,,,,,,,1.58,,,3.4,,5.08,3.84,5.1,7,-1.51,,,,,,4.53,1,4.1,-2.02827326,-0.43,7.39,5.184891145,,-0.028,2.7398,8.820902345,,,,1.9,1.1915075356,0.9835,,,7.243,0.86,1.5,,,2.9415181689,3.3384184315,2.7398,0.421162278,0.5716775106,6.5
