lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-8.5,-10,Boise St.,Air Force,-7,,,-10,-14.08,,-13.46,-12.276,-6.43,-22.163,-20.3,-18.9,-21.4,-10,0.07,-9.1,-16,,-8.4,-12.4,-6.68,-6.13,-6.42,-10.67,-7.89,-10,-11.1558,-9.49,,,-13,0,-3.91,-2.45,-8.386068202,,2.6,-9.5075,,,,,-15,-7.7,,,-9.1,2,-14.44,-8.43,-5.85,-12.42,-10.21856578,5.4770294208,-9.49875,0.4962615869,0.2721369936,-10
2.5,-1.5,North Texas,Army,3,,,-3,-1.73,,6.92,11.734,0.17,5.019,7.8,6.8,8.6,11.6,0.16,7.34,9.5,,-1.1,3.5,4.69,4.04,7.15,2.14,-4.56,-8,-0.2647,6.36,,,6,0,4.16,3.12,-4.252278401,,-3.38,5.8626,,,,,6.05,-4.5,,,3.15,-29,5.92,6.475,9.65,13.13,3.9514894889,5.0409711875,4.8545,0.5927880224,0.5934370159,-0.5
-2.5,2.5,Arizona St.,Baylor,3.5,,,2.5,-10.6,,-2.18,4.7,-0.82,4.508,-1.7,-1.3,-2.3,-1,2.04,1.85,-2,,1.2,1.4,3.25,3.17,3.43,2.64,-1.39,-2,0.791,-1.03,,,3,0,2.32,-0.1,3.312966005,,-3.06,-2.6911,,,,,7.35,2.3,,,0.7,-3,0.38,0.673,1.65,5.78,0.7714962779,3.2175527644,0.9955,0.4699145592,0.5189229622,2.5
6.5,6.5,Troy St.,Buffalo,5.5,,,6.5,5.12,,14.73,6.551,2.31,16.328,5,3.4,3.2,0.5,1.03,-2.18,15,,3.6,-1.4,3.88,3.13,4.73,3.48,-3.97,-1,-0.2531,3.36,,,5,0,1.97,7.02,3.276628838,,-3.04,-2.435,,,,,-7.2,3.9,,,5.95,9,5.15,-1.287,-3.61,2.98,3.0477924677,5.0447481427,3.318314419,0.4409207705,0.572334103,6
5,7,North Carolina,Central Florida,5,,,7,11.67,,-2.74,-5.236,9.87,11.06,14.7,11.2,13.8,9.4,2.44,10.07,7,,3.7,3.8,3.64,4.28,2.79,3.53,13.31,16,11.1706,10.44,,,1,0,8.2,12.18,7.259751045,,12.96,9.2728,,,,,32.7,11.6,,,11.2,18,3.7,8.643,9.57,8.93,8.5586153068,6.3576141067,9.3364,0.5263883835,0.6910374104,7
-4.5,-2.5,Rice,Charlotte,-5.5,-2.81,,-2.5,-6.79,,-4.68,-4.536,-3.07,-4.307,-4.7,-4.7,-6.1,-4.4,-3.09,-3.64,1.5,,-2.2,-0.6,0.69,0.05,0.8,0.22,-4.96,-15,-1.2206,-5.71,,,-2,0,-6.41,-6.37,-5.215925359,,-7.34,-8.4683,,,,,-14.1,-7.2,,,-5.25,-13,-2.13,-2.913,-8.49,-9.97,-4.611103388,3.6705801303,-4.68,0.463380859,0.3889927523,-2.5
20,17,Syracuse,Clemson,8,,,17,17.34,,15.19,10.722,6.34,20.502,20.2,20,21.7,12.7,9.13,10.92,9.5,,16.5,20.5,14.46,14.19,15.51,16.08,11.45,7,9.665,9.61,,,9,0,7.71,4.36,6.618152898,,7.49,7.1888,,,,,8.9,14.8,,,11.9,-5,12.8,8.913,15.19,14.18,12.396082025,4.6783238474,11.675,0.4211783125,0.7722598035,16.5
14,13.5,Wyoming,Colorado,5,,,13.5,22.98,,18.32,17.585,18.5,19.522,31.8,26.4,30.1,13.5,-1.44,17.74,24.5,,11.6,16.8,14.27,15.56,15.42,13.75,15.71,16,12.7635,21.29,,,14,0,7.54,6.3,11.064408074,,9.88,26.8653,,,,,17.3,15.5,,,14.9695,1,8.01,5.859,12.74,20.83,15.792464113,7.0858166241,15.53,0.5384431431,0.8173862281,13.5
-4,-5,Texas-San Antonio,Colorado St.,-3,,,-5,-5.8,,-9,0.53,-2.97,6.384,-1.5,-2.8,-3.5,-1.4,-8.82,-6.17,4,,-7.1,0.6,-1.58,-1.69,0.61,-5.9,-8.24,-14,-0.6816,-10.53,,,-2,0,-6.32,-4.54,-4.204931849,,-3.19,2.3734,,,,,-46.3,-3.7,,,-5.25,-3,-4.05,-1.646,-5.01,-9.62,-4.889309218,8.2034090881,-3.6,0.5018315609,0.3925154225,-5
20.5,21,Ball St.,Connecticut,10.5,,,21,24.42,,30.95,11.574,16.28,18.269,22.1,21.8,24,9.8,4.07,13.44,22.5,,18,18.6,20.15,21.83,19.58,22.66,19.29,32,15.6617,23.01,,,19,0,19.17,15.92,20.224349969,,15.9,22.3767,,,,,29.25,23.9,,,17.3915,13,10.89,6.658,6.72,17.33,18.478201388,6.4293216691,19.085,0.457389736,0.8588641155,21
3,3.5,NC St.,Duke,-6,,,3.5,1.82,,8.82,1.949,-2.1,-0.706,3.6,2.3,2.9,-1.3,-5.51,-0.13,5.5,,1.6,-0.4,1.85,2.3,1.77,0.55,-1.79,-7,0.0064,1.38,,,3,0,-1.42,-1.82,1.284460665,,-4.78,4.8235,,,,,-12.85,-1.7,,,-5.95,-12,-1.44,0.587,-1.75,7.18,-0.095156648,4.1609771038,0.2782,0.4380281606,0.4976953186,3
-7.5,-6.5,BYU,East Carolina,-4.5,,,-6.5,-13,,-11.88,-15.166,-15.97,-10.965,-17.5,-12.7,-15.2,-12.8,-1.44,-12.94,2,,-6.7,-8.8,1.16,2.43,-0.33,0.77,-12.14,-16,-5.9025,-12.43,,,-13,0,-4.15,-8.62,-11.34774598,,-5.68,-10.2072,,,,,1.2,-9.2,,,-13.3,-10,-7.68,-12.241,-10.21,-19.07,-8.986373499,5.983028203,-10.5875,0.4577757327,0.298790219,-7
-2.5,-2.5,Louisiana-Lafayette,Eastern Mich.,-10,,,-2.5,-7.95,,-10.71,-5.759,-6.52,-7.406,-10.6,-9.6,-11.9,-6.8,-10.86,-9.91,-11,,-3.3,-2.5,-3.9,-4.17,-5.23,-4.23,-8.56,-9,-1.6367,-9.02,,,-8,0,-4.69,1.61,-10.7994311,,-8.13,-11.3736,,,,,-11.9,-8,,,-7.7,-14,-10.67,-7.42,-5.48,-8.92,-7.556520308,3.2057306847,-8,0.4126097488,0.3210272683,-3.5
4.5,6,Delaware,Florida Intl.,10,,,6,2.86,,-7.66,4.467,4.25,1.296,-2.4,0.01,-1.9,8.1,6.4,6.83,3,,7.2,3.4,7.26,7.93,6.17,8.35,9.05,3,6.3432,8.89,,,,0,1,7.43,-1.492954348,,8.82,1.5935,,,,,11.6,5.8,,,4.9,5,5.42,37.382,-1.8,-7.17,5.0376784472,7.2745982815,5.42,0.4838805118,0.6131555624,6
43.5,45,Kent,Florida St.,29,,,45.5,50.47,,32.11,34.936,42.07,31.611,47.3,46,49.5,32.8,19.05,38.99,13,,31,40.4,41.43,40.42,42.27,52.08,52.6,57,38.5263,39.03,,,49,0,30.93,21.79,34.415562078,,45.8,40.1816,,,,,47.8,49.7,,,40.8205,39,38.86,40.392,34.75,42.88,39.414248947,9.59032662,40.396,0.4102466976,0.9829548363,44.5
