lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-1.5,-2.5,Georgia,Alabama,-3,,0.23,,,0.97,-4.159,,-0.671,,,,-3.4,,0.84,-3.5,-1.566652,-1.7,,-1.3,-0.07,-3.16,-1.15,2.31,1,,0.67,,,,1,2.003584479,3.15,-0.26,-2.055932328,,0.38,0.1274,16.54710512,,,,,2.6,-0.837046643,,1,,-0.302,0.48,5,,,-0.24198518,2.2038587612,-0.07,0.5394822783,0.4939999826,-2.5
1.5,3.5,UNLV,Boise St.,2,,,,,11.29,-0.726,,4.16,,,,7.9,,5.9,3.5,3.695644,1.8,,4.23,4.97,3.5,4.31,5.8,6,,,,,,1,2.664991277,1.13,-1.06,-1.8274898,,4.17,-0.7631,9.2649291907,,,,,4.9,-0.014082087,,,,-6.189,2.42,5,,,3.1510018191,3.5029028977,3.695644,0.4939310713,0.576560543,3.5
1.5,-1.5,Kennesaw St.,Jacksonville St.,-1.5,,-4.51,,,2.58,0.431,,-5.839,,,,-3.8,,8.31,14.5,-1.695133,-0.8,,2.02,1.91,0.86,3.26,-2.8,-3,,-3.07,,,,1,-7.699703531,0.99,-4.95,-3.919194515,,-5.05,-1.7968,1.9841100262,,,,,-2.5,-0.889000758,,-2,,-2.612,-3.4,-4.5,,,-1.058549298,4.5977996142,-2.5,0.5076125877,0.4745580864,-1.5
20.5,22.5,Troy St.,James Madison,19.5,,19.96,,,22.78,15.049,,21.465,,,,,,19.37,18.5,27.92689,23.5,,20.68,21.4,19.71,22.91,24.33,24,,24.31,,,,1,22.046232382,20.54,14.76,14.869694823,,16.34,16.3165,25.821984514,,,,,19,1.9578931992,,15,,22.884,17.75,25,,,20.572973739,3.421899858,20.61,0.4665101051,0.8965435172,22.5
5.5,5.5,Indiana,Ohio St.,3.5,,-2.47,,,0.69,4.897,,-7.269,,,,,,4.91,-1,-3.63,3.3,,0.71,0.06,2.25,0.28,-3.05,-6,,-2.44,,,,1,-4.540688921,-1.12,4.9,4.2885124,,-1.94,1.2846,-8.928502387,,,,,0.01,-9.753647972,,-2,,-1.961,2.75,-1.5,,,-0.119252943,3.3746189697,0.03,0.4031687051,0.497079652,4.5
11.5,13.5,BYU,Texas Tech,2,,7.11,,,8.8,1.008,,1.354,,,,8.2,,4.77,0.01,11.94444,10.4,,9.64,8.96,6.82,15.38,8.5,13,,9.2,,,,1,11.109487565,6.08,10.36,9.872056745,,5.4,7.8885,10.243835653,,,,,9.6,-0.214175254,,7,,13.464,7.99,14,,,8.2537216411,3.9628962234,8.8,0.4098435997,0.6923703994,12.5
-3,-2.5,North Texas,Tulane,-0.5,,-5.67,,,0.74,2.647,,-4.062,,,,,,2,5,-11.85001,-2.6,,-0.86,-2.22,2.12,-2.81,-8.91,-8,,-9.05,,,,1,-10.82144853,-8.67,-5.76,-4.414002439,,-6.63,-1.7624,6.212879533,,,,,-6.5,-0.336929041,,-9,,-5.618,-4.74,-7.5,,,-4.093879268,4.4034300251,-4.577001219,0.4724895093,0.4022235165,-2.5
2.5,3.5,Duke,Virginia,9,,5.03,,,-4.98,4.803,,7.827,,,,0.4,,1.97,-6,5.855763,2.3,,3.32,2.91,4.97,2.28,6.04,5,,5.28,,,,1,5.472974127,15.86,2.54,3.476575689,,5.03,2.1443,0.6873673268,,,,,3,0.8424668728,,5,,1.481,3.42,8.5,,,3.9603930673,4.0921376229,3.476575689,0.5079719899,0.5951022081,3.5
3,2.5,Miami (Ohio),Western Mich.,3,,1.86,,,-3.99,2.753,,4.087,,,,-2.9,,-1.93,-7.5,0.9652195,1.1,,2.28,1.34,2.25,3.44,1.79,1,,1.83,,,,1,1.9533466443,7.65,0.29,1.557030121,,1.77,-1.3793,9.0236685781,,,,,-0.4,0.5646656408,,2,,1.432,-0.73,5,,,1.056233195,2.922955261,1.557030121,0.4748199167,0.5259873273,2.5
