lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-3.5,Georgia Southern,Appalachian St.,-5.5,,,,-0.82,-7.67,-3.057,,,,,,3.8,,0.83,-5,,-2.1,,-3.02,-2.17,-4.01,-3.21,-0.98,,,,,,-1.3,1,3.125,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.8656,-5.211252823,,,,-1.7,-1.575476776,-3.92,,,-2.574,1.08,2.5,,,-1.597861473,2.8685926833,-1.9,0.5331680956,0.4606989013,-3.5
2.5,1,Missouri St.,Arkansas St.,-2.5,,-1.52,,-4.44,5.73,2.429,,,5.2,5.4,4,,,0.17,-1,,2,,3.01,2.57,1.14,5.93,-2.63,-3,,,,,4.09,1,1.15,-0.83342782,-1.03,4.41,1.641843527,,-0.027,0.6185,1.7609296977,,,,0.7,-0.43759798,-3.0345,1,,11.093,-0.73,2,,,1.4179138569,3.3814234527,1.145,0.5072730016,0.5346763715,1
-3.5,7,Connecticut,Army,-6,,,,-2.99,-0.96,-7.738,,,,,,,,5.53,1.5,,3.2,,,,,,-0.03,-1,,,,,-2.8,1,7.75,1.5208826886,-4.66,-1.69,-0.28848343,,0.152,8.091,7.1137730749,,,,-2.5,0.8162507124,-2.884,,,-1.451,1.66,4.5,,,-0.049436397,4.0812738778,-0.624241715,0.3797953205,0.4988011999,6
2.5,4.5,Georgia Tech,BYU,12,,,,10.44,4.22,8,,,,,,,,8.89,8,,3.9,,4.57,3.6,5.34,5.42,11.27,17,,,,,7,1,-4.625,13.072951019,12.03,11.32,15.041773596,,0.075,7.0867,20.416088959,,,,8.3,2.3256003912,8.4,,,6.537,8.78,16.5,,,8.1603240237,4.8645223597,8.15,0.5627153131,0.6878340183,5
6.5,-4.5,Navy,Cincinnati,-3.5,,,,2.28,-0.46,,,,,,,,,7.95,-10,,-0.9,,2.79,4.28,0.26,3.99,7.88,11,,,,,6.33,1,5.85,6.790130294,0.48,0.74,0.664203981,,0.064,6.7444,7.0601375149,,,,7.9,-1.282268342,-1.316,,,0.048,2.33,10.5,,,2.907789371,4.7539748634,2.33,0.6254357612,0.5693966638,-3
-1,4.5,Penn St.,Clemson,-3,,,,-7.54,-1.92,1.25,,,,,,,,-8.47,-0.5,,2.5,,-4.42,-4.87,-5.1,-3.51,-10.25,-11,,,,,-3.09,1,-3.925,-9.499940118,0.75,2.66,-3.945146338,,-0.106,-5.7594,-8.754561018,,,,-5.8,-0.292661197,-1.75,,,0.013,-4.4,-6.5,,,-3.776249479,3.7742559367,-3.935073169,0.3593884236,0.4088260768,3
-3.5,-3,Louisiana-Lafayette,Delaware,-2,,-1.66,,-3.14,-4.69,-4.728,,,-6.6,-6.3,-6.5,,,-8.16,-8,,-3.3,,-6.37,-6.42,-5.19,-8.36,-1.54,-4,,,,,-6.67,1,4.475,-1.554278562,1.14,-1.28,-3.709334409,,-0.032,-7.0586,10.029624135,,,,-3.4,-0.05179347,-3.2025,-1,,-12.774,-5.63,1.5,,,-4.171790432,3.4997868431,-4.345,0.4796307168,0.3991030308,-3
1.5,3,Arizona St.,Duke,-0.5,,,,-1.68,-1.21,,,,,,,,,-3.85,-5,,0.3,,1.01,0.7,-1.58,4.25,-1.19,-2,,,,,0.62,1,-3.25,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.37,-15.65480383,,,,-1.9,-0.82277815,-2.1,,,3.301,-0.9,1,,,-0.63020876,2.7939174466,-1.21,0.4368661649,0.484465584,2
-6,-6.5,Pittsburgh,East Carolina,-0.5,,,,-6.14,-10.44,-6.88,,,,,,,,-6.09,3.5,,-4.8,,-8.75,-8.46,-9.01,-9.77,-5.71,-6,,,,,-5.31,1,-2.025,-5.254636584,6.67,-0.46,-4.086359493,,-0.082,-6.9048,-5.012355654,,,,-7.7,-0.263468724,-3.801,,,-4.789,-3.79,-1.5,,,-4.541646003,4.0299509414,-5.282318292,0.5338876565,0.3911692901,-6.5
3.5,3.5,Miami (Ohio),Fresno St.,4.5,,,,1.79,-1.34,5.281,,,,,,,,3.19,-6,,3.1,,1.71,1.91,1.6,1.81,2.08,4,,,,,2.45,1,3.775,3.5314562822,1.56,4.08,1.61120792,,-0.037,2.4903,0.3900461949,,,,3.3,0.5964061388,5.3515,,,0.619,2.85,6.5,,,2.3735563155,2.4171795765,2.47015,0.4802981548,0.5585311705,3.5
-2.5,-1.5,California,Hawaii,5,,,,-1.97,1.79,-4.248,,,,,,,,-5.54,-5.5,,-1.6,,0.13,-0.96,1.04,-0.01,2.54,-1,,,,,-1.75,1,-0.575,1.6298480684,3.01,-2,2.599491893,,-0.092,-6.4131,11.513828735,,,,-2.6,-0.82017336,-0.35,,,-0.46,0.36,5,,,-0.460336925,2.9449702562,-0.405,0.5181358555,0.4886702613,-1.5
3,3,LSU,Houston,3,,,,-3.64,-11.69,-3.839,,,,,,,,-5.02,-6.5,,2.3,,-5.29,-5.74,-4.84,-6.23,-3.1,-1,,,,,-5.13,1,-8.1,-3.761634076,0.44,-4.24,-2.209484019,,-0.184,-6.6669,-9.879052956,,,,-8.3,-0.73213418,-2.5515,,,-5.796,-5.88,-0.5,,,-4.018019927,3.3336887917,-4.54,0.3797039542,0.4025422748,1.5
-6.5,-4,Tennessee,Illinois,1,,,,-1.2,-1.58,-2.677,,,,,,,,-9.59,-3.5,,-4,,-6.18,-6.16,-5.34,-7.52,-4.41,-2,,,,,-7.21,1,-8.755,0.637329974,-6.18,-4.52,-3.620166489,,0.048,-2.3412,-2.09486849,,,,-3.2,-0.553323728,-1.4105,,,-6.287,-4.16,3,,,-3.736751404,3.0870086626,-3.810083244,0.5045898228,0.4089735006,-4
-3,-2.5,Troy St.,Jacksonville St.,-0.5,-3.39,-2.57,,0.48,-5.52,-2.716,,,-4.6,-4.7,-4.8,,,-3.17,11.5,,-3.6,,-4.85,-4.08,-4.04,-7.17,-1.47,-3,,,,,5.56,1,-0.725,-2.760239101,-0.21,-5.32,-1.569283019,,-0.064,-5.2806,3.6103549513,,,,-2.7,-0.292777798,-2.5585,,,-8.212,-2.59,0.5,,,-2.391149101,3.6777499191,-2.760239101,0.5018906824,0.4418848867,-2.5
7,9,Coastal Carolina,Louisiana Tech,5.5,,,,11.06,6.31,-3.246,,,,,,,,4.32,2,,5.1,,7.27,8.9,3.68,10.11,13.48,14,,,,,7.9,1,16.325,13.52672277,13.36,11.23,2.038003874,,-0.039,6.2467,25.506759124,,,,9.5,0.0140948308,6.44,,,0.917,5.15,16.5,,,7.5991702555,5.1640987508,6.855,0.4759803056,0.6749403992,9
9.5,8.5,Toledo,Louisville,3,,,,1.04,7.66,10.766,,,,,,,,12.87,1.5,,10.6,,8.03,7.85,11.83,4.85,6.12,5,,,,,3.49,1,8.05,5.439521435,-1.19,0.54,2.712957008,,0.201,8.652,12.967731667,,,,6.9,1.9057359992,10.15,,,6.251,5.14,8.5,,,5.9981722478,3.7969654357,6.1855,0.4566666361,0.6428592493,8.5
