lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
5.5,6,Hawaii,Air Force,4,,,,6.2,,6.77,-0.586,,,,,,,,8.09,-1,,5.1,,4.4,4.55,3.93,4.61,2.63,5,,5.99,,,,0,1.22,3.55,-1.467305645,,3,6.9581,,,,,,5.2,,,,-1,-0.66,-0.93,7.03,1.18,3.5318664315,2.8822229171,4.2,0.456999632,0.5863133469,6
3,2.5,TCU,Arizona St.,0.01,,,,1.12,,3.68,3.084,,,,,,,,-1.24,5.5,,1.7,,6.71,6.7,7,6.75,-2.35,-6,,2.18,,,,0,-0.53,-7.32,-2.594517291,,-2.84,-4.2114,,,,,,1.7,,,,-4,1.07,1.665,-0.27,-1.14,0.8484617795,3.9947552221,1.095,0.471403984,0.520592127,2.5
-6,-5.5,Notre Dame,Arkansas,-6,,,,-8.24,,-9.88,-3.186,,,,,,,,-7.71,-4,,-3.3,,-3.29,-3.44,-6.8,-1.52,-7.16,-8,,-6.37,,,,0,7.1,1.34,-1.308920849,,-1.26,-12.2062,,,,,,-5,,,,9,-0.24,-2.834,-7.11,-2.3,-4.279796702,4.0586810278,-3.72,0.5211255265,0.3973422797,-5.5
14.5,16.5,Appalachian St.,Boise St.,14.5,,,,25.95,,35.18,21.933,,,,,,,,16.9,22,,17.5,,21.01,20.93,20.48,25.66,18.82,23,,22.03,,,,0,3.62,12.44,18.39638691,,11.42,14.1885,,,,,,19.2,,,,4,19.81,17.092,13.78,23.51,19.139578621,6.0653630359,19.505,0.5447751792,0.8691516034,16.5
6.5,6.5,California,Boston College,-2,,,,13.46,,11.02,0.611,,,,,,,,4.98,2,,1.7,,9.12,10.03,8.89,9.21,6.46,-2,,7.44,,,,0,6.71,-1.59,0.398855641,,-1.64,-8.7165,,,,,,8.7,,,,-2,-0.06,10.054,3.46,-3.75,3.9369731517,5.6897585826,4.22,0.4563435013,0.5919819645,6.5
-3,-3,Connecticut,Buffalo,4.5,,,,-8.03,,5.57,3.144,,,,,,,,-2.02,3.5,,-1.8,,1.09,-0.61,0.86,2.44,-8.03,-6,,-5.68,,,,0,-2.15,9.29,-1.516359883,,-5.78,-0.6154,,,,,,-2.2,,,,-3,-0.16,10.935,0.74,0.02,-0.104281662,4.8362199284,-0.385,0.5497042743,0.497502126,-3
6,5.5,Eastern Mich.,Central Mich.,9,,,,5.74,,7.01,8.187,,,,,,,,4.6,2.5,,-0.3,,7.59,7.25,7.51,8.7,4.7,5,,5.48,,,,0,6.43,5.58,11.633374513,,6.54,-3.5046,,,,,,7.5,,,,5,7.44,0.148,-0.73,1.76,5.2401572714,3.5880256121,6.085,0.4954839577,0.6258069536,5.5
-5.5,-6.5,BYU,Colorado,-8.5,,,,-6.98,,-5.23,-5.613,,,,,,,,-6.98,1,,-4.6,,0.25,1.94,3.23,-7.24,-13.89,-21,,-5.89,,,,0,-21.8,-14.56,-9.299253318,,-6.52,1.1302,,,,,,-10.9,,,,-15,-11.16,-16.722,-5.49,-7.23,-7.585585555,6.685204365,-6.98,0.4816838053,0.3303626903,-6.5
3.5,4.5,Washington St.,Colorado St.,-3,,,,4.02,,8.32,4.189,,,,,,,,-4.43,6,,1,,8.44,9.17,6.73,10.44,1.65,3,,3.09,,,,0,13.33,2.75,-4.004960291,,-0.78,2.4991,,,,,,8.9,,,,-2,4.96,15.09,0.83,-2.88,4.1380474879,5.2631637884,3.555,0.4937961058,0.5973709463,4.5
3.5,5,Army,East Carolina,4,,,,2,,-6.64,-5.589,,,,,,,,0.47,-1.5,,0.2,,7.72,7.79,5.4,11.19,6.02,7,,-2.29,,,,0,20.89,4.54,8.677657249,,4.65,-5.7862,,,,,,9.4,,,,10,6.1,-0.228,-0.61,1.47,3.5364357187,6.1798778958,4.27,0.4751688668,0.5819508021,5
-13.5,-14,Memphis,Florida Atlantic,-25.5,,,,-23.97,,-16.84,-24.638,,,,,,,,-16.36,-10.5,,-8.1,,-12.69,-12.26,-11.52,-19.34,-20.89,-32,,-20.37,,,,0,-21.69,-25.28,-23.54628499,,-15.48,-22.0363,,,,,,-16.8,,,,-19,-25.47,-31.62,-18.13,-24.34,-19.97377437,6.3198262638,-20.63,0.3998192225,0.1220069345,-14.5
3.5,3,Alabama,Georgia,14,,,,-1.7,,2.37,7.605,,,,,,,,0.53,4,,3,,3.81,3.58,5.4,2.14,-4.51,-1,,2.68,,,,0,3.41,12.24,15.120291607,,2.94,2.6021,,,,,,-3.2,,,,-1,6.62,8.434,3.58,9.88,4.3138079836,4.9856964104,3.495,0.5225669736,0.6019227484,3
-5.5,-7,USC,Illinois,-5,,,,-7.8,,6.31,4.569,,,,,,,,-6.23,-0.5,,-4.5,,1.15,0.3,1.3,1.02,-10.09,-1,,-4.02,,,,0,-13.54,-0.06,1.773724044,,-3.84,-1.3277,,,,,,-6.3,,,,-15,1.02,2.683,-4.29,-0.27,-2.026748998,4.6614359527,-0.75,0.5850641239,0.4514273761,-6
-7.5,-7,Indiana,Iowa,0.01,,,,-19.65,,-7.5,-3.413,,,,,,,,-5.99,-7.5,,-3.2,,-3.31,-3.51,-1.35,-8.13,-28.56,-34,,-14.15,,,,0,-16.39,-2.73,-5.517685891,,-17.9,-3.2365,,,,,,-13.3,,,,-19,-2.1,-13.632,-6.59,-2.59,-9.343716079,8.7943770548,-6.29,0.461609471,0.3038663048,-7
7,6.5,Arizona,Iowa St.,14.5,,,,8.42,,17.97,15.306,,,,,,,,10.92,16.5,,7.7,,10.78,10.39,12.47,10.45,0.6,-3,,11.37,,,,0,-3.97,13.9,5.627862787,,-1.92,11.8,,,,,,3.6,,,,-5,11.97,8.909,5.89,12.2,8.8492859495,6.0429796602,10.615,0.539878165,0.698184075,7
16.5,17,Georgia Southern,James Madison,10.5,,,,17.22,,10.78,8.912,,,,,,,,13.06,11.5,,15,,13.46,13.43,11.09,18.65,15.93,17,,16.04,,,,0,27.41,17.92,13.46127165,,15.71,18.7525,,,,,,14.5,,,,13,13.28,13.941,13.63,10.46,14.651532152,3.8383043697,13.7855,0.4593255078,0.8142759258,17
6.5,6.5,Cincinnati,Kansas,11.5,,,,3.69,,-2.13,7.741,,,,,,,,4.79,3.5,,3,,7.51,7.07,7.16,9.17,2.74,6,,8.11,,,,0,1.98,17.1,11.786503088,,3.73,7.8768,,,,,,4.1,,,,-1,12.95,15.38,7.82,11.04,7.2339292953,4.4960157293,7.335,0.5126658288,0.6688888319,6.5
6.5,6,Central Florida,Kansas St.,-1.5,,,,8.31,,17.9,5.764,,,,,,,,4.63,8,,3.2,,6.17,7.11,9.63,1.45,-1.61,-12,,2.34,,,,0,-15.18,-2.15,-2.928207586,,0.1,6.6089,,,,,,-1.4,,,,-24,-1.08,2.478,5.73,-0.56,2.1255288506,6.8443759502,2.409,0.4350219074,0.5487662573,6
6.5,8.5,Middle Tenn.,Kennesaw St.,5,,,,10.01,,3.35,9.396,,,,,,,,-2.47,2.5,,-1.3,,8.41,10,7.39,8.47,13.74,18,,8.49,,,,0,9.44,10.5,15.431159382,,12.98,0.7743,,,,,,9.4,,,,9,8.77,11.686,7.88,5.82,8.0694774742,4.9443355002,8.63,0.49259867,0.6856604792,8.5
3,1.5,Marshall,Louisiana-Lafayette,-2.5,,,,-3.14,,10.08,3.961,,,,,,,,-2.36,4,,2,,3.72,3.5,6.54,0.16,-5.46,-3,,-4.24,,,,0,-5.18,-5.64,-4.62420975,,-2.81,-2.1517,,,,,,0.7,,,,-5,-7.37,6.291,2.41,-0.56,-0.236412906,4.5509915079,-1.35585,0.4700707866,0.4943097928,1.5
2.5,2,Arkansas St.,Louisiana-Monroe,5,,,,2.13,,-0.83,5.185,,,,,,,,-0.6,2.5,,-3.2,,3.68,1.86,3.34,6,-6.66,-5,,-1.23,,,,0,10.06,6.97,6.244504827,,-4.54,-4.1023,,,,,,0.6,,,,-2,4.54,-0.945,-3.38,4.37,1.3330085345,4.3983444205,1.995,0.4884796498,0.5321304463,2
6,5.5,Rutgers,Minnesota,4,,,,6.48,,-0.86,3.154,,,,,,,,5.93,11.5,,-1.7,,7.83,6.57,8.16,9.56,-1.42,-2,,3.79,,,,0,7.4,7.16,1.398667659,,0.26,1.0067,,,,,,2.5,,,,1,3.72,1.223,-1.33,-4.33,3.3334319858,4.2029932906,3.437,0.4625695874,0.5801368269,5.5
2.5,2.5,LSU,Mississippi,7,,,,8.36,,,0.402,,,,,,,,9.18,13,,-2.3,,4.02,4.18,2.88,4.95,9.11,10,,11.27,,,,0,-1.35,5.8,4.198930559,,6.81,11.2066,,,,,,4.8,,,,10,2.91,10.97,7.99,4.37,6.0764143721,4.0713362677,5.8,0.5616938746,0.644087113,3.5
