lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-23,-21.5,Indiana,Maryland,-18.5,,,,-28.4,-26.21,,,,,,,,,-15.8,-17.5,-24.88901,-25,,-16.05,-14.51,-17.79,-19.48,-28.98,-33,,-24.49,,,-14.62,0,-28.45,-18.6,-18.82203518,,-17.74,-20.0042,-22.81709919,,,,,-23.7,-25.55064087,-24.59504973,,-20,,-22.95,-15.69,-18.37,,,-21.40383544,5.159265544,-19.48,0.5016499797,0.1006750547,-21.5
20.5,21,Purdue,Michigan,23,,,,27,31.16,,,,,,,,,26.66,19.5,20.40525,24,,24.51,23.1,27.26,26.31,22.54,19,,23.08,,,21.7,0,27.5,16.97,20.338553801,,16.92,23.6623,46.44590449,,,,,24.7,23.931993307,8.1030311072,,16,,23.78,22.94,17.01,,,23.079123884,3.5733921881,23.1,0.536089978,0.9211766192,21.5
-5,-6,Jacksonville St.,Middle Tenn.,-11,,,,-0.18,-2.39,,,,,,,,,-10.14,-11,-6.972126,-3.6,,-5.13,-4.47,-8.09,-4.31,-4.75,,,-5.99,,,-7.61,0,-8.73,-9.24,-0.560746343,,-5.12,-7.4331,-10.04748729,,,,,-7.7,-1.264915571,-11.40816892,,-13,,-11.575,-1.51,-3.87,,,-5.943161996,3.4046074986,-5.56,0.5009890639,0.3576755657,-6
5.5,3.5,Michigan St.,Minnesota,10.5,,,,1.54,9.59,,,,,,,,,7.59,12.5,4.420878,7.1,,7.42,5.82,10.87,5.75,1.11,-2,,4.8,,,6.73,0,13.34,13.27,10.876741627,,0.95,8.3557,-10.06036954,,,,,5.7,0.9764157024,5.119997306,,6,,12.665,5.58,9.76,,,7.0085894132,4.2691669111,7.1,0.5604398054,0.6645021579,4
13,12.5,South Carolina,Mississippi,20.5,,,,14.09,10.32,,,,,,,,,13.62,9.5,16.97401,21,,12.73,9.7,16.31,13.41,15.2,9,,16.13,,,11.1,0,20.7,12.5,13.866640758,,13.29,11.375,13.582542934,,,,,12.5,16.779809937,5.9435787012,,15,,12.304,13.8,10.63,,,13.893178428,3.4017858866,13.41,0.524228883,0.8030403727,12.5
3.5,4,Florida Intl.,Missouri St.,7,,,,9.2,6.62,,,,,,,,,7.75,1.5,9.029146,3.1,,7.63,7.65,6.59,9.4,6.68,7,,8.98,,,6.35,0,3.35,1.54,6.035742258,,4.48,3.6271,1.381386324,,,,,4.2,9.768391391,-0.817051776,,1,,3.025,8.29,2.8,,,6.063815186,2.5560838099,6.62,0.5360383206,0.6464213226,4.5
-6,-6,Georgia Tech,NC St.,-11.5,,,,-6.55,-6.28,,,,,,,,,-5.52,2,-9.350479,-5.4,,-5.29,-3.42,-6.43,-7.94,-7.03,-11,,-7.64,,,-9.14,0,-8.83,-11.48,-6.862040661,,-4.91,-6.3173,-0.977307041,,,,,-7.2,-4.080510426,-12.33955389,,-14,,-17.226,-3.42,-8.22,,,-7.161453203,3.5663080849,-6.862040661,0.4798192581,0.330510125,-6
-5.5,-7,USC,Nebraska,4.5,,,,-14.21,-4.3,,,,,,,,,-6.98,-4.5,-12.65131,-8,,-2.86,-2.13,-1.62,-6.38,-9.89,-9,,-9.75,,,-6.97,0,-3.61,-2.91,-10.18965343,,-8.17,-3.3985,13.638461301,,,,,-4.8,-8.229819641,-1.737047138,,-2,,-4.496,-5.46,-0.39,,,-5.855811323,4.0799477894,-5.46,0.5198073661,0.3609398361,-7
7,5.5,Navy,North Texas,8.5,,,,15.96,3.66,,,,,,,,,4.54,-3,15.40712,5,,10.87,12.44,6.21,15.02,21.66,16,,16.4,,,5.88,0,8.73,10.83,14.133373341,,15.44,8.2618,24.196942087,,,,,9.5,21.891771013,-7.549447935,,2,,12.558,10.13,18.46,,,11.379282574,5.8857802954,10.87,0.5990942692,0.7485022736,6.5
20.5,20.5,Penn St.,Ohio St.,24.5,,,,24.38,11.58,,,,,,,,,15.7,6,18.53049,23.5,,17.05,11.74,19.84,23.45,20.67,22,,19.43,,,17.6,0,37.78,37.55,28.682368593,,15.78,20.4903,13.742922425,,,,,18.5,24.756619963,19.938448244,,15,,25.104,18.22,25.13,,,21.118551142,7.0867191255,20.4903,0.510387517,0.8870122002,20.5
