lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
2,3,Arkansas St.,Appalachian St.,3,,0.89,,1.95,-3.42,,,,,,,,,4.72,0.01,3.354406,3.3,,-0.32,-0.28,1.57,-2.98,0.35,4,,1.23,,,,0,1.866624218,4.96,-3.03,-0.140059189,,1.63,3.8505,0.245332387,,,,,0.8,-0.724482246,,-3,,-2.311,3.97,-0.76,,,1.1280188412,2.4507749689,1.23,0.4672870528,0.5278856244,3
-1,-1,Arizona,Arizona St.,4,,-0.41,,0.08,7.21,,,,,,,,,2.15,15.5,0.2933693,2.5,,3.8,3.08,6.47,1.62,-3.13,-5,,-2.31,,,,0,-0.388622923,-3.83,-2.58,1.770465946,,-1.35,1.3406,1.741524278,,,,,0.4,0.8021870804,,-3,,-2.831,1.17,1.22,,,1.2309924929,4.2293160864,1.17,0.538531997,0.5297555436,-1
-2,-2.5,Missouri,Arkansas,-5.5,,-4.63,,-3.06,-6.08,,,,,,,,,-3.06,-3.5,-3.753174,-3.3,,-3.77,-2.03,-6.56,-2.79,-5.38,-12,,-4.25,,,,0,-2.723201627,-15.82,-6.15,-3.264011756,,-3.72,-3.3294,-3.78630202,,,,,-3.1,-3.903126319,,-11,,-5.451,-3.26,-4.39,,,-4.834831495,3.0323686463,-3.753174,0.4593481754,0.3828447611,-2.5
-5.5,-5.5,Alabama,Auburn,-10.5,,-8,,-3.58,-7.27,,,,,,,,,-11.04,-5,-7.027548,-8.1,,-4.75,-3.91,-8.56,-2.26,-7.88,-9,,-4.86,,,,0,-8.065638346,-15.53,-6.27,-4.961096595,,-5.1,-11.0066,-14.24417846,,,,,-9.4,-3.214675602,,-11,,-9.291,-10.08,-3.4,,,-7.393675318,3.0499138597,-7.88,0.4670129398,0.3243201081,-5.5
18,17,Central Florida,BYU,25.5,,22.62,,22.74,25.29,,,,,,,,,17.72,13,24.63477,23.5,,20.78,18,21.45,25.38,24.07,11,,24.3,,,,0,25.583952851,28.62,19.52,25.056216982,,19.96,20.055,33.666049916,,,,,19.3,5.0208324264,,13,,25.513,19.54,24.98,,,21.924517593,4.1171999354,22.74,0.5846155985,0.9085599147,18
3,2.5,Houston,Baylor,-3.5,,0.03,,1.52,7.22,,,,,,,,,3.41,11.5,0.9281006,-2,,2.39,2.67,1.14,3.22,-0.22,-1,,-0.85,,,,0,2.345799323,-8.26,3.05,2.534998804,,-0.09,3.7021,3.2071991539,,,,,3.8,-0.76082474,,-7,,6.277,2.67,-4.39,,,1.5239199491,3.9108036112,2.345799323,0.4830793678,0.5369942921,2.5
-5.5,-6.5,Ohio,Buffalo,-4,,-9.33,,-6.51,-1.94,,,,,,,,,-9.29,-3,-5.919853,-3.5,,-7.11,-6.69,-6.87,-9.22,-10.17,-12,,-8.94,,,,0,-10.2257206,-4.76,-6.46,-8.705887578,,-7.93,-8.844,-18.26783769,,,,,-6.4,-1.541957942,,-6,,-11.105,-6.81,-8.35,,,-7.363218447,2.5614173597,-7.11,0.4849099241,0.324139013,-6.5
-11.5,-13,SMU,California,-8.5,,-14.64,,-19.91,-18.04,,,,,,,,,-11.97,-11,-22.31681,-17.5,,-15.01,-15.15,-13.43,-19.21,-17.13,-20,,-17.21,,,,0,-16.75910152,-15.9,-16.94,-14.24018884,,-11.69,-12.7416,-15.8893347,,,,,-15.6,-1.265476908,,-10,,-21.608,-15.06,-0.1,,,-15.26622801,4.5821104144,-15.6,0.4609748927,0.1786308721,-13.5
-9.5,-10.5,Toledo,Central Mich.,0.01,,-8.8,,-13.97,-9.77,,,,,,,,,-9.89,-10,-12.04435,-7.5,,-7.38,-10.54,-5.31,-7.74,-15.27,-12,,-12.56,,,,0,-12.50117251,-11.69,-8.85,-2.935445398,,-9.73,-11.2583,2.9547933222,,,,,-12.3,-0.090395459,,-9,,-6.736,-9.08,-1.42,,,-9.171010716,3.7389057927,-9.77,0.5230611503,0.2876612301,-10.5
-21.5,-22,James Madison,Coastal Carolina,-16,,-18.68,,-28.2,-20.02,,,,,,,,,-16.22,-9,-26.84005,-24,,-16.3,-17.89,-14.1,-19.41,-24.1,-27,,-23.59,,,,0,-22.89585855,-23.88,-20.07,-9.862096725,,-16.05,-20.4055,-20.22344188,,,,,-20.1,-1.997895414,,-19,,-17.473,-16.53,-20.23,,,-19.55386021,4.8757845736,-20.02,0.5420036427,0.120349563,-21.5
-3,-2,Air Force,Colorado St.,0.5,,0.56,,-1.54,-7.33,,,,,,,,,-3.69,11,-1.516693,-4.1,,-0.38,-0.12,2.44,-4.36,-1.02,-5,,-1.77,,,,0,1.6649299372,-2.83,-2.69,-0.762278795,,-1.03,0.578,-11.26515427,,,,,-1.5,-0.390339859,,-6,,-5.334,-1.56,0.89,,,-1.156001674,3.4472069705,-1.5,0.5146794218,0.4717408317,-2
5,5,UTEP,Delaware,14,,4.46,,1.14,6.23,,,,,,,,,1.7,4.5,3.234444,2.7,,4.61,2.28,8.67,2.75,1.4,-1,,1.87,,,,0,3.538261479,4.83,1.23,5.926116096,,2.51,5.959,-5.43433193,,,,,3.3,2.6466027776,,4,,-2.365,2.54,15.74,,,4.070112863,3.9966715961,3.234444,0.4838900129,0.5978211409,5
3,2.5,Wake Forest,Duke,0.01,,1.23,,-3.22,13.99,,,,,,,,,3.67,8.5,-2.940924,6.9,,3.33,3.49,3.92,2.37,-0.02,-4,,0.97,,,,0,3.208033268,-2.42,5.23,0.220908302,,1.04,4.2735,-15.54318308,,,,,4.9,-0.137585498,,-2,,2.217,0.54,0.89,,,2.3315407028,3.9145756046,2.217,0.4970789404,0.5564880526,2.5
-6,-7,Western Mich.,Eastern Mich.,-6.5,,-7.1,,-9.7,,,,,,,,,,-5.68,-4.5,-4.285788,-7.2,,-5.9,-6.48,-7.11,-5.09,-12.49,-10,,-11.04,,,,0,-7.070082538,-9.47,-8.82,-4.534977894,,-8.97,-5.1718,7.457531893,,,,,-7.1,-1.013546392,,-10,,-7.657,-4.02,-10,,,-7.328735351,2.3030966886,-7.1,0.4942451969,0.324512097,-7
2,1,Florida St.,Florida,0.5,,-2.83,,-2.6,6.13,,,,,,,,,4,9,-4.414986,-3.5,,2.41,1.27,2.97,2.68,-5.5,-2,,-4.17,,,,0,-3.54751968,-12.48,-2.56,4.464389724,,-3.6,3.3012,16.621141907,,,,,-0.9,1.353501226,,-7,,4.304,0.75,18.38,,,0.4822833618,5.8700691339,0.5,0.4911814894,0.511326948,1
-6.5,-6.5,East Carolina,Florida Atlantic,-8.5,,-11.48,,-5.75,-7.2,,,,,,,,,-9.97,-7,-8.334168,-10.2,,-6.54,-7.57,-8.83,-4.11,-13.29,-13,,-11.52,,,,0,-12.12061419,-17.76,-7.73,-5.412368643,,-11.48,-12.5516,-15.90298918,,,,,-11.3,-1.836548628,,-10,,-5.386,-6.14,-17.26,,,-9.617390033,3.5635431874,-8.83,0.4459760741,0.277961854,-6.5
-13,-13.5,Georgia,Georgia Tech,-8.5,,-11.53,,-17.05,-11.09,,,,,,,,,-16.52,-10,-13.73296,-17,,-11.08,-9.45,-11.49,-14.49,-13.12,-19,,-12.03,,,,0,-14.10090406,-13.86,-11.77,-15.90108268,,-8.22,-15.1669,-4.884922135,,,,,-12.3,-3.201783083,,-7,,-14.452,-15.61,-6.04,,,-12.94015387,3.1312977969,-13.12,0.5097577707,0.2128109952,-13.5
10.5,10,Wyoming,Hawaii,14,,9.69,,8.45,11.4,,,,,,,,,3.76,5,12.24596,5,,10.85,8.71,12.2,12.67,8.03,10,,8.62,,,,0,10.728405063,8.6,8.31,12.295967961,,5.8,9.6313,17.898206972,,,,,7.6,1.878785562,,6,,13.454,8.6,14.09,,,9.589425321,2.8514568327,9.6313,0.4928321452,0.7231714062,10
