lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-9.5,-10,Miami (Ohio),Akron,-7.5,,-9.44,,-15.88,,-15.61,,,,-12.1,-12.7,-14.6,,,-13.97,-15,,-8.1,,-7.06,-8.75,-4.55,-10.49,-10.17,,,-9.81,,,,0,-4.43,-2.39,-4.871786965,,-3.52,-19.6001,,,,,,-11.4,,,,-8,-9.45,-17.49,-14.7,0.6,-10.11468796,5.0275767619,-9.99,0.4980297544,0.2725062302,-10
-1.5,-2.5,BYU,Arizona,-7.5,,-10.43,,-11.01,,-4.75,,,,-5.4,-4.1,-5.4,,,-5.94,-13.5,,-3.4,,-1.86,-1.14,-3.52,-2.27,-9.66,,,-11.07,,,,0,-2.91,-6.44,-9.663831257,,-4.63,-6.891,,,,,,-6.1,,,,-6,-6.72,-7.323,-3.91,-8.58,-6.312224279,3.1774762656,-6.02,0.4338728964,0.3488527443,-3
17.5,17.5,Charlotte,Army,19,,32.17,,23.02,,29.24,,,,19.1,19.2,20.7,,,23.81,18,,19,,23.36,24.18,24.7,24.44,28.41,,,28.52,,,,0,20.14,22.29,24.574402319,,24.69,19.692,,,,,,22.3,,,,11,19.41,20.623,25.33,23.72,23.062284705,3.6424341952,23.19,0.5957011543,0.9208309286,19
-3.5,-3.5,Georgia,Auburn,-9.5,,0.58,,-3.22,,-6.75,,,,-5.1,-5.4,-5.1,,,-8.46,-6.5,,-4.3,,-0.35,-0.93,-1.36,0.33,-6.11,,,-1.39,,,,0,3.12,-6.15,3.588622287,,-3.82,-9.5654,,,,,,-3.8,,,,-3,-2.53,-6.029,-8.16,8.42,-3.403299143,4.3001002623,-4.06,0.5016717951,0.4183293049,-3.5
15.5,16.5,New Mexico,Boise St.,15.5,,3.79,,17.02,,31.56,,,,25.4,23.8,25.9,,,16.68,12.5,,14,,18.76,18.04,16.46,25.15,6.51,,,11.2,,,,0,7.85,10.19,7.350878819,,4.52,10.1824,,,,,,15.7,,,,2,18.82,10.161,14.33,19.3,15.410549185,7.0784917295,15.6,0.4817069792,0.8115717055,16.5
-13,-14,Clemson,Boston College,-10.5,,-12.89,,-14.9,,-13.84,,,,-8.7,-13.5,-13.7,,,-10.07,-8,,-16,,-9.86,-10,-9.43,-13.74,-13.38,,,-8.93,,,,0,-3.58,-11.53,-6.120225645,,-8.68,-7.454,,,,,,-12.4,,,,-6,-15.48,-16.542,-14.2,-11.98,-11.36177791,3.2290036427,-11.755,0.545858443,0.2423682116,-14
-8.5,-10.5,Toledo,Bowling Green,-4,,-5.24,,-19.22,,-14.25,,,,-9.1,-8.9,-8.1,,,-6,-3.5,,-7.9,,-5.6,-7.14,-3.44,-8.92,-15.7,,,-5.38,,,,0,-16.28,-8.99,-5.492278062,,-11.02,-2.1425,,,,,,-12.3,,,,-14,-4.66,-1.078,-6.08,-0.76,-7.738183772,4.7340968237,-6.61,0.547459969,0.3208092924,-10
10.5,11.5,Central Florida,Cincinnati,11,,19.29,,10.26,,17.13,,,,3.7,4.7,3.4,,,4.46,0.01,,8.8,,12.81,9.89,14.63,15.42,13.86,,,6.79,,,,0,12.2,4.81,16.298094014,,11.8,5.0441,,,,,,10.9,,,,10,15.84,13.49,10.85,23.04,10.785084385,5.5378080076,10.95,0.4877811236,0.7386621891,11.5
-2,-3,Louisiana-Monroe,Coastal Carolina,4.5,,4.55,,7.05,,2.04,,,,-3.7,-1.8,-2.9,,,6.37,5,,-1.4,,4.51,6.19,5.4,1.27,8.55,,,3.95,,,,0,-8.47,-1.58,5.25000479,,5.81,3.3494,,,,,,3.3,,,,-5,-1.57,7.393,8.75,-1.78,2.6935540304,4.3437689325,4.225,0.5974087709,0.5647646527,-2.5
5,-3.5,Iowa St.,Colorado,-12,,-6.89,,-0.08,,,,,,-0.9,-2,-1,,,-6.51,5,,-4.5,,-2.53,-1.26,-4.32,-3.28,-4.83,,,-1.18,,,,0,-9.89,-6.69,-2.355067825,,-1.38,1.2602,,,,,,-5.9,,,,-11,-5.52,-6.901,-5.96,-10.62,-4.009434713,3.8620875268,-4.32,0.4911637123,0.4034226321,-3.5
-6.5,-7,Fresno St.,Colorado St.,-14.5,,-7.75,,-10.11,,-4.46,,,,-2.7,-4.1,-4.4,,,-8.16,2.5,,-4.9,,-5.2,-4.39,-7.55,-5.5,-7.63,,,-5.51,,,,0,-11.56,-8.87,-9.093386652,,-5.01,-5.5015,,,,,,-9.2,,,,-16,-11.72,-10.781,-4.69,-18.44,-7.277918717,4.1391671712,-6.53,0.4951892165,0.3292468204,-7
0,1,Northern Ill.,Eastern Mich.,0.01,,-3.87,,-9.54,,3.69,,,,-3.6,-3.4,-4.5,,,-4.97,-7,,0.1,,2.39,0.22,0.49,6.4,-8.63,,,-3.05,,,,0,2.04,0.93,-1.618996365,,-5.96,-10.8576,,,,,,-1,,,,-3,0.26,-7.821,-3.63,7.06,-2.148753706,4.6264140032,-2.334498183,0.4458785603,0.4484890359,1
5.5,4.5,UAB,Florida Atlantic,3.5,,-1.14,,-0.79,,2.77,,,,0.7,2.5,1.9,,,2.45,1.5,,4.2,,6.53,5.29,5.02,10.1,1.31,,,1.09,,,,0,9.42,3.49,5.5326161848,,2.31,-1.5303,,,,,,3.7,,,,4,7.68,1.083,0.89,-2.12,2.9763583148,3.1422178134,2.475,0.4734625601,0.5726896853,4.5
9.5,10.5,Pittsburgh,Florida St.,9.5,,22.48,,10.55,,-3.47,,,,3.4,5.3,4.3,,,4.87,-3.5,,7.4,,9.97,8.22,12.11,9.65,21.23,,,9.11,,,,0,20.45,0.05,14.217204683,,17.69,7.0212,,,,,,12.5,,,,5,5.07,3.635,12.87,23.72,9.5516694109,7.3271445503,9.305,0.4841254773,0.7069628304,10.5
-2.5,-3,Southern Miss.,Georgia Southern,8,,-10.24,,-3.39,,21.35,,,,8.3,6.3,8.1,,,6.95,11,,-1.3,,3.34,2.12,4.27,3.32,-11.37,,,-0.66,,,,0,-10.8,-5.64,-3.455041297,,-8.38,10.2567,,,,,,-0.5,,,,-13,-0.17,-0.373,-0.91,-2.46,1.2945637963,7.6302245138,-0.2715,0.5712392812,0.5292021314,-2.5
-3.5,-3,Appalachian St.,Georgia St.,-4.5,,3.2,,-1.79,,0.18,,,,2.2,0.4,1.6,,,-3.33,-0.5,,-2.7,,-0.05,0.18,-1.24,0.08,-0.9,,,-0.72,,,,0,-17.25,6.85,1.812820816,,2.63,-6.1128,,,,,,-2,,,,-10,-2.9,0.062,1.04,-2.12,-0.995306892,4.2289977826,-0.275,0.5346340037,0.4759335936,-2.5
14.5,15,Virginia Tech,Georgia Tech,20,,12.88,,13.59,,14.45,,,,13.5,16.2,16.1,,,10.19,3.5,,17,,15.13,12.54,19.67,15.3,14.24,,,14.93,,,,0,19.58,16.46,13.497749805,,15.92,8.4431,,,,,,15.5,,,,19,14.66,17.543,8.72,10.46,14.2309173,3.7166051664,14.795,0.4866475213,0.8077390645,15
2.5,2,Utah St.,Hawaii,4,,-10.34,,-14.87,,11.29,,,,3.7,3.5,3.3,,,-2.81,-0.5,,0.5,,1.76,0.55,4.89,-1.35,-11.3,,,-8.43,,,,0,2.64,-2.7,-2.915786289,,-6.5,-1.593,,,,,,-2.9,,,,-6,2.93,-2.857,-4.15,0.94,-1.277530242,5.7025981313,-0.925,0.4442515199,0.4699190244,2
-14,-15,Ohio St.,Illinois,-17,,-0.15,,-8.56,,-8.37,,,,-12.8,-14.6,-15,,,-19.49,-4,,-17,,-9.31,-8.21,-8.07,-16.07,-8.27,,,-12.73,,,,0,-29.97,-22.4,-5.634634895,,-1.45,-20.3527,,,,,,-13.3,,,,-11,-17.15,-22.9,-13.14,0.26,-12.52566673,7.3867530269,-12.97,0.5413237455,0.2379032662,-15
18,17.5,Louisiana-Lafayette,James Madison,16.5,,24.03,,22.6,,14.39,,,,9.6,11.9,12.2,,,11.33,2,,16.5,,16.95,16.09,17.67,19.4,21.34,,,16.79,,,,0,28.96,18.42,20.386972517,,17.62,19.6704,,,,,,17.3,,,,14,18.67,17.244,12.57,25.76,17.149668174,5.4322541928,17.272,0.4940052678,0.8457859082,17.5
-1,-1,TCU,Kansas St.,-7,,-7.25,,-6.23,,-6.06,,,,-4.5,-3.8,-5.4,,,-0.79,1.5,,-1.9,,0.3,1.72,-2.22,0.9,-4.57,,,-7.21,,,,0,-5.16,-4.83,-7.824801382,,-4.21,-1.5445,,,,,,-3.1,,,,-12,-4.46,-4.267,-1.03,-7.9,-3.72447313,2.9044523298,-4.3635,0.4525595633,0.4090817971,-1.5
